Post Unique  Ref,Name,Rank/Grade,Job Title,Job/Team Function,Parent Department,Organisation ,Unit,Contact Phone,Job/Team Function,Parent Department,Organisation,Unit,Contact 'phone,Contact e-mail,Reports to,Salary Cost of Reports,Notes

1017733,S Dalton,Air Chief Marshall,Chief of Air Staff,,,,,,"CAS is the professional head of the Royal Air Force.˜ He is responsible for generating a balanced and integrated Royal Air Force capability, and for maintaining the fighting effectiveness and morale of the Service.˜ He reports to the Chief of the Defence Staff (CDS).˜ He is a member of the Defence Council and the Air Force Board, the Defence Ministerial Committee, the Defence Board, the Chiefs of Staff Committee and the Senior Appointments Committee.˜ He chairs the Air Force Board Standing Committee.",Ministry of Defence,Ministry of Defence,Chief of Air Staff,01494 496009,Air-CmdSecBusMgmtTeamGpMailbox@mod.uk,,"399,892",
1018042,Baz North,Air Vice Marshall,Assistant Chief of Air Staff,,,,,,,Ministry of Defence,Ministry of Defence,Chief of Air Staff,01494 496009,Air-CmdSecBusMgmtTeamGpMailbox@mod.uk,1017733,"170,815",
1018322,,Air Commodore,Director of Air Staff,,,,,,,Ministry of Defence,Ministry of Defence,Chief of Air Staff,01494 496009,Air-CmdSecBusMgmtTeamGpMailbox@mod.uk,1018042,"6,753,060",
1071212,S Bryant,Air Chief Marshall,Commander in Chief Air Command,,Ministry of Defence,Ministry of Defence,Air Command,95221 7602,To generate the components of airpower and develop our capabilities in order to achieve precise campaign effects across the spectrum of operations whenever and wherever they are required.,Ministry of Defence,Ministry of Defence,Air Command,01494 496009,Air-CmdSecBusMgmtTeamGpMailbox@mod.uk,1017733,"475,926",N/A
1071223,,Air Marshall,Deputy Commander in Chief (Operations),,Ministry of Defence,Ministry of Defence,Air Command,95221 7603,Develop Air Power and provide the means for the Groups (and their subordinate MOBs) to generate its effect alongside their appropriate air enablers.,Ministry of Defence,Ministry of Defence,Air Command,01494 496009,Air-CmdSecBusMgmtTeamGpMailbox@mod.uk,1071212,"306,408",N/A
1071229,,Air Marshall,Deputy Commander in Chief (Personnel),,Ministry of Defence,Ministry of Defence,Air Command,95221 4244,"The role of DCINC Pers is to provide sufficient personnel to meet the trained manpower requirement of the RAF, to ensure those people, as individuals, are trained to be capable of carrying out the tasks demanded of them, and that they are provided with the right support such that they are motivated to repeatedly and willingly deliver operational effect. In my dual role as AMP, it is my job to provide the policies, strategies and personnel management advice to CAS to ensure that the RAF vision is deliverable now and in the longer term.",Ministry of Defence,Ministry of Defence,Air Command,01494 496009,Air-CmdSecBusMgmtTeamGpMailbox@mod.uk,1071212,"309,845",N/A
1073669,,Air Vice Marshall,Chief of Staff (Operations),,Ministry of Defence,Ministry of Defence,Air Command,95221 7606,"Facilitate the timely, effective and efficient delivery, sustainment and development of UK air power",Ministry of Defence,Ministry of Defence,Air Command,01494 496009,Air-CmdSecBusMgmtTeamGpMailbox@mod.uk,1071223,"198,840",N/A
1073288,,Air Vice Marshall,Chief of Staff (Support),,Ministry of Defence,Ministry of Defence,Air Command,95221 7001,"Plan, focus, direct and sustain HQ Air's support, engineering, logistics and communications to physically assist operational commanders in generating all components of Air Power.",Ministry of Defence,Ministry of Defence,Air Command,01494 496009,Air-CmdSecBusMgmtTeamGpMailbox@mod.uk,1071223,"5,763,554",N/A
1071529,J Lamonte,Air Vice Marshall,"Chief of Staff (Strategy, Policy and Plans)",,Ministry of Defence,Ministry of Defence,Air Command,95221 7015,"COS SPP manages the HQ AIR planning functions, including: risk management and performance reports, the development of HQ AIR?s input into the Planning Round (including Military priorities), strategic policy/planning, direction and advice on Force Structure Development, managing the Capital Works Programme, development of the Estate Rationalisation Plan and Manpower Planning. He also provides strategic advice for the HQ AIR Equipment Plan.",Ministry of Defence,Ministry of Defence,Air Command,01494 496009,Air-CmdSecBusMgmtTeamGpMailbox@mod.uk,1071212,"244,824",N/A
162138,,ML2,Command Secretary,,Ministry of Defence,Ministry of Defence,Air Command,95221 7667,To deliver high quality and cohesive resource management and corporate services which support the delivery of Air Command's outputs and uphold accountability to Ministers and Parliament.,Ministry of Defence,Ministry of Defence,Air Command,01494 496009,Air-CmdSecBusMgmtTeamGpMailbox@mod.uk,1071212,"102,439",N/A
