LULWORTH RANGES FIRING PROGRAMME FOR WEEK 1 COMMENCING MON 31 DEC 12,,,,,,,

DETAILS OF ROAD  CLOSURES / ADH /,MON,TUE,WED,THU,FRI,SAT,SUN
SEA DANGER AREAS IN USE,31-Dec,1,2,3,4,5,6
ROAD CLOSURES,,,,,,,
E. LULWORTH TO WEST HOLME (B3070),OPEN,OPEN,OPEN,OPEN,OPEN,,
E. LULWORTH TO STEEPLE (WHITEWAYS RD),OPEN,OPEN,0900-1700,0900-1600,0900-1230,,
,,,,1700-2359,,,
CREECH TO STEEPLE HILL,OPEN,OPEN,OPEN,OPEN,OPEN,,
AIR DANGER HEIGHT (NOTAM),,,,,,,
"UPPER LIMIT 15,000ft (AMSL)",CLEAR,CLEAR,0800-2359,0800-2359,0800-1230,,
"UPPER LIMIT 20,000ft (AMSL)",,,,,,,
SEA DANGER AREAS IN USE,,,,,,RANGE WALKS ,
INNER DO26 DAY,CLEAR,CLEAR,0930-1700,0930-1600,0930-1230,ARE OPEN ,
OUTER DO26B DAY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,TO THE PUBLIC ,
INNER DO26 NIGHT,CLEAR,CLEAR,CLEAR,1730-2359,CLEAR,FROM ,
OUTER DO26B NIGHT,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,0900 SAT 5 JAN 13,
UKAEA PROHIBITED (TIMINGS),,,,,,UNTIL,
UKAEA PIPELINE AND VALVE HOUSE,CLEAR,CLEAR,0900-1700,0900-1600,0900-1230,  0800 MON 7 JAN 13,
ARISH MELL TO MARKER BUOY,,1700-2359,,1700-2359,,,
CLAYMINE POVINGTON HEATH,CLEAR,CLEAR,0900-1700,0900-2359,CLEAR,,
FIRING TIMES,,,,,,,
BINDON,CLEAR,CLEAR,0930-1700,0930-1600,0930-1230,,
,,,,1730-2359,,,
HEATH,CLEAR,CLEAR,0930-1700,0930-1600,0930-1230,,
,,,,1730-2359,,,
TYNEHAM,CLEAR,CLEAR,0930-1700,0930-1600,0930-1230,,
,,,,1730-2359,,,
EAST HOLME RIFLE RANGE,CLEAR,CLEAR,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630
PUBLIC ACCESS (TIMINGS),,,,,,,
LULWORTH RANGE WALKS,0001-2359,0001-0800,CLOSED,CLOSED,CLOSED,0900-2359,0001-2359
TYNEHAM CHURCH,1000 - 1600,CLOSED,CLOSED,CLOSED,CLOSED,1000 - 1600,1000 - 1600
ELMS GROVE GATE (ROAD INTO TYNEHAM),0900- 1600,CLOSED,CLOSED,CLOSED,CLOSED,0900 - 1600,0900 - 1600









LULWORTH RANGES FIRING PROGRAMME FOR WEEK 2 COMMENCING MON 07 JAN 13,,,,,,,

DETAILS OF ROAD  CLOSURES / ADH /,MON,TUE,WED,THU,FRI,SAT,SUN
SEA DANGER AREAS IN USE,7,8,9,10,11,12,13
ROAD CLOSURES,,,,,,,
E. LULWORTH TO WEST HOLME (B3070),OPEN,OPEN,OPEN,OPEN,OPEN,,
