BUSINESS PLAN QUARTERLY DATA SUMMARY - OCTOBER 2011,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SPENDING,,,,,,,,,,,RESULTS,,,,PEOPLE,,,,
,,,,,,,,,,,,,,,,,,,
Budget,,,£million,,,Common Areas of Spend,,Q1 2011-12,Q4 2010-11,,Input Indicators,Current,Previous,,Whole Department Family - Workforce Size ,,Current,Previous,
,,,,,,,,,,,,,,,,,,,
,,,Q1 2011-12,Q1 2010-11,,Estate Costs,Total office estate (m2),..,"278,601",,"1  Additional cost of operations in Afghanistan, per Service person deployed (Previous=Q4 2009-10, Current available Q2)","397,263","340,947",,"Payroll Staff
[Total full-time equivalent by]
(current = at 30 Jun 2011, previous = at 31 Mar 2011)",Department and Agencies,"70,680","72,070",
Total Departmental Expenditure Limit (DEL),,,"7,851","7,988",,,Total cost of office estate (£million),..,"A, ..",,"2  Additional cost of new equipment (urgent operational requirements) for operations in Afghanistan, per Service person deployed  (Previous=Q4 2009-10, Current available Q2)","56,632",,,,Non-departmental public bodies,.,.,
of which Resource DEL (excl. Depreciation),,,"6,269","6,216",,,Cost per FTE (£),..,"A, ..",,3  Cost of standing military commitments / tasks and contingent operations per committed Service person  (Current available Q2),"..
Q4 2011-12",.,,,Department Family,"61,440","62,720",
Upto top 5 contributory elements,A. Service Personnel costs,,"2,443","2,448",,,Cost per m2 (£),..,"A, ..",,"4  Average percentage by which the cost of the MOD equipment programme varies compared to forecasts in year (%, Previous=Q4 2009-10, Current available Q2)",-0.04,-0.05,,"Average Staff Costs (£)
(current = at 30 Jun 2011, previous = at 31 Mar 2011)",,"34,967","34,967",
,B. Civilian Personnel costs,,644,651,,Procurement,Total Procurement Spend (£million),..,"A, ..",,"5a  Cost of major force elements: Ship  (£million, Previous=Q4 2009-10, Current available Q2)",31,28,,"Contingent Labour
[Total full-time equivalent by] 
(current = at 30 Jun 2011, previous = at 31 Mar 2011)",Department and Agencies,"1,518","1,937",
,C. Infrastructure Costs,,975,958,,,Price of standard box of A4 white copier paper (£/2500 sheets),9.27,8.17,,"5b Cost of major force elements: Brigade  (£million, Current available Q2)",534,.,,,Non-departmental public bodies,351,,
,D. Inventory Consumption,,"1,675","1,717",,,Average price of energy (£/KWH),0.039,0.029,,"5c Cost of major force elements: Aircraft (fixed wing)  (£million, Previous=Q4 2009-10, Current available Q2)",7,7,,,Department Family,"1,869",,
,E. Equipment Support Costs,,"1,518","1,302",,IT,Total 3rd Party ICT Cost (£million),..,"A, ..",,"5d Cost of major force elements: Helicopter (£million, Current available Q2)",2,.,,Department and Agencies Only,,Current,Previous,
Purchase of goods and services within Resource DEL,,,492,617,,,Cost of desktop provision per FTE (£),392.50,387.50,,"6  Cost / Benefit ratio of the major change and efficiency programmes being undertaken by Defence (UNIT, Previous=Q4 2009-10, Current available Q3)","..
Q3 2011-12",1.75,,"Workforce Shape
[Total full-time equivalent by]
(current = at 30 Jun 2011, previous = at 31 Mar 2011)",Administrative Assistants and Administrative Officers (%),41.0,41.6,
Payroll within Resource DEL,,,"3,088","3,099",,Corporate Service Cost,Human Resources (£million),..,..,,"7a  Percentage of non-front line costs versus front line costs, split by Service: Royal Navy  (%,  Current available Q2)","..
Q4 2011-12",.,,,Executive Officers (%),20.0,19.8,
Grants within Resource DEL,,,,,,,Finance (£million),..,..,,"7b  Percentage of non-front line costs versus front line costs, split by Service: Army (%,  Current available Q2)","..
Q4 2011-12",.,,,Higher and Senior Executive Officers (%),33.5,33.2
of which Capital DEL,,,"1,583","1,772",,,Procurement (£million),..,..,,"7c  Percentage of non-front line versus front line costs, split by Service: Royal Air Force (%, Current available Q2)","..
Q4 2011-12",.,,,Grade 7/6 (%),5.0,4.8
Upto top 5 contributory elements,A.  SUME,,"1,118","1,123",,,Legal (£million),..,..,,"8  Direct personnel costs, per Service person (£thousand, Previous=Q4 2009-10, Current=Q4 2010-11)",51,49,,,Senior Civil Servants (%),0.5,0.5
,B. Fiscal,,464,648,,,Communications (£million),..,..,,"9  Direct personnel costs, per MOD civilian (£thousand, Previous=Q4 2009-10, Current available Q2)",.,"3,300",,,Part Time (%),10.5,10.4
,C. Estate Disposals,,-10,-1,,"Fraud, Error, Debt",Total Identified Fraud (£million),..,..,,"10  Defence spending as a percentage of Gross Domestic Product (published NATO definition) (%, Previous=FY 2010-11, Current=FY 2011-12)",2.7,2.7,,Workforce Dynamics,"Recruitment Exceptions (current = Q1  2011-12, previous = Q4 2010-11)",150,280
,D. Loan Repayments,,-1,-1,,,Total known Errors (£million),..,..,,Impact Indicators,Current,Previous,,,"Annual Turnover Rate (%, current = at 30 Jun 2011, previous = at 31 Mar 2011)",.,.
,E. Non-departmental public bodies,,1,0,,,Total Debt (£million),..,"A, ..",,"1  Progress towards a stable and secure Afghanistan  (%, current = Q4 2010-11)",88,.,,"Workforce Diversity
[Total %]
(current = at 30 Jun 2011, previous = at 31 Mar 2011)",Black and Minority Ethnic,3.5,3.3
Total Annually Managed Expenditure (AME),,,113,368,,,Debtor Days,..,"A, ..",,2  Number of Service personnel deployed to support civil agencies (e.g. police and fire service) during emergencies  (current = Q4 2010-11),"3,241",.,,,Women,38.3,38.7
Upto top 5 contributory elements,A. Depn & Impairments,,-117,22,,Voluntary and community sector (VCS)/Small and medium enterprises (SME),Procurement spend with SME (£million),..,"A, ..",,3  Number of attaches and advisors deployed in support of conflict porevention and defence diplomacy activities (Number of personnel / Number of countries)  (current = Q4 2010-11),110 / 143,.,,,Disabled,"..
Q3 2011-12",7.7
,B. Creation of Provisions,,147,153,,,Procurement spend with VCS (£million),..,"A, ..",,4  Number of Service and MOD civilian personnel deployed on all operations in a year  (current available Q2 2011-12),15782,.,,"Workforce Diversity
[Senior Civil Servants only %]
(current = at 30 Jun 2011, previous = at 31 Mar 2011)",Black and Minority Ethnic,2.8,
,C. Cash release of Provisions,,-44,-47,,,Grants to VCS (£million),..,"A, ..",,"5  Number of Force Elements (typically ships, aircraft or groiund force sub-units) showing critical or serious weakness against the total number of Force Elements for Strategy for Defence priorities  (current = Q4 2010-11)",8/27,.,,,Women,19.6,19.6
,D. Financial Instruments (change in value),,-58,0,,Major Projects (Top 5),,,Cost,,6  Average number of months that the MOD equipment programme is delayed in year  (current = Q4 2009-10),0.29,0.1,,,Women (Top Management Posts),19.0,19.7
,E. War Pensions Cost,,231,236,,Typhoon,,,"20,600",,"7  Percentage of Service personnel that are deployable   (%, current = Q4 2010-11)",92,.,,,Disabled,"..
Q3 2011-12",5.0
Financial Indicators,,,Q1 2011-12,Q4 2010-11,,Future Strategic Aircraft Tanker,,,"11,900",,"8a  Percentage change in filling skills areas where there are insufficient trained Service personnel to meet the specified requirement by service: Royal Navy   (%, current = Q4 2010-11)",9/12/47,.,,"Attendance (AWDL) (current = at 30 Jun 2011, previous = at 31 Mar 2011)",Actual,8.1,8.0
"Accuracy of Cash Forecasting ( +/-, %)",,,10.58,13.47,,Astute Submarine,,,"6,700",,"8b  Percentage change in filling skills areas where there are insufficient trained Service personnel to meet the specified requirement by service: Army   (%, current = Q4 2010-11)",31/46/62,.,,,Standardised,.,.
Working Capital Forecast [000s],,,"1,124.48","2,352.59",,Type 45 Destroyer,,,"6,500",,"8c  Percentage change in filling skills areas where there are insufficient trained Service personnel to meet the specified requirement by service: Royal Air Force   (%, current = Q4 2010-11)",25/14/15,.,,Department only; People Survey Metrics,,2010 survey,2009 survey
