CONTRACTS WHERE THE GPC IS THE PAYMENT METHOD,
SUMMARY OF EXPENDITURE,


,May-12
STATIONERY CONTRACT,"1,459.37"
IT CONSUMBLES CONTRACT,"469,482.97"
NEW STATIONERY CONTRACT,"273,967.64"

DEFENCE TRAVEL CONTRACT - HOTELS,"61,030.46"
DEFENCE TRAVEL CONTRACT - SCHEDULE AIRLINES,"4,497,972.46"
DEFENCE TRAVEL CONTRACT - LOW COST AIRLINES,"672,693.32"
DEFENCE TRAVEL CONTRACT - RAIL,"1,450,126.69"
DEFENCE TRAVEL CONTRACT - OVERSEAS CAR HIRE,"258,307.91"
DEFENCE TRAVEL CONTRACT - EBIS BOOKING FEES,"56,645.49"
