RTFO Quarterly Report 12: 
15 April 2010 - 14 April 2011

Provisional Data
"The information contained in this report is provisional and based on unverified claims made by suppliers. It should be viewed as indicative rather than definitive. Verified data is published annually and can be found on the the DfT website, http://www.dft.gov.uk/statistics/series/biofuels/.  Those using this document should be aware that while in the majority of cases there is little discrepancy between a company’s provisional and verified data, in some instances the difference has been significant. For further information on provisional data please see the notes at the end of this report."

Executive Summary

"Under the RTFO, the sustainability targets increase year on year.  For year three the data capture target is up 20% to 90% relative to Year Two; the target for GHG savings is up 5% to 50% and the target for fuels meeting an Environmental Standards has increased by 30% to 80%."
This report covers the supply of biofuels under the Renewable Transport Fuel Obligation¹ from 15 April 2010 to 14 April 2011.  The headline figures2 are:
4.3 billion litres of biofuel have been supplied under the RTFO in the first 36 months.
"In the twelve months of the 2010/11 obligation period, 1,440 million litres of biofuel have been supplied, which is approximately 3.1% of total road transport fuel reported to the RTFO Administrator against an annual target of 3.5%3. More biodiesel (59%) has been supplied than bioethanol (41%).  There has also been a small volume of biogas declared to us."

The feedstock is known for 97% of fuel supplied. Both the feedstock and country of origin are known for 97%.
"The largest proportion of biofuel came from the feedstock, used cooking oil (428m litres, 30% of total biofuel supplied).  The most widely reported feedstock and country of biodiesel was soy from Argentina (180m litres, 21% of biodiesel supplied). The most widely reported feedstock and country of bioethanol was sugarcane from Brazil (119m litres, 20% of bioethanol supplied)."
"Over the period, 55%4 of biofuels met an environmental standard, compared to a target of 80%5."
The majority of feedstock has been imported; 22% of the biofuel was reported as coming from UK feedstocks.
85% of the fuel reported as coming from UK feedstocks met environmental sustainability standards.
Greenhouse gas savings of 58% were achieved against a Government target6 of 50%. This figure may not include all emissions from direct land use change and excludes the emissions from indirect land-use changes considered in the 'Gallagher Review'. 


Notes
"1. The RTFO applies to road transport across the whole of the UK. Refiners, importers and any others who supply more than 450,000 litres of relevant hydrocarbon oil for road transport annually to the UK market are obligated by it. "
"2. Data come from monthly reports submitted by fuel suppliers to the RTFO Administrator. The RTFO Administrator performs checks on the data, which for suppliers of over 450,000 litres of biofuel, are also subject to an annual verification process by independent auditors. The RTFO Administrator will publish a final, fully verified dataset after the end of each obligation year."
Every quarter we publish an extended report that identifies the carbon and sustainability performance of individual companies. These reports are available on our website at: http://dft.gov.uk/pgr/sustainable/biofuels/data/

3. Obligated suppliers can meet their volume obligation by surrendering the appropriate number of RTFCs to the RTFO Administrator and/or by paying into a buy-out fund. The RTFCs can be obtained by supplying their own biofuels or by purchasing RTFCs from other biofuel suppliers. A quarter of their obligation can be met by surplus RTFCs from the previous obligation year.
"4. Under the RTFO Order, these reports must not contain information from which the volumes of fuel being reported by individual suppliers might be derived. To protect the volumes of individual suppliers in some reports, certain quantities of fuel reported as meeting the Qualifying Standard or RTFO Meta-Standard have been removed from the overall RTFO figures. In this report, all fuel meeting the Qualifying Standard or Meta-Standard has been included in the overall RTFO figures, but some has still been excluded from the reporting by feedstock and country. The figures by country and feedstock do not therefore tally exactly with the overall figures.  "
"5. 80% of feedstocks should meet environmental sustainability standards in the year 2010/11. The ability of suppliers to source certifiably sustainable fuels is currently limited by the lack of operational sustainability standards for several feedstock/country combinations. Certified sustainable feedstock is expected to become increasingly available over time, as feedstock standards develop in response to the demand created by the RTFO and growing concern about the sustainability of agricultural commodities more widely. Suppliers can arrange their own audits against the RTFO Meta-Standard. There is more than enough RSPO certified palm oil to meet the entire UK demand for palm oil biodiesel feedstock."
6. Throughout this report 'Government targets' refers to targets set by the Government in 2007.

***GRAPHS WOULD BE FOUND HERE IN XLS AND PDF VERSION***

Table 1: Performance of the RTFO against the three carbon and sustainability targets set by the Government in 2007. ,,,,,,,,,,

Annual Supplier Target,,,,,2010/11 Obligation period,,2009/10 Obligation period,,2008/09 Obligation period,
,,,,,Target,Actual,Target,Actual,Target,Actual
Percentage of feedstock meeting a Qualifying Environmental Standard,,,,,80%,55%,50%,31%,30%,20%
Annual GHG saving of fuel supplied,,,,,50%,58%,45%,51%,40%,46%
Data reporting of renewable fuel characteristics,,,,,90%,85%,70%,72%,50%,64%


Table 2: Volume of biofuels supplied for road transport under the RTFO.,,,,,,,,,,

,Biofuel type,Volume (millions l) or mass (millions kg)*,Fossil fuel type,"Volume, million l **",Biofuels as a proportion of total road transport fuels supplied,,,,,


Fuel type,Biodiesel,853.5,Diesel,"24,957",3.31%,,,,,
,Bioethanol,585.7,Petrol,"19,876",2.86%,,,,,,,,,,
,Biogas,0.4,,,,,,,,,,,,,
,Total,"1,439.60",,"44,833",3.11%,,,,,,,,,,
,Annual target,,,,3.50%,,,,,,,,,,
* Biodiesel and bioethanol volumes are reported in litres and biogas volumes are reported in kilograms.,,,,,,,,,,,,,,,
** Fossil fuel volumes given are obligated volumes and may differ from HMRC totals.  ,,,,,,,,,,,,,,,

Table 3: Carbon and sustainability data of biofuels by fuel type.,,,,,,,,,,,,,,,

,,"Volume, 
l or kg","Volume, million l or million kg","Volume, %",Proportion meeting an environmental standard,,,,Proportion meeting a social standard,,,,"Carbon intensity, g(CO2e)/MJ","Greenhouse gas saving, %","Accuracy level,
(0-6)"
,,,,,RTFO,Qualifying Standards,Other standards,None/ unknown,RTFO,Qualifying Standards,Other standards,None/ unknown,,,

Fuel type,Biodiesel,"853,497,451",853.5,59%,0%,61%,1%,38%,2%,59%,2%,38%,34,59%,1.7
,Bioethanol,"585,679,891",585.7,41%,0%,27%,0%,72%,0%,4%,24%,72%,36,57%,3.4
,Biogas,"428,207",0.4,0%,0%,100%,0%,0%,0%,100%,0%,0%,27,68%,5
,Total,"1,439,605,549","1,439.60",100%,,,,,,,,,,,
,Mean,,,,0%,47%,1%,52%,1%,36%,11%,52%,35,58%,2.4


"Table 4: Carbon and sustainability data of biodiesel from different feedstocks, countries, and according to the previous land-use.",,,,,,,,,,,,,,,

,,"Volume, 
litres","Volume, 
million litres","Volume, 
%",Proportion meeting an environmental standard,,,,Proportion meeting a social standard,,,,"Carbon intensity, g(CO2e)/MJ","Greenhouse gas saving, %","Accuracy level,
(0-6)"
,,,,,RTFO,QS,"Other 
standards","None/
unknown",RTFO,QS,"Other 
standards","None/
unknown",,,
Feedstock,Oilseed rape,"89,659,689",89.7,11%,0%,8%,7%,85%,0%,0%,15%,85%,52,38%,1.5
,Palm,"33,546,898",33.5,4%,0%,44%,0%,56%,0%,44%,0%,56%,67,20%,1.5
,Soy,"214,206,004",214.2,25%,0%,10%,0%,90%,6%,4%,0%,90%,57,32%,1.5
,Tallow,"51,880,942",51.9,6%,0%,100%,0%,0%,0%,100%,0%,0%,17,80%,1.3
,Used cooking oil,"428,253,598",428.3,50%,0%,100%,0%,0%,0%,100%,0%,0%,14,84%,2
,Unknown,"35,950,320",36,4%,0%,0%,0%,100%,0%,0%,0%,100%,93,-11%,0
,Total,"853,497,451",853.5,100%,,,,,,,,,,,
,Mean,,,,0%,61%,1%,38%,2%,59%,2%,38%,34,59%,1.7
Country of origin,Argentina,"180,086,489",180.1,21%,0%,11%,0%,89%,7%,5%,0%,89%,58,31%,1.3
,Austria,"2,811,464",2.8,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.2
,Belgium,"24,030,061",24,3%,0%,94%,0%,6%,0%,94%,0%,6%,16,81%,1.2
,Brazil,"642,094",0.6,0%,0%,0%,0%,100%,0%,0%,0%,100%,25,71%,3.7
,Canada,"285,855",0.3,0%,0%,16%,0%,84%,0%,16%,0%,84%,50,40%,1
,Chile,"225,277",0.2,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5
,Czech Republic,"113,920",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1
,Denmark,"6,634,298",6.6,1%,0%,92%,0%,8%,0%,92%,0%,8%,19,77%,1.4
,Finland,"797,290",0.8,0%,0%,100%,0%,0%,0%,100%,0%,0%,16,81%,2.2
,France,"25,184,397",25.2,3%,0%,55%,2%,43%,0%,55%,2%,43%,31,63%,1.2
,Germany,"125,290,608",125.3,15%,0%,63%,4%,33%,0%,63%,4%,33%,28,67%,1.4
,Hungary,"167,779",0.2,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,2
,India,"2,327,297",2.3,0%,0%,0%,0%,100%,0%,0%,0%,100%,68,19%,1.5
,Indonesia,"18,485,721",18.5,2%,0%,32%,0%,68%,0%,32%,0%,68%,68,19%,1.3
,"Ireland, Republic of","6,393,164",6.4,1%,0%,96%,0%,4%,0%,96%,0%,4%,16,81%,1.2
,Italy,"247,261",0.2,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1
,Lithuania,"170,594",0.2,0%,0%,100%,0%,0%,0%,100%,0%,0%,17,80%,1
,Luxembourg,"96,259",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1
