Minister,Date,Name of External Organisation,Purpose of meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","August, 2010",Shell UK,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","August, 2010",British Retail Consortium,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","August, 2010",Geely Auto,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","August, 2010",BAE Systems,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","August, 2010",National Institute of Economic and Social Research,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","August, 2010",Citizens Advice Bureau,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","August, 2010",Kingston Smith LLP,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","August, 2010",Consumer Focus,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","August, 2010",Trades Union Congress,General catch up
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","September, 2010",Rolls Royce,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","September, 2010",Tesco,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","September, 2010",Carbon Trust,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","September, 2010",British Telecom,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","September, 2010",Standard Chartered,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","September, 2010",Association of British Insurers,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","September, 2010",Ford,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","September, 2010",Russell Group,Introductory meeting
"Minister of State (Universities and Science), Rt Hon David Willetts MP","August, 2010",Campaign for Science and Engineering,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","August, 2010",Council for Science and Technology,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","August, 2010","Imperial College, University College London, University of Manchester, University of Cambridge, Business Innovation Group, University of Sussex, University of Nottingham, Pfizer",To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","August, 2010",Foundation for Management Education,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","August, 2010",British Chambers of Commerce,To discuss business
"Minister of State (Universities and Science), Rt Hon David Willetts MP","August, 2010",Cancer Research UK,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","August, 2010",1994 Group,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","August, 2010","Sense about Science, CBI, Lockheed Martin UK, Engineering UK, Association of Medical Research Council, Pfizer, Syngenta, Willis Research Network, IBM, Science Council, British Science Association, Campaign for Science and Engineering, Cancer Research UK, Sussex University’s Science Policy Research Unit, GSK, AstraZeneca, Medical Research Council, Airbus UK, Grantham Institute for Climate Change",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","August, 2010",The Quality Assurance Agency for Higher Education,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",PA Consulting Group,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",Technology Strategy Board,To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",The Higher Education Academy,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",Office of the Independent Adjudicator for Higher Education,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",The Royal Academy of Engineering,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",Living with Environmental Change Business Advisory Board,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",Monster,To discuss skills
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010","Association of the British Pharmaceutical Industry, BioIndustry Association, Association of British Healthcare Industries, British In Vitro Diagnostics Association",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",The Sutton Trust,To discuss Further Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",UK Resource Centre,To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",City and Guilds,To discuss Further Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010","The Royal Society, The British Academy, Royal Academy of Engineering, Academy of Medical Science",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",Rolls-Royce,To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010","Motorola Ltd, Sony Europe, IBM UK, Microsoft Research Ltd, 3i, University of Surrey",To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",Engineering UK,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010","Guilford School of Acting, Rose Bruford College, RADA, Arts Educational School, LAMDA, East 15 Acting School",To discuss education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",Student Charter Group,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",GuildHE,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",Laureate,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010","The Innovation Unit, Institute for Government, Lewisham Council",To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",Quilliam,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",Glyndwr University,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010","Institute of Physics, Society of Biology, Royal Society of Chemistry",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010","General Medical Council, Royal Institute of Chartered Surveyors, Royal Academy of Engineering, Consultative Committee of Accountancy Bodies, General Council of the Bar for England and Wales, Legal Services Board, Chartered Institute of Personnel and Development, Law Society",To discuss social mobility
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",CBI,"To discuss science, dinner provided"
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",National Space Centre,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010","Reform, University of Central Lancaster, Weber Shadwick, PA Consulting Group, Universities UK, million+, Microsoft, National Union of Students, CBI, KPMG, CIPD, CIHE, Sodexo",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",The Royal Society,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",Russell Group,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",The History Academy,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010","TUC, Association of Graduate Careers Advisory Services, Technology Strategy Board, Association of Graduate Recruiters, CIPD, Business in the Community, GuildHE, Federation of Small Businesses, Higher Education Careers Services Unit/Prospects, PwC, University Marketing Forum",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",University of Chicago,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010",University of Warwick,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","September, 2010","National Union of Students, Universities UK",To discuss Higher Education
"Minister of State (Business and Enterprise), Mark Prisk MP","September, 2010",Professional Business Services Group,To discuss business services strategy
"Minister of State (Business and Enterprise), Mark Prisk MP","September, 2010",Dyson Ltd,To discuss innovation
"Minister of State (Business and Enterprise), Mark Prisk MP","September, 2010",British Electro-technical and Allied Manufacturers Association,To discuss manufacturing
"Minister of State (Business and Enterprise), Mark Prisk MP","September, 2010",The National Consortium of University Entrepreneurs,To discuss entrepreneurship
"Minister of State (Business and Enterprise), Mark Prisk MP","September, 2010",Association of Corporate Treasurers,To discuss supply chain finance
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","August, 2010",Baker Dearing educational trust,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010",Safeground,To discuss lifelong learning
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010",Sir George Young MP and Andover college,To discuss further education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010",Lord Layard and Ian Johnstone,To discuss further education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010",Confederation of British Industry,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010",City and Guilds,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010",Barchester Healthcare and McDonalds,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010",Democracy Matters,To discuss lifelong learning
