Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,108,103.9,235,227.5,731,713,563,545,85,82.1,0,0,1722,1671.5,9,9,3,3,24,24,3,3,39,39,1761,1710.5,5636508.13,99586.99,8550,37368.76,1165724.14,522251.37,7469989.39,319656,159628,479284,7949273.39,
Fire Service College,Executive Agency,Department for Communities & Local Government,61,57.1,30,28.4,64,62.4,14,13.5,1,1,0,0,170,162.4,1,1,4,3.8,0,0,0,0,5,4.8,175,167.2,295903.12,0,0,0,51311.02,22113.54,369327.68,32205.88,0,32205.88,401533.56,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,210,188.7,136,123.7,90,87.1,295,243.7,7,7,0,0,738,650.2,0,0,0,0,0,0,0,0,0,0,738,650.2,2024686.82,16684.13,0,18083.38,405792.88,184204.7,2649451.91,0,0,0,2649451.91,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,9,9,27,27,3,3,1,1,0,0,44,44,1,1,0,0,0,0,2,2,3,3,47,47,126515.02,0,0,15099.46,24250.32,10602.67,176467.47,1645,3000,4645,181112.47,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,120,115.08,203,198.01,231,225.43,37,36.8,47,46.88,228,223,866,845.2,1,1,0,0,6,6,0,0,7,7,873,852.2,3002759.6,333623.18,0,7262.26,666449.22,299121.04,4309215.3,0,0,0,4309215.3,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,44,42.5,44,42.5,2,2,0,0,0,0,0,0,2,2,46,44.5,162601.23,64.28,0,0,29832.85,15836.29,208334.65,10035,0,10035,218369.65,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,65696,0,0,0,5795,7008,78499,0,0,0,78499,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,2,2,0,0,2,2,0,0,4,4,1,0.35,0,0,0,0,0,0,1,0.35,5,4.35,18298.45,0,0,0,2673.14,1818.7,22790.29,3277.26,0,3277.26,26067.55,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,20,19.17,43,41.834,12,11.736,2,2,1,1,0,0,78,75.74,5,4.6,0,0,0,0,0,0,5,4.6,83,80.34,210028,2968,0,0,43975,18486,275457,9023,0,9023,284480,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,6,5.41,6,5.47,9,8.7,2,2,3,3,9,1.5,35,26.08,0,0,0,0,0,0,1,0.6,1,0.6,36,26.68,122269.31,4800,0,0,9173.69,12834.12,149077.12,0,4750,4750,153827.12,
