Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/11/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,CARBON PROGRAMMES (PTY) LTD,1034098,5000, -Research & Development Expenditure (Programme),8001,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/11/2011,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1035777,21770.62, -Standard Desktop Plus Services,RG14 5FF,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/11/2011,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1035777,232.88, -Standard Desktop Plus Services,RG14 5FF,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/11/2011,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1036320,1177.02, -ICT Maintenance & Upkeep (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/11/2011,Taxis Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1036335,173.36, -Taxis Overseas,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/11/2011,Central Telecommunications Services,Finance & Commercial Group - Commercial Directorate,GOVERNMENT PROCUREMENT SERVICE (BUYING SOLUTIONS),1036573,-7144.27, -Central Telecommunications Services,L3 1PE,PCTF,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/11/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1036681,1417.69, -Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/11/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1036683,88.61, -Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/11/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1036782,324.08, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/11/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1036784,810.5, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
