FREEDOM OF INFORMATION,,
MOD Requests to 01 October 2010,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
31-08-2010-094310-001,27/09/2010,"I am searching for the full air accident report for an air crash on 17 September 1959, of serial no. XA424 (Gannet AS4) operating from RNAS Culdrose. All three servicemen on board were killed, whilst trying to land at Winkleigh, North Devon. "
31-08-2010-095915-002,28/09/2010,Does your dept have any blueprints of the Volkswagen Schwimmwagen from the time the British occupied part of Germany after the war including the VW factory in Wolfsburg?
31-08-2010-100652-003,28/09/2010,"Details about foreign recruitments, especially with Commonwealth countries, such as Canada?"
31-08-2010-103544-004,27/09/2010,Provide all minutes and communications of the Media Group chaired by Director News between September 11th 2001 and December 2005.
31-08-2010-110126-002,28/09/2010,"For research on the management of the Book of Reference (BR) by various navies to set up a special team to control, manage and administrate the BRs in the Malaysian Navy. Some information from the Royal Navy as the RMN itself were originated from RN and to use most of the BRs from UK as guidance."
31-08-2010-112811-003,28/09/2010,"For a dissertation on PTSD amongst those serving in the military. How may social workers the MoD employs, and how many (if any) are deployed?"
31-08-2010-114255-004,28/09/2010,How many MoD civilians and service personnel have been disciplined for personal use of the internet.
31-08-2010-131024-005,28/09/2010,Supply information currently held by the MOD for a proposed third Phase of Crystal Rig Windfarm (Crystal Rig III) in East Lothian/ Scottish Borders including any information exchanged with the developers or the Scottish Government.
31-08-2010-131827-006,28/09/2010,"Provide the total number of days lost through staff sickness, discipline or suspension for the years 2007, 2008 and 2009, if possible, within the statutory cost, break this down by month."
31-08-2010-132409-007,28/09/2010,Request for further information on answer provided for previous request submitted.
31-08-2010-145522-001,16/09/2010,Request for disclosure of documents.
31-08-2010-153337-004,28/09/2010,(1) Provide the number of occasions where surveillance as regulated by the Regulation of Investigatory Powers Act has been used in respect of assessing the validity or extent of compensation claims being made by injured servicemen since 2000.  (2) Of the total number of occasions identified in response to question 1 on how many occasions has the claim for compensation been rejected?  (3)  What was the total cost to the MoD of these surveillance operations broken down by financial year? 
01-09-2010-104417-001,28/09/2010,"(1) The citation for the DSO of specified individual awarded 6 Sep 1940.  (2) Any records pertaining to the events immediately prior to, during and after the sinking of U13 by HMS Weston 3 May 1940.  (3) Any records pertaining to Operation ROBIN especially the reasons for and outcome of the operation."
01-09-2010-112302-003,28/09/2010,The number of servicemen and women treated by Defence Medical Services for mental health conditions thought to be related to their deployment in Iraq since 2003 and Afghanistan since 2005.
01-09-2010-114840-001,28/09/2010,"(1) Total amount of severance pay/redundancy pay that has been paid to staff in your Department in the financial year 2007/8, 2008/9 and 2009/10 (separate totals for each year).  (2) Number of staff who received severance pay/redundancy pay in the financial year 2007/8, 2008/9 and 2009/10. (separate totals for each year).  (3) The top five amounts paid out in severance pay/redundancy pay in the financial year 2007/8, 2008/9 and 2009/10, and, if possible, a job description of the people receiving the money. If providing a job description would identify the individuals involved."
