FREEDOM OF INFORMATION,,
MOD Requests to 30 July 2010,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,

Case Number,Date Due,Request Summary
05-07-2010-092912-001,30/07/2010,"Any studies, business cases or other documentation around adopting open source software in your organisation. If you hold any such records, might I have a copy?  Also, any open source software in use in your organisation and any associated implementation costs (broken down,  if possible, by category such as external consultancy, internal time etc).  Finally, do you have a policy on the use of open source software?  If so, please provide a copy."
05-07-2010-095459-001,02/08/2010,"(1)	The most up to date version of the MOD?s Equipment Programme Plan(2)	The most up to date version of the MOD?s Equipment Support Programme Plan (3) 	The Document that details the outcome of the MOD spending roun2010."
05-07-2010-100037-002,02/08/2010,"Confirm if it was in fact The European Court of Human Rights which instructed the government of the day under the Premiership of The Rt Hon Tony Blair, to allow gay men and women to serve openly in the military?  Also, can you confirm that the British Government of the day had sent legal representation to the The European Court of Human Rights in order to keep the ban in place?  Finally, do you have statistics showing the number of openly gay men/women we currently have serving in the Armed Forces?"
05-07-2010-100347-001,02/08/2010,"The career proforma for Weapons System Operator and for Aerospace Battle Manager including the typical time taken for professional training and links between promotion and qualifications. Also, provide information regarding the length of engagement offered at various levels of seniority.  Also, provide the average length of service on promotion to each rank from the rank below for Air Traffic Controller, Weapons System Operator and for Aerospace Battle Manager with the percentage chance of achieving promotion from enlistment and from the rank below.  Provide information on the percentage achieving commission from the ranks for Air Traffic Controller and Weapons System Operator by rank."
05-07-2010-101309-002,02/08/2010,"(1) Provide full written disclosure of the MoD's funding of the following organisations, including how much it pays each year, the total costs paid to date (2010),and for what purpose, and also the raesons for this funding: The Muslim News; Stonewall; Any other religious or ethno-specific organisation or charity within the UK.  (2) How much funding has to date beeen given to a Chrisitian or heathen organisation or charity? (3) How much funding has been given to an ethno-specific charity for the English, Scots, Welsh or Irish with particular emphasis on the English?  (4) If the answer to No 3) is in the negative why has this been the case?  (5) Will the MoD be funding the only English charity, the Steadfast Trust, and if not, why not?"
05-07-2010-101853-002,02/08/2010,The numbers of military and civilian personnel employed at Abbey Wood in DE&S by grade and equivalent rank between Grade E and 1 star level and those above 1 star level as at the latest times these figures are available.
05-07-2010-102236-003,29/07/2010,I have had a cold call request for information from industry.  The caller has requested the type accident record for all Westland Wessex HU.5 aircraft.  The information is to be used to support the safety case for the operation of a Westland Wessex HU.5 on the civilian register.
05-07-2010-102636-003,29/07/2010,"As I understand it servicings are broken down into work packages for each trade on a daily basis; could I have the inspection cards for the EQ 1 servicing which relate to No. 1 tank (fuel feed refill and vent system). This should be a standard pack, which simply states such things as inspect, examine, remove and replace etc."
05-07-2010-102659-004,02/08/2010,(1) In areas where the MOD Police operate how far dose their jurisdiction go from the place they are protecting? (2) Does the MOD Police have patrol cars and can they give chase on public roads?  (3) Can they stop people for traffic violations? (4) Can they carry and discharge (use) their firearms away from the place they are protecting?
05-07-2010-103132-003,27/07/2010,"Copies of all correspondence relating to OJEU contract award, 2007/s 210-255269."
05-07-2010-103639-001,02/08/2010,Request for the history of a former MOD Land Rover xxxxxxxxxx.
05-07-2010-104320-002,02/08/2010,"Reference committee set up by legislation i.e. The War Pensions Committees Regulations 1990 and, in particular there are to be 18 members appointed by the SoS.  Currently there are 12 members appointed.  Request to know when each of these members were appointed and what areas each one represents under the above mentioned legislation?  In addition, advise when each members term is due to end and when the SoS will appoint further members to bring the committee to the legilative strength?  How are members selected?"
05-07-2010-111410-004,02/08/2010,"(1) For the aforementioned period does the Ministry of Defence hold information which relates to the use of airbases in the UK and or UK controlled airbases overseas for the purposes of rendition/extra-ordinary rendition flights.  If so, could the MoD supply a schedule and or list of the documents which includes the relevant authors and or correspondents of the documents, a brief description of the document and the date when it was generated.  I am interested in all information irrespective of the role played by the airbase."
05-07-2010-140208-001,30/07/2010,A copy of the follow up report to Air Incident Ser No. 60/2006.
05-07-2010-151750-002,26/07/2010,"The record of casualties, killed and injured in the Afgan campaign so far? Not just British but all countries in the Alliance. The frequent reports and parades in Wootton Bassett are very disturbing to people and one point of particular interest is exactly what contribution our alliance is making, such as France, Germany, Belgium and other Euro partners, plus Canada, Australia etc. My concern is that Britain is carrying a disproportionate part of the burden.  There must be a concise list available and I would appreciate receipt of a copy."
05-07-2010-165438-001,02/08/2010,"In 1958 I was posted to Christmas Island for Operation Grapple: Testing British Nuclear Weapons.  Prior to my posting I was subjected to 'Security Vetting' but this has not been entered in any of the Personal Service documents I have received.  (1) Was every Serviceman Security Vetted prior to attending Operation Grapple? (2) If not: How many Servicemen were security vetted in the Army, Navy, RAF and Royal Marines for operation Grapple in 1958? (3) Why were individuals singled out for this special treatment?"
05-07-2010-165939-002,02/08/2010,On the 16th June 2010 the actor Stephen Fry attended the Defence Academy College of Mgmt  and  Technology. It was an evening to commemorate the Dambusters. I would like to know how much Stephen Fry was paid for his appearance and the speech that he delivered.
05-07-2010-170838-003,02/08/2010,"The figure for expenditure to date for all of the programmes listed in the National Audit Office's Major Projects Report 2010.  The data was listed in every report since 1993 for every programme, and the data was collected for 2010, but was not published, according to the NAO."
05-07-2010-171812-004,02/08/2010,"Reference exchange in the House of Commons on 29th June 2010: James Gray (North Wiltshire, Conservative): To ask the Secretary of State for Defence what plans he has for the repatriation of bodies of soldiers killed in action after the closure of RAF Lyneham.  Nick Harvey (Minister of State (Armed Forces), Defence; North Devon, Liberal Democrat): A study is under way to determine the most suitable location for repatriations once flying operations cease at RAF Lyneham in September 2011. A final decision will be made later this year.  Request for a copy of the study mentioned by Nick Harvey, including any drafts that have been made so far. If none exist, I would like to know what alternative locations are being considered, even at a preliminary stage."
06-07-2010-092045-001,29/07/2010,"(1)  The cost in each financial year since 2005 up to an including the most recent financial year of renting of SFA across the UK which remained unoccupied. (2)  Could you break that down into a figure for the UK, a figure for England and Wales, a figure for Scotland and another for Northern Ireland."
06-07-2010-095040-001,02/08/2010,"(1)   Between 2000 and 2009 the Military Aviation Authority reported there were 9 birdstrike occurrences asssociated with military aircraft and helicopters at Dishforth military airfield. What were the details of each occurrence including time of day, aircraft involved, location, height above ground etc?"
06-07-2010-100218-001,02/08/2010,(2)   On 12 March 2010 the Senior Estates Surveyor for DE Operations North reported that a team in Sutton Coldfield had produced a report from an aerodrome guarding perspective on Dishforth Airfield about the outline planning application submitted by Heather Ives Associates in relation to a Motorway Services Area near the airfield. Request for the detailed contents of this report.
06-07-2010-105904-002,02/08/2010,"Request for information about the travel abroad activity of a UOTC unit in mid-July to August 2009.  Specifically, about one unit that traveled to Yosemite, California and then onto San Francisco, California.  I am interested in obtaining the names of the military personnel who traveled to this location."
06-07-2010-111226-003,03/08/2010,"Refernce Non Regular Permenent Staff attached to TA units.  How many personnel are employed in this service?  What was the cost to the defence budget in total, during the last reported financial year?  Is the service to be investigated as part of the forthcoming SDR?"
06-07-2010-120410-002,02/08/2010,Copies of the versions of the Blandford Garrison Health and  Safety Policies current on 12 November 2007 and also 1 February 2008 
06-07-2010-130031-004,03/08/2010,"(1) The overall annual cost of rent the MoD pays for Service family Accommodation (SFA) in the UK. To include DE (Scotland, Northern Ireland) Annington Homes (Wales and England) (2) The average cost for rent armed forces married personnel pay in the above locations in the UK. Therefore Cost DE (Scotland, Northern Ireland) Annington Homes (Wales , England) broken down into DE, Annington Homes (3) The highest amount service personnel pay for rent. Therefore Cost DE (Scotland, Northern Ireland) Annington Homes (Wales , England) broken down into DE, Annington Homes (4) The rent subsidies paid by the PUBLIC / DEFENCE PURSE. This should show the real cost of renting property from the DE, (Scotland, Northern Ireland and Annington Homes (Wales, England). (5) The annual repair bill, water and sewage rates plus council tax subsidised Paid by the PUBLIC / DEFENCE PURSE."
06-07-2010-133516-001,03/08/2010,"Would the current Warfare Rating’s Career Manager please advise what number of Warfare Branch CPOs were employed in WO1(Warfare)(GS)(Spec), WO1(Warfare)(Any) or WO1(CAPPS) positions during the period Jun 07 to Jun 08 inclusive?  Of this number, how many have since been promoted to WO1 and when?"
06-07-2010-150709-001,03/08/2010,"The number of C1 and B2 Commercial Posts filled (by year) from 2005 within the MoD sites in Bath, detailing the number posts let to officers with a declared disability."
06-07-2010-151109-002,03/08/2010,"The number officers within the MoD who have been offered redundancy as a consequence of being placed within the Redeployment Pool, by year from 2005 and detailing the number with a declared disability."
06-07-2010-153024-003,03/08/2010,"(a) How much is spent each year under the scheme for children of armed services personnel to attend independent boarding schools within the UK (b) How many children are involved, and what proportion of them have both parents living or stationed abroad."
06-07-2010-163511-004,03/08/2010,"Any plans or references to plans of the tunnels constructed beneath Dover Castle in WW2, particularly anything concerning Bastion Level."
07-07-2010-111835-002,03/08/2010,"What quantities of the following substances are held by the Ministry of Defence and in what medium are they stored:  Phosphine, Germane, Arsine, Silane, Borane, Stibine, Thalane.  Also, confirm what quantities of the following elements are held and in what medium are they stored:  Cesium, Rubidium, Arsenic, Thallium, Fluorine, Phosphorus, Chlorine, Lutetium, Neodymium, Promethium, Technetium.  Copies of any guidelines held at any sites where these materials are stored as to how leaks or spillages would be dealt with together with any information on decontamination processes."
07-07-2010-112710-001,03/08/2010,With reference to DTR:  (1) A copy of any fallback plans that have been submitted for comparisons  (2) Details of costs on external assistance from 2002 to date detailing which companies and individuals have received monies with regard to the programme  (3) Details of costs from 2002 to date of monies spent on the costs of the DTR IPT  (4) A copy of the hospitality book for the DTR IPT detailing last 5 years (5) Copies of any correspondence between the DTR IPT and MP Chris Bryant and former MP John Smith.
