Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2012,Rail Fares,"Strategy, Analysis and Better Regulation - BRDO",BARCLAYS BANK PLC,1056581,41.00, - Rail Fares,TS17 6YT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2012,Subsistence Payments,"Strategy, Analysis and Better Regulation - BRDO",BARCLAYS BANK PLC,1056581,28.02, - Subsistence Payments,TS17 6YT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2012,Other UK Travel & Subsistence,"Strategy, Analysis and Better Regulation - BRDO",BARCLAYS BANK PLC,1056581,20.00, - Other UK Travel & Subsistence,TS17 6YT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2012,External Training,"Strategy, Analysis and Better Regulation - BRDO",BARCLAYS BANK PLC,1056581,354.00, - External Training,TS17 6YT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2012,Courier Services,"Strategy, Analysis and Better Regulation - BRDO",BARCLAYS BANK PLC,1056581,502.02, - Courier Services,TS17 6YT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2012,Computer Consumables,"Strategy, Analysis and Better Regulation - BRDO",BARCLAYS BANK PLC,1056581,42.11, - Computer Consumables,TS17 6YT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2012,Office Supplies,"Strategy, Analysis and Better Regulation - BRDO",BARCLAYS BANK PLC,1056581,9.68, - Office Supplies,TS17 6YT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2012,Rail Fares (Programme),"Strategy, Analysis and Better Regulation - BRDO",BARCLAYS BANK PLC,1056581,79.00, - Rail Fares (Programme),TS17 6YT,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2012,Outsourced Programme Management Services,"Strategy, Analysis and Better Regulation - BRDO",BARCLAYS BANK PLC,1056581,960.00, - Outsourced Programme Management Services,TS17 6YT,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2012,Outsourced Programme Management Services,"Strategy, Analysis and Better Regulation - BRDO",BARCLAYS BANK PLC,1056581,-2002.42, - Outsourced Programme Management Services,TS17 6YT,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2012,Outsourced Programme Management Services,"Strategy, Analysis and Better Regulation - BRDO",BARCLAYS BANK PLC,1056581,348.00, - Outsourced Programme Management Services,TS17 6YT,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2012,Outsourced Programme Management Services,"Strategy, Analysis and Better Regulation - BRDO",BARCLAYS BANK PLC,1056581,138.90, - Outsourced Programme Management Services,TS17 6YT,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/08/2012,Taxis,Finance & Commercial Group - Finance Group,HUDSONS TAXIS,1057424,46.00, - Taxis,BN11 2BW,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/08/2012,Taxis,Finance & Commercial Group - Finance Group,HUDSONS TAXIS,1057424,248.00, - Taxis,BN11 2BW,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2012,Taxis,Finance & Commercial Group - Finance Group,HUDSONS TAXIS,1057548,30.00, - Taxis,TS24 7AD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/08/2012,Taxis,Finance & Commercial Group - Finance Group,HUDSONS TAXIS,1058470,122.00, - Taxis,TS24 7AD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2012,Guarding and Security Services,Finance & Commercial Group - Commercial Directorate,G4S TECHNOLOGY LTD,1058481,1601.88, - Guarding and Security Services,GL20 8UQ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/08/2012,IT Software Licences,Market Frameworks - RDA Transition and Closures,FUJITSU SERVICES LTD,1058942,380.30, - IT Software Licences,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2012,Outsourced Programme Management Services,"People, Communications and Effectiveness Group - Director of Change and Corporate Effectiveness, including the BIS Secretariat",FUJITSU SERVICES LTD,1059302,18997.20, - Outsourced Programme Management Services,WA3 9BD,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/08/2012,Other Training Costs,Finance & Commercial Group - Commercial Directorate,PARTNERSHIP MEDIA GROUP LTD T/A GOVNET COMMUNICATIONS,1059484,-859.20, - Other Training Costs,M1 6PP,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/08/2012,Computer Equipment - Clearing,Finance & Commercial Group - Commercial Directorate,LOGICA UK LTD,1059492,12449.75, - Computer Equipment - Clearing,CF31 9AP,,,,Capital
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/08/2012,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1059555,19.20, - Standard Desktop Plus Services,RG14 5FF,,,,Administration
