Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Total
Ministry of Defence,Council of Reserve Forces and Cadets Associations,12/05/2011,Rent and rates,Infrastructure,Vale of White Horse District Council,,2158,81480
Ministry of Defence,Council of Reserve Forces and Cadets Associations,12/05/2011,Rent and rates,Infrastructure,Vale of White Horse District Council,,2159,77292.56
Ministry of Defence,Council of Reserve Forces and Cadets Associations,18/05/2011,IT and communication services,IT & Comms,SOFTWARE BOX LTD,,9,37201.2
Ministry of Defence,Council of Reserve Forces and Cadets Associations,18/05/2011,IT and communication services,IT & Comms,Mycroft Talisen Ltd,,10,44628
Ministry of Defence,Council of Reserve Forces and Cadets Associations,18/05/2011,IT and communication services,IT & Comms,Mycroft Talisen Ltd,,11,63228
Ministry of Defence,Council of Reserve Forces and Cadets Associations,20/05/2011,Building maintenance and accommodation stores,Estates Management,J Tomlinson Ltd,,498661,30604.86
Ministry of Defence,Council of Reserve Forces and Cadets Associations,27/05/2011,Grants to Reserves Forces and Cadets Association,Estates Management,MCCarrick Construction,,7255,37299.66
Ministry of Defence,Council of Reserve Forces and Cadets Associations,31/05/2011,IT and communication services,IT & Comms,INFORMIT SYSTEMS LTD,,1191,28938
Ministry of Defence,Council of Reserve Forces and Cadets Associations,31/05/2011,Purchase of military transport,Capital Expenditure,A.M. PHILLIP TRUCKTECH LTD,,1545,25603
Ministry of Defence,Council of Reserve Forces and Cadets Associations,31/05/2011,Purchase of military transport,Capital Expenditure,A.M. PHILLIP TRUCKTECH LTD,,1546,25603
Ministry of Defence,Council of Reserve Forces and Cadets Associations,31/05/2011,Purchase of military transport,Capital Expenditure,A.M. PHILLIP TRUCKTECH LTD,,1549,25603
Ministry of Defence,Council of Reserve Forces and Cadets Associations,31/05/2011,Grants to Reserves Forces and Cadets Association,Estates Management,MCCarrick Construction,,7289,79550.92
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Central TLB,Suez Canal Authority,,1,173346.65
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Central TLB,Multinational Logistic Service Overseas ,,12,33182.31
Ministry of Defence,Ministry of Defence,01/06/2011,Payment of utilities,Central TLB,KALORGAS,,36,31310.42
Ministry of Defence,Ministry of Defence,01/06/2011,Payment of utilities,Central TLB,ENEL,,43,39082.56
Ministry of Defence,Ministry of Defence,01/06/2011,Food and clothing,Land Forces,Lenana Grocers,,59,31265.39
Ministry of Defence,Ministry of Defence,01/06/2011,Food and clothing,Land Forces,Lenana Grocers,,118,42321.86
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Air Command,Wing Cold Lake,,146,92547.77
Ministry of Defence,Ministry of Defence,01/06/2011,Transport hire charges,Air Command,Budget Car Hire,,153,32996.27
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Air Command,"Cold Lake, Alberta",,155,72653.57
Ministry of Defence,Ministry of Defence,01/06/2011,Externally delivered education and training.,Land Forces,Rift Valley Adventures,,202,143161.74
Ministry of Defence,Ministry of Defence,01/06/2011,Payment of utilities,Command Joint Operations,Falkland Islands Government,,95704,26221.54
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,801399,123.27
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,CV2 2TX,801399,266.78
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,801399,6604.85
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,801399,10266.66
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,801399,12213.94
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,801399,21898.97
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,801424,1176.41
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,801424,1764.62
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,801424,2085.6
Ministry of Defence,Ministry of Defence,01/06/2011,PFI Project Charge ,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,801424,10308.85
Ministry of Defence,Ministry of Defence,01/06/2011,PFI Project Charge ,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,801424,19273870.27
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801434,11.83
Ministry of Defence,Ministry of Defence,01/06/2011,Transport hire charges,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801434,226.38
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801434,455.81
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801434,1384.63
Ministry of Defence,Ministry of Defence,01/06/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801434,1467.27
Ministry of Defence,Ministry of Defence,01/06/2011,Transport hire charges,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801434,2389.8
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801434,2972.99
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Command Joint Operations,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801434,5392.97
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801434,5437.7
Ministry of Defence,Ministry of Defence,01/06/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801434,28307.45
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801434,28507.8
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Central TLB,BIRMINGHAM CITY UNIVERSITY,B42 2SU,801455,396192
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Defence Equipment & Support,C F ANDERSON & SON LIMITED,C06 1HD,801470,5739.63
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Land Forces,C F ANDERSON & SON LIMITED,C06 1HD,801470,10400.88
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,C F ANDERSON & SON LIMITED,C06 1HD,801470,15327.12
Ministry of Defence,Ministry of Defence,01/06/2011,IT and communication services,Defence Equipment & Support,CAPITA SECURE INFORMATION SYSTEMS LIMITED,SN14 0TW,801477,3384
Ministry of Defence,Ministry of Defence,01/06/2011,Medical treatment & stores and welfare services.,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,801480,1020.83
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,801481,729665.8
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,CONWAY PACKING SERVICES LTD,DY4 7UD,801490,58799.66
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SUPPORT GROUP  (DSG),SP11 8HT,801498,141483.01
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,DHS SYSTEMS INT'L LIMITED,HR2 6NP,801504,26251.96
Ministry of Defence,Ministry of Defence,01/06/2011,Payment of utilities,Air Command,GB OILS LIMITED,FK5 4RB,801549,13729.54
Ministry of Defence,Ministry of Defence,01/06/2011,Payment of utilities,Central TLB,GB OILS LIMITED,FK5 4RB,801549,67145.33
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,GKN AEROSPACE SERVICES LIMITED,PO32 6RA,801558,1774.33
Ministry of Defence,Ministry of Defence,01/06/2011,Medical treatment & stores and welfare services.,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,801571,3812
Ministry of Defence,Ministry of Defence,01/06/2011,Fees for professional services,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,801571,25936.5
Ministry of Defence,Ministry of Defence,01/06/2011,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,801580,6925
Ministry of Defence,Ministry of Defence,01/06/2011,Fees for professional services,Air Command,LGC LTD,TW11 0LY,801605,2679.97
Ministry of Defence,Ministry of Defence,01/06/2011,Fees for professional services,Navy Command,LGC LTD,TW11 0LY,801605,2679.97
Ministry of Defence,Ministry of Defence,01/06/2011,Fees for professional services,Land Forces,LGC LTD,TW11 0LY,801605,18462.05
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,MAN DIESEL & TURBO UK LIMITED,SK7 5BP,801618,3401.87
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,801628,310779.13
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,ONTIC ENGINEERING &  MANUFACTURING UK LIMITED,SL1 4DE,801660,29967.19
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Command Joint Operations,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,801689,599.7
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Defence Infrastructure Organisation ,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,801689,925
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Air Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,801689,3160.3
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,801689,3330.2
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Navy Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,801689,17989.7
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Central TLB,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,801689,28532.9
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Land Forces,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,801689,35601.7
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,ROLLS-ROYCE POWER ENGINEERING PLC,DE21 7XX,801701,28685.5
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,ROLLS-ROYCE POWER ENGINEERING PLC,KY11 9JT,801702,58885.72
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,ROYAL BRUNEI AIRLINES SDN BHD,,801706,2607.94
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Land Forces,ROYAL BRUNEI AIRLINES SDN BHD,,801706,263058.57
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Defence Equipment & Support,SERCO LIMITED,RG27 9UY,801720,44650.52
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,801720,92801.3
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,801720,416862.39
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Air Command,SODEXO LTD,M50 2UE,801729,53959.3
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,SOMERS TOTALKARE LIMITED,B62 8RP,801731,37649.45
Ministry of Defence,Ministry of Defence,01/06/2011,General services and support,Defence Equipment & Support,ULTRA ELECTRONICS LIMITED,GL7 1YG,801759,27793
Ministry of Defence,Ministry of Defence,01/06/2011,Property leases,Defence Infrastructure Organisation ,VEOLIA WATER NEVIS LIMITED,KY11 8UU,801763,1210163.46
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Air Command,XMA LTD,NG11 7EP,801771,21.11
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Command Joint Operations,XMA LTD,NG11 7EP,801771,147.06
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,801771,325.87
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,801771,963.62
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Central TLB,XMA LTD,NG11 7EP,801771,1978.81
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,801771,6600.33
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,801771,11382.34
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,801771,11516.94
Ministry of Defence,Ministry of Defence,01/06/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000011751,558939.81
Ministry of Defence,Ministry of Defence,01/06/2011,Fuel for military use,Air Command,CHEVRON BAHRAIN TRADING COMPANY  BSC,,2000011753,37476.38
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,DHS SYSTEMS INT'L LIMITED,HR2 6NP,2000011754,55640.25
Ministry of Defence,Ministry of Defence,01/06/2011,Fuel for military use,Land Forces,UNITED AVIATION SERVICES,,2000011760,91293.55
Ministry of Defence,Ministry of Defence,01/06/2011,IT and communication services,Defence Equipment & Support,AMADEUS IT GROUP SA,,3000005540,125909.89
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SEFA CONTRACTORS JV,,3000005545,1781700.1
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000057005,145629.94
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Defence Infrastructure Organisation ,FRITZ BIEFANG GMBH & CO KG,,5000057027,41553.77
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Defence Infrastructure Organisation ,JAKOBSMEYER STRASSENBAU GMBH,,5000057046,44653.27
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Defence Infrastructure Organisation ,LENGELING SERVICE GMBH,,5000057056,77958.5
Ministry of Defence,Ministry of Defence,01/06/2011,Payment of utilities,Central TLB,MABANAFT DEUTSCHLAND GMBH,,5000057059,2159.86
Ministry of Defence,Ministry of Defence,01/06/2011,Payment of utilities,Land Forces,MABANAFT DEUTSCHLAND GMBH,,5000057059,2775.64
Ministry of Defence,Ministry of Defence,01/06/2011,Payment of utilities,Defence Infrastructure Organisation ,MABANAFT DEUTSCHLAND GMBH,,5000057059,116236.02
