Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total,
Ministry of Defence,Ministry of Defence,22/10/2010,Property leases,Land Forces,ASPIRE DEFENCE LIMITED,708691,16978224.65,
Ministry of Defence,Ministry of Defence,14/10/2010,IT and communication services,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,704823,16264416.67,
Ministry of Defence,Ministry of Defence,05/10/2010,IT and communication services,Central TLB,OFFICE OF COMMUNICATIONS (OFCOM),700639,15845616.00,
Ministry of Defence,Ministry of Defence,12/10/2010,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,703710,15009293.00,
Ministry of Defence,Ministry of Defence,19/10/2010,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,10714,11425066.08,
Ministry of Defence,Ministry of Defence,07/10/2010,Design services and minor equipment purchases,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,701605,10871847.93,
Ministry of Defence,Ministry of Defence,13/10/2010,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS SUPPORT LIMITED,703936,8278607.29,
Ministry of Defence,Ministry of Defence,26/10/2010,Estate management,Defence Estates,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,710380,7585858.89,
Ministry of Defence,Ministry of Defence,19/10/2010,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK MARINE (CLYDE) LIMITED,706760,7409268.03,
Ministry of Defence,Ministry of Defence,19/10/2010,Miscellaneous Administration Costs,Navy Command,VT FLAGSHIP LTD,707325,7103276.33,
Ministry of Defence,Ministry of Defence,19/10/2010,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,10713,6615943.65,
Ministry of Defence,Ministry of Defence,22/10/2010,Purchase of buildings and military equipment ,Defence Estates,SKANSKA UK PLC,709331,5767813.23,
Ministry of Defence,Ministry of Defence,19/10/2010,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,707174,5682237.00,
Ministry of Defence,Ministry of Defence,14/10/2010,Purchase of buildings and military equipment ,Defence Estates,DEBUT SERVICES LIMITED,704700,5602368.34,
Ministry of Defence,Ministry of Defence,05/10/2010,Transport hire charges,Defence Equipment & Support,SD MARINE SERVICES LIMITED,700708,5548495.26,
Ministry of Defence,Ministry of Defence,12/10/2010,Property leases,Land Forces,RMPA SERVICES PLC,703726,5391234.52
Ministry of Defence,Ministry of Defence,13/10/2010,IT and communication services,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,704141,5195340.26
Ministry of Defence,Ministry of Defence,18/10/2010,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,706276,4992079.00
Ministry of Defence,Ministry of Defence,11/10/2010,Estate management,Defence Estates,BABCOCK DYNCORP LIMITED,702728,4897700.23
Ministry of Defence,Ministry of Defence,19/10/2010,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,706831,3812839.00
Ministry of Defence,Ministry of Defence,07/10/2010,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,2000009644,3592215.18
Ministry of Defence,Ministry of Defence,08/10/2010,Property leases,Command Joint Operations,EASTBURY PARK LIMITED,702279,3115003.06
Ministry of Defence,Ministry of Defence,15/10/2010,Transport hire charges,Air Command,FBS LIMITED,705454,3059583.56
Ministry of Defence,Ministry of Defence,22/10/2010,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS SUPPORT LIMITED,708716,3000000.00
Ministry of Defence,Ministry of Defence,28/10/2010,Purchase of buildings and military equipment ,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,711927,2619993.85
Ministry of Defence,Ministry of Defence,18/10/2010,IT and communication services,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,706281,2489082.90
Ministry of Defence,Ministry of Defence,27/10/2010,Grants to Reserves Forces and Cadets Association.,Defence Estates,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,710802,2275138.47
Ministry of Defence,Ministry of Defence,29/10/2010,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,2000009878,2073737.98
Ministry of Defence,Ministry of Defence,19/10/2010,Purchase of buildings and military equipment ,Defence Estates,SEFA CONTRACTORS JV,3000004754,2053474.02
Ministry of Defence,Ministry of Defence,15/10/2010,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,705807,1957765.47
Ministry of Defence,Ministry of Defence,04/10/2010,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,700160,1888098.98
Ministry of Defence,Ministry of Defence,29/10/2010,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,712433,1798992.23
Ministry of Defence,Ministry of Defence,19/10/2010,Fees for professional services,Land Forces,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,706963,1769467.00
Ministry of Defence,Ministry of Defence,08/10/2010,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,2000009654,1768615.76
Ministry of Defence,Ministry of Defence,19/10/2010,Property leases,Land Forces,DEFENCE TRAINING SERVICES LIMITED,706845,1697734.51
Ministry of Defence,Ministry of Defence,18/10/2010,Purchase of buildings and military equipment ,Defence Estates,BABCOCK DYNCORP LIMITED,706030,1649590.73
Ministry of Defence,Ministry of Defence,19/10/2010,Purchase of plant and machinery,Defence Equipment & Support,KELLOGG BROWN & ROOT LIMITED,706984,1633025.69
Ministry of Defence,Defence Science and Technology Laboratory,08/10/2010,Sub Contracted Research,Programme Office,SELEX GALILEO LIMITED,V - 9000126766 - 00092275,1600000.00
Ministry of Defence,Ministry of Defence,22/10/2010,Estate management,Defence Estates,LANDMARC SUPPORT SERVICES LIMITED,708989,1556185.46
Ministry of Defence,Ministry of Defence,11/10/2010,Transport hire charges,Air Command,BABCOCK AEROSPACE LIMITED,702727,1523011.00
Ministry of Defence,Ministry of Defence,07/10/2010,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,701940,1505749.09
Ministry of Defence,Ministry of Defence,25/10/2010,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,709923,1492369.73
Ministry of Defence,Defence Science and Technology Laboratory,22/10/2010,Facility Management Costs,Infrastructure,SERCO LIMITED,V - 9000127142 - 00093072,1480286.52
Ministry of Defence,Ministry of Defence,22/10/2010,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,708703,1449611.04
