ALB Code,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Firebuy,ACCOMMODATION SERVICES,LAMBERT SMITH HAMPTON,"22,406.00"
Firebuy,ACCOMMODATION SERVICES,VAIL WILLIAMS LLP,"34,153.00"
Firebuy,ADVERTISING,EMERGENCY SERVICES (MMC) LTD,955.00
Firebuy,ADVERTISING,HEMMING GROUP LTD,500.00
Firebuy,ADVERTISING,JOBSGO PUBLIC LIMITED,990.00
Firebuy,ADVERTISING,PAVILION PUBLISHING LIMITED,"1,500.00"
Firebuy,ADVERTISING,PPS PUBLICATIONS LTD,775.00
Firebuy,EVENTS ORGANISATION,COMPANY BARCLAYCARD,"50,063.74"
Firebuy,EVENTS ORGANISATION,EXETER CITY COUNCIL,613.90
Firebuy,EVENTS ORGANISATION,FIRE SERVICE COLLEGE,568.26
Firebuy,EVENTS ORGANISATION,LONDON FIRE & EMERG PLANNING AUTH,"12,669.65"
Firebuy,EVENTS ORGANISATION,STAFFORDSHIRE FIRE & RESCUE SERVICE,"1,799.02"
Firebuy,FINANCIAL CONSULTANCY,BASIS LTD,"1,961.86"
Firebuy,FINANCIAL CONSULTANCY,ICC INFORMATION LTD,-562.50
Firebuy,FINANCIAL SERVICES,DCLG,"9,750.87"
Firebuy,FINANCIAL SERVICES,ICC INFORMATION LTD,"1,125.00"
Firebuy,FINANCIAL SERVICES,JOHN HEATH INSURANCE BROKERS LLP,"3,216.48"
Firebuy,FINANCIAL SERVICES,LAMBERT SMITH HAMPTON,"6,000.00"
Firebuy,FINANCIAL SERVICES,NORTHGATE ARINSO LIMITED,"5,053.55"
Firebuy,FINANCIAL SERVICES,PAUL NAPIER LIMITED,"16,222.50"
Firebuy,FINANCIAL SERVICES,VAIL WILLIAMS LLP,"9,250.00"
Firebuy,FOOD,DONCASTER COLLEGE,502.02
Firebuy,HARDWARE,FIDONET REGISTRATION SERVICES LTD,"27,767.00"
Firebuy,HARDWARE,INTERACTION OF BATH,549.00
Firebuy,HOTELS,COMPANY BARCLAYCARD,"7,052.64"
Firebuy,HOTELS,SCANIA (GREAT BRITAIN) LTD,"2,175.00"
