CONTRACTS WHERE THE GPC IS THE PAYMENT METHOD,
SUMMARY OF EXPENDITURE,


,Mar-12
STATIONERY CONTRACT,"1,666.85"
PAPER CONTRACT,0
IT CONSUMBLES CONTRACT,"215,650.84"
NEW STATIONERY CONTRACT,"340,703.71"

DEFENCE TRAVEL CONTRACT - HOTELS,"111,134.14"
DEFENCE TRAVEL CONTRACT - SCHEDULE AIRLINES,"4,269,876.33"
DEFENCE TRAVEL CONTRACT - LOW COST AIRLINES,"824,642.13"
DEFENCE TRAVEL CONTRACT - RAIL,"1,825,357.85"
DEFENCE TRAVEL CONTRACT - OVERSEAS CAR HIRE,"130,626.78"
DEFENCE TRAVEL CONTRACT - EBIS BOOKING FEES,"59,742.04"
