Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/01/2012,PPM (Project & Programme Management) Training,Market Frameworks - Business Environment,7 CITY LEARNING LTD,1043456,3360,RUNNING COSTS DEVOLVED -PPM (Project & Programme Management) Training,EC1Y 4UP,SME,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/01/2012,PPM (Project & Programme Management) Training,Market Frameworks - Business Environment,7 CITY LEARNING LTD,1043456,101.42,RUNNING COSTS DEVOLVED -PPM (Project & Programme Management) Training,EC1Y 4UP,SME,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/01/2012,Hire of Conference Facilities,Finance & Commercial Group - Finance Group,ABBEY COMMUNITY ASSOCIATION LTD (ABBEY COMMUNITY SERVICES LTD),1045188,416,RUNNING COSTS DEVOLVED -Hire of Conference Facilities,SW1P 3BU,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/01/2012,Hire of Conference Facilities,Finance & Commercial Group - Finance Group,ABBEY COMMUNITY ASSOCIATION LTD (ABBEY COMMUNITY SERVICES LTD),1045188,89.85,RUNNING COSTS DEVOLVED -Hire of Conference Facilities,SW1P 3BU,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Grant in Aid - Current -Other,Market Frameworks - Labour Market,ACAS,1042410,3488000,ACAS FUNDING -Grant in Aid - Current -Other,NW1 3JJ,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Grant in Aid - Current -Other,Market Frameworks - Labour Market,ACAS,1042410,712000,ACAS FUNDING -Grant in Aid - Current -Other,NW1 3JJ,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Other UK Travel & Subsistence,"Legal, People & Communications Group - Organisation Design",ACHIEVE POSITIVE PEOPLE SOLUTIONS LTD (APPS),1045332,111,RUNNING COSTS DEVOLVED -Other UK Travel & Subsistence,PR8 6AE,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/01/2012,Leadership & People Management Training,Business & Skills Group - FE & Skills Investment,ACKNOWLEDGE LTD,1045468,2035,RUNNING COSTS DEVOLVED -Leadership & People Management Training,HA3 0AY,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2012,Taxis,"Legal, People & Communications Group - Communications Directorate",ADDISON LEE plc,1043672,51.52,RUNNING COSTS DEVOLVED -Taxis,NW1 3ER,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/01/2012,Taxis,Knowledge and Innovation Group - Government Office for Science,ADDISON LEE plc,1045097,208.5,RUNNING COSTS DEVOLVED -Taxis,NW1 3ER,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/01/2012,Taxis,Knowledge and Innovation Group - Government Office for Science,ADDISON LEE plc,1045157,300.6,RUNNING COSTS DEVOLVED -Taxis,NW1 3ER,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/01/2012,Taxis,Knowledge and Innovation Group - Government Office for Science,ADDISON LEE plc,1045175,284.84,RUNNING COSTS DEVOLVED -Taxis,NW1 3ER,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1045469,173.1,RUNNING COSTS DEVOLVED -Car Hire and Leasing,NW1 3ER,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1045469,287.08,RUNNING COSTS DEVOLVED -Car Hire and Leasing,NW1 3ER,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1045469,200.43,RUNNING COSTS DEVOLVED -Car Hire and Leasing,NW1 3ER,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1045469,161.79,RUNNING COSTS DEVOLVED -Car Hire and Leasing,NW1 3ER,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1045469,181.93,RUNNING COSTS DEVOLVED -Car Hire and Leasing,NW1 3ER,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1045469,137.92,RUNNING COSTS DEVOLVED -Car Hire and Leasing,NW1 3ER,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1045469,95.05,RUNNING COSTS DEVOLVED -Car Hire and Leasing,NW1 3ER,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1045469,504.3,RUNNING COSTS DEVOLVED -Car Hire and Leasing,NW1 3ER,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1045469,458.63,RUNNING COSTS DEVOLVED -Car Hire and Leasing,NW1 3ER,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1042123,605.75,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1042124,608.03,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1042387,249.91,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1042459,607.4,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1042821,671.08,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1042822,608.03,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1042823,590.84,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1042824,393.12,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1042826,628.43,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1042833,767.7,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Market Frameworks - Europe Trade & International Directorate,ADECCO UK LTD,1042834,609.65,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1042835,182.7,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1042836,483.72,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1042837,604.7,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1042839,568.98,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1042840,695.51,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal Services",ADECCO UK LTD,1042841,411.1,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1042842,612.23,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1042845,480.44,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1042848,432.04,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1042962,603.82,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal Services",ADECCO UK LTD,1043117,697.86,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Market Frameworks - Europe Trade & International Directorate,ADECCO UK LTD,1043410,605.53,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1043507,358.2,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1043508,348.12,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1043509,539.83,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1043510,480.44,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1043511,522.35,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1043512,720.1,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1043513,742.68,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal Services",ADECCO UK LTD,1043518,451.68,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1043519,532.36,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1043521,662.66,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1043522,361.68,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1045235,772.2,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal Services",ADECCO UK LTD,1045236,482.71,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1045238,448.32,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Business & Skills,ADECCO UK LTD,1045239,994.79,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1045240,762.61,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1045241,381.42,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1045242,201.6,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1045243,696,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1045244,636.05,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1045245,710.28,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1045246,444.73,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1045247,872.36,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Market Frameworks - Europe Trade & International Directorate,ADECCO UK LTD,1045248,516.38,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Services,ADECCO UK LTD,1045267,924.96,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal Services",ADECCO UK LTD,1045283,697.86,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1045296,847.54,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1045297,740.87,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1045298,676.97,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1045299,641.71,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1045300,727.91,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1045302,488.15,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1045303,607.84,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/01/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,ADECCO UK LTD,1045304,110.44,RUNNING COSTS NON DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/01/2012,Economic Consultancy & Research,ESBR - Analysis Directorate,AEA TECHNOLOGY PLC T/A AEA ENVIRONMENT,1042965,3250,RUNNING COSTS DEVOLVED -Economic Consultancy & Research,OX11 0QR,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/01/2012,PPM (Project & Programme Management) Training,Finance & Commercial Group - Commercial Directorate,AIMS4CHANGE LTD,1043122,80,RUNNING COSTS DEVOLVED -PPM (Project & Programme Management) Training,CF3 2AD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/01/2012,PPM (Project & Programme Management) Training,Business & Skills Group - Business & Skills,AIMS4CHANGE LTD,1045079,3390,RUNNING COSTS DEVOLVED -PPM (Project & Programme Management) Training,CF3 2AD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/01/2012,PPM (Project & Programme Management) Training,Finance & Commercial Group - Commercial Directorate,AIMS4CHANGE LTD,1045636,700,RUNNING COSTS DEVOLVED -PPM (Project & Programme Management) Training,CF3 2AD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/01/2012,Technical Advice / Services & Support,"Legal, People & Communications Group - Human Resources",AKM HR LTD,1045569,2039.8,RUNNING COSTS NON DEVOLVED -Technical Advice / Services & Support,NN6 0HF,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/01/2012,Recruitment Consultancy Costs,Finance & Commercial Group - Finance Group,ALLEN LANE LTD,1042466,-6750,RUNNING COSTS DEVOLVED -Recruitment Consultancy Costs,SW1Y 5JH,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/01/2012,Hire of Agency Staff (Professional/Management),Finance & Commercial Group - Finance Group,ALLEN LANE LTD,1042930,3030,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Professional/Management),BN11 2BW,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/01/2012,Other Staff Costs,Finance & Commercial Group - Finance Group,ALLEN LANE LTD,1045411,5500,RUNNING COSTS DEVOLVED -Other Staff Costs,SW1Y 5JH,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/01/2012,Hire of Agency Staff (Professional/Management),Finance & Commercial Group - Finance Group,ALLEN LANE LTD,1045617,3030,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Professional/Management),BN11 2BW,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/01/2012,Cash Expenditure during the Year - Other Programme Provisions,Finance & Commercial Group - Finance Group,ANGELA LANDAU,1043656,174,ENEMY PROPERTY PAYMENTS TO ASSESSORS -Cash Expenditure during the Year - Other Programme Provisions,NW11 6NH,,,,Programme
