Rail subsidy per passenger mile by Train Operating Company (TOC): DfT franchised train operators,,,,,,,,,,,,,,,,,

"For this indicator, total subsidy includes:",,,,,,,,,,,,,,,,,
"a) Subsidy paid directly to train operators by Government Figures published by the Office of Rail Regulation based on passenger kilometres, converted to miles.",,,,,,,,,,,,,,,,,
This is broken down further into Net franchise payments (a1) and Revenue Support (a2),,,,,,,,,,,,,,,,,
"b) An allocation of the Network Grant (that is, payments made directly to Network Rail)",,,,,,,,,,,,,,,,,
"This is calculated by taking the total Network Grant, apportioned according to each franchise’s share of Fixed Track Access Charges. ",,,,,,,,,,,,,,,,,
c) Total subsidy per passenger mile (a + b),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2009/10,,,,,,2010/11,,,,,,2011/12,,,,
,a1,a2,a,b,c,,a1,a2,a,b,c,,a1,a2,a,b,c
Train Operating Company,Net franchise payment (pence per mile),Revenue Support (pence per mile),Total Government Subsidy (pence per mile),Network Grant (pence per mile),Total subsidy (pence per mile),,Net franchise payment (pence per mile),Revenue Support (pence per mile),Total Government Subsidy (pence per mile),Network Grant (pence per mile),Total subsidy (pence per mile),,Net franchise payment (pence per mile),Revenue Support (pence per mile),Total Government Subsidy (pence per mile),Network Grant (pence per mile),Total subsidy (pence per mile)
c2c,-0.6,0.0,-0.6,7.7,7.1,,-1.1,0.0,-1.1,7.1,6.0,,-2.0,0.0,-2.0,7.0,5.0
Chiltern Railways,1.5,0.0,1.5,13.4,14.9,,-2.9,0.0,-2.9,13.1,10.1,,1.0,0.0,1.0,12.4,13.5
CrossCountry,3.6,0.0,3.6,16.0,19.6,,1.6,0.0,1.6,15.2,16.9,,-0.6,0.9,0.3,14.7,15.0
East Coast,-8.2,0.0,-8.2,13.5,5.3,,-5.8,0.0,-5.8,6.5,0.7,,-6.2,0.0,-6.2,6.6,0.5
East Midlands Trains,0.8,0.0,0.8,15.4,16.2,,-1.7,0.0,-1.7,14.2,12.5,,-4.8,1.9,-3.0,13.7,10.8
First Capital Connect,-6.9,2.3,-4.6,6.2,1.6,,-8.1,1.3,-6.8,5.9,-0.9,,-9.1,1.5,-7.6,5.4,-2.2
First Great Western,-4.1,4.1,-0.1,10.0,9.9,,-7.1,4.1,-3.0,9.2,6.2,,-8.8,5.8,-3.0,8.8,5.8
First TransPennine Express,9.3,0.0,9.3,14.3,23.6,,8.4,0.0,8.4,12.5,20.9,,8.0,0.0,8.0,12.1,20.1
Greater Anglia,-,-,-,-,-,,-,-,-,-,-,,-4.2,0.0,-4.2,8.1,3.9
London Midland,9.8,-0.2,9.6,13.1,22.7,,5.8,0.0,5.8,11.9,17.8,,5.0,0.0,5.0,10.7,15.8
National Express East Anglia,-5.7,1.5,-4.2,9.3,5.1,,-5.9,1.4,-4.5,8.8,4.2,,-5.3,1.8,-3.5,8.6,5.1
National Express East Coast,-6.4,0.0,-6.4,5.3,-1.0,,-,-,-,-,-,,-,-,-,-,-
Northern Rail,8.8,0.0,8.8,30.5,39.3,,6.3,-0.9,5.4,28.6,34.0,,8.2,-0.9,7.3,27.6,34.9
Southeastern,5.2,0.0,5.2,10.5,15.7,,8.1,0.7,8.8,9.9,18.7,,1.5,1.9,3.4,9.7,13.0
Southern,1.9,0.0,1.9,7.9,9.8,,-4.0,0.0,-4.0,7.4,3.5,,-0.6,0.0,-0.6,7.0,6.4
South West Trains,-4.2,0.0,-4.2,8.1,3.9,,-7.2,2.0,-5.2,7.6,2.4,,-8.8,2.4,-6.4,7.4,0.9
Virgin Trains,-0.8,2.3,1.5,9.4,10.9,,-5.6,0.9,-4.7,8.4,3.7,,-5.7,1.2,-4.5,8.1,3.6
,,,,,,,,,,,,,,,,,
Total DfT franchised TOCs,-0.7,1.0,0.2,10.7,10.9,,-2.8,1.0,-1.8,9.9,8.1,,-3.6,1.5,-2.1,9.6,7.5


Notes:
Negative figures reflect where train operators were paying a premium to DfT rather than receiving a subsidy.
The National Express East Coast franchise ended on 14 November 2009 when East Coast took over the franchise.
The National Express East Anglia franchise ended on 5 February 2012 when Greater Anglia took over the franchise.
