Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",03/06/2010,News of the World,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",23/06/2010,Ismali Centre,Dinner
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",22/06/2101,Respublica,Dinner
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",23/06/2010 - 24/06/2010,Chartered Institute of Housing,Dinner and overnight accommodation 
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return
"Bob Neill MP, Parliamentary Under-Secretary of State",25/05/2010,Leadership centre for Local Government ,Dinner
"Bob Neill MP, Parliamentary Under-Secretary of State",04/06/2010,Fire Fighters Charity – Spirit of Fire Awards,Dinner
"Bob Neill MP, Parliamentary Under-Secretary of State",13/07/2010,London First,Dinner
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return


"* Does not normally include attendance at functions hosted by HM Government or the Royal Household; attendance at ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions conferences and seminars; working meals; light refreshments; attendance at lunches, dinners and receptions by professional bodies and their equivalents in local government and in the non-governmental public sector; meals provided at a conference; and offers of hospitality which were declined.",,,
