ALB,Supplier,Net Amount £
The Standards Board for England,THE NEC GROUP,"254,742.35"
The Standards Board for England,N BROWN FUNDING LTD,"204,832.50"
The Standards Board for England,MWB BUSINESS EXCHANGE,"195,606.49"
The Standards Board for England,KELWAY (UK) LTD,"191,361.60"
The Standards Board for England,MONROVIA SOLUTIONS LTD,"145,145.37"
The Standards Board for England,PRO'TEAN DESIGN,"115,501.38"
The Standards Board for England,PA CONSULTING,"101,556.50"
The Standards Board for England,LONSDALE TRAVEL LTD/CAPITA BUS,"97,883.27"
The Standards Board for England,THOMPSON BRAND PARTNERS,"82,310.28"
The Standards Board for England,TOUCHSTONE/ETC GLOBAL SOLUTION,"80,789.58"
The Standards Board for England,SEARCH RECRUITMENT,"78,145.62"
The Standards Board for England,INSIGHT DIRECT (UK) LTD,"74,828.20"
The Standards Board for England,JACARANDA,"68,308.28"
The Standards Board for England,EVERSHEDS,"66,845.40"
The Standards Board for England,EC GROUP,"63,669.05"
The Standards Board for England,CAPITA RESOURCING,"62,739.95"
The Standards Board for England,BENEDICT BUSINESS RESOURCES,"51,151.19"
The Standards Board for England,BMG RESEARCH,"49,987.66"
The Standards Board for England,EMAP LIMITED,"49,829.53"
The Standards Board for England,REED TRAINING,"47,938.03"
The Standards Board for England,THE CHASE,"47,055.50"
The Standards Board for England,TAYBURN LTD,"40,038.12"
The Standards Board for England,LEXIS NEXIS,"37,220.34"
The Standards Board for England,OFFICE PROJECTS,"34,890.76"
The Standards Board for England,TMP (UK)LTD,"33,558.84"
The Standards Board for England,DRIVERS JONAS,"33,217.99"
The Standards Board for England,BADENOCH & CLARK,"32,399.46"
The Standards Board for England,KINGSTON COMMUNICATIONS,"31,662.35"
The Standards Board for England,BENTLEY JENNISON RISK MANAGEME,"31,307.65"
The Standards Board for England,CONDUCT INVESTIGATIONS,"27,587.18"
The Standards Board for England,JD WILLIAMS,"25,951.11"
The Standards Board for England,BRITISH TELECOMMUNICATIONS PLC,"25,506.11"
The Standards Board for England,DURRANTS PRESS CUTTINGS LTD,"24,779.79"
The Standards Board for England,VODAFONE CORPORATE LTD,"22,485.01"
The Standards Board for England,BROOKVEX,"21,605.82"
The Standards Board for England,CONSERVATIVES - CCHQ,"21,222.00"
The Standards Board for England,CLEANING NORTHWEST,"20,451.19"
The Standards Board for England,JT MCLAUGHLIN LTD,"19,408.09"
The Standards Board for England,VIZUAL BUSINESS TOOLS PLC,"19,068.90"
The Standards Board for England,HYATT REGENCY BIRMINGHAM,"18,800.34"
The Standards Board for England,WEIGHTMANS LLP,"17,772.60"
The Standards Board for England,GUARDIAN MEDIA GROUP PLC,"17,625.00"
The Standards Board for England,TERMINAL FOUR,"16,970.32"
The Standards Board for England,CONVERGENT NETWORK SOLUTIONS L,"14,742.06"
The Standards Board for England,WEBSEDGE TV,"14,687.50"
The Standards Board for England,OFFICE ZONE,"14,628.05"
The Standards Board for England,PRICEWATERHOUSE COOPERS,"14,531.98"
The Standards Board for England,CENTRE POINT SOFTWARE LTD,"14,305.98"
The Standards Board for England,LIBERAL DEMOCRATS,"11,136.88"
The Standards Board for England,WOLTERS KLUWER,"10,931.50"
The Standards Board for England,121 MOUNTCO 074 LTD,"10,670.63"
The Standards Board for England,BOND SOLON,"10,472.82"
The Standards Board for England,HEMMING GROUP LTD,"10,401.56"
The Standards Board for England,LABOUR PARTY,"9,792.50"
