Organisation(All),,,,,,,,,,,,,,,,,,,,,
"Total departmental spending , 2005-06 to 2014-15",,,,,,,,,,,,,,,,,,,,,
£'000,,,,,,,,,,,,,,,,,,,,,
,,,2005-06,,2006-07,,2007-08,,2008-09,,2009-10,,2010-11,,2011-12,,2012-13,,2013-14,,2014-15
,,,OUTTURN,,OUTTURN,,OUTTURN,,OUTTURN,,OUTTURN,,OUTTURN,,OUTTURN,,PLANS,,PLANS,,PLANS
Resource DEL,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Provision of Defence Capability Service Personnel Costs,-,,"8,484,781",,"8,787,857",,"8,818,819",,"9,270,207",,"9,687,233",,"9,822,628",,"9,547,851",,"9,422,960",,"9,269,660"
,,Provision of Defence Capability Civilian Personnel Costs,-,,"2,476,966",,"2,565,443",,"2,574,482",,"2,706,255",,"2,708,577",,"2,888,233",,"2,279,317",,"2,102,305",,"2,041,674"
,,Provision of Defence Capability Infrastructure costs,-,,"4,146,905",,"4,122,192",,"4,532,692",,"4,575,357",,"4,130,436",,"4,365,665",,"4,160,724",,"4,176,951",,"4,165,038"
,,Provision of Defence Capability Inventory Consumption,-,,"2,020,993",,"1,851,609",,"1,922,549",,"1,851,181",,"1,560,057",,"1,740,806",,"1,485,994",,"1,486,376",,"1,432,074"
,,Provision of Defence Capability Equipment Support Costs,-,,"5,140,885",,"5,186,947",,"5,417,481",,"6,066,863",,"5,721,074",,"5,625,988",,"5,600,218",,"5,655,085",,"5,587,199"
,,Provision of Defence Capability Other Costs and Services (see details),-,,"806,409",,"906,281",,"1,379,233",,"1,310,353",,"2,590,215",,"1,357,871",,"1,628,857",,"1,629,276",,"1,660,495"
,,Provision of Defence Capability Receipts and other Income,-,,"-1,595,606",,"-1,813,209",,"-1,698,504",,"-1,744,595",,"-1,280,177",,"-1,283,873",,"-1,156,415",,"-1,181,863",,"-1,178,673"
,,Provision of Defence Capability Depreciation and Impairments Costs,-,,"6,732,334",,"7,464,384",,"6,388,871",,"7,901,575",,"10,626,669",,"9,291,756",,"8,677,012",,"8,984,000",,"9,452,000"
,,Provision of Defence Capability Cash Release of Provisions Costs,-,,"413,347",,"486,912",,"316,031",,"273,437",,"242,598",,"176,464",,"242,868",,"243,159",,"242,431"
,,Provision of Defence Capability Other Capital (Fiscal),-,,"-2,167",,-,,-,,-,,-,,-,,-,,-,,-
,,Operations Service Personnel Staff Cost,-,,"142,377",,"162,053",,"174,953",,"187,477",,"204,898",,"278,285",,"246,770",,"5,200",,"5,200"
,,Operations and Peacekeeping Civilian Personnel Staff Costs,-,,"46,227",,"52,615",,"56,804",,"60,870",,"23,043",,"25,570",,"32,192",,-,,-
,,Operations Infrastructure Costs,-,,"233,372",,"343,360",,"367,614",,"366,443",,"312,144",,"214,071",,"239,496",,-,,-
,,Operations Inventory Consumption,-,,"462,232",,"645,706",,"910,319",,"719,429",,"786,590",,"794,614",,"720,701",,-,,-
,,Operations Equipment Support Costs,-,,"382,203",,"599,008",,"847,896",,"806,205",,"629,133",,"630,108",,"665,413",,-,,-
,,Operations Other Costs and Services,-,,"131,776",,"134,065",,"136,399",,"155,714",,"560,059",,"492,251",,"490,855",,-,,-
,,Operations Receipts and other Income,-,,"-15,557",,"-27,710",,"-28,090",,"-58,486",,"-33,245",,"-42,806",,"-27,961",,-,,-
,,Operations Depreciation and Impairment Costs,-,,"54,087",,"266,467",,"358,109",,"385,679",,"308,591",,"532,998",,"519,617",,-,,-
,,Operations Cash Release of Provisions Costs,-,,-,,-,,-,,"7,379",,"11,093",,"2,827",,"5,734",,-,,-
,,Conflict Pools Resource Costs,-,,-,,-,,-,,-,,"59,705",,"46,212",,"52,200",,-,,-
,,Non Departmental Public Bodies Costs,-,,"63,316",,"63,272",,"238,811",,"193,386",,"186,203",,"186,791",,"171,443",,-,,-
,,Provision of Defence Capability Research and Development Costs,-,,-,,-,,-,,-,,-,,"833,485",,"1,176,522",,"1,210,648",,"1,244,727"
,,IFRS/PFI and other costs,-,,-,,-,,-,,"-117,360",,-,,-,,-,,-,,-
 ,,,,,,,,,,,,,,,,,,,,,
,,Total Resource DEL,-,,"30,124,880",,"31,797,252",,"32,714,469",,"34,917,369",,"39,034,896",,"37,979,944",,"36,759,408",,"33,734,097",,"33,921,825"
Of which:,,,,,,,,,,,,,,,,,,,,,
,,Staff costs,-,,"11,263,549",,"11,708,002",,"11,772,534",,"12,305,054",,"12,546,522",,"12,849,165",,"12,106,130",,"11,530,465",,"11,316,534"
