Department Family,Entity,Clearing,Expense Type,Expense Area,Supplier,Doc Nbr,Amount
Communities & Local Government,GO,01/03/2011,Training,GOEM,ANGLIAN MEDICAL          01603 422724,1000003011,528.74
Communities & Local Government,GO,10/03/2011,Agency Staff,GOSW,REED EMPLOYMENT          0208 2744284,1000003021,"3,343.03"
Communities & Local Government,GO,10/03/2011,Car Lease (expense),GOYH,ENTERPRISE               0113 2018900,1000003018,573.75
Communities & Local Government,GO,10/03/2011,Conferences and Meeting Facilities,GOSW,JURYS INN                PLYMOUTH,1000003021,580.00
Communities & Local Government,GO,10/03/2011,Training,GOSW,THE GABLES SCHOOL OF COO FALFIELD,1000003021,"1,725.00"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
