ALB,Supplier,Net Amount £,Public Sector Procurement Expenditure Survey Category 
Thurrock Thames Gateway Development Corporation,King Sturge Llp,500,PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,Merebrook Science & Environmental Ltd,500,PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,Trevor Roberts Associates Ltd,500,PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,URS Corporation Ltd,500,PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,BRITISH GAS,505.61,GAS
Thurrock Thames Gateway Development Corporation,Unibind Systems,529.9,OFFICE SUPPLIES
Thurrock Thames Gateway Development Corporation,BUPA Wellness,530,TECHNICAL CONSULTANCY
Thurrock Thames Gateway Development Corporation,Royal Institution of Chartered Surveyors,537,LEARNING AND DEVELOPMENT MATERIALS
Thurrock Thames Gateway Development Corporation,Adrenaline Advertising Limited,541,PRINT
Thurrock Thames Gateway Development Corporation,DRAINFIX,550,BUILDING REPAIR AND MAINTENANCE
Thurrock Thames Gateway Development Corporation,Colour Creatives Limited,559,PRINT
Thurrock Thames Gateway Development Corporation,Sharps Redmore Partnership,565,PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,Thurrock Harriers,600,EVENTS ORGANISATION
Thurrock Thames Gateway Development Corporation,Billericay Carriges,620,COACH
Thurrock Thames Gateway Development Corporation,Clare Kendall,624,PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,Kaplan Hawksmere,678,LEARNING AND DEVELOPMENT MATERIALS
Thurrock Thames Gateway Development Corporation,Simon Thomas,685,PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,M&A Surveys Ltd,690,PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,White Light Ltd,695,PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,Flora Tec Limited,700,BUILDING MANAGEMENT
Thurrock Thames Gateway Development Corporation,Pencilfish,700,MARKETING
Thurrock Thames Gateway Development Corporation,Sara Allom,700,PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,Anglian Water Services Ltd,708.95,WATER
Thurrock Thames Gateway Development Corporation,Bipsolutions Ltd,750,PROCUREMENT CONSULTANCY
Thurrock Thames Gateway Development Corporation,ROB MOORE PHOTOGRAPHY,750,PROPERTY SERVICES / ESTATES CONSULTANCY
Thurrock Thames Gateway Development Corporation,Perfect Display,767.23,MARKETING
