ICT,,,,,,
Department,Organisation Name,Project Name ,Basis for Exception, Value requested (£) , Value Approved (£) ,Approval month
"Department for Business, Innovation and Skills",Student Loans Company,Customer Portal,·    To avoid impact to citizen / business facing services in line with Government priorities.,"2,694","2,694",April
,,,Replacement of the current portal used by applicants due to serious usability and process issues resulting in major operational costs for SLC.  There have been a number of commissioned reports and policies that call for easier access to finance.,,,
"Department for Business, Innovation and Skills",Skills Funding Agency,NAS / SFA IT System Changes Q1 2012 Project,·    To avoid impact to citizen / business facing services in line with Government priorities.,"1,700","1,700",April
,,,Changes in the National Apprenticeship Service systems to support changes in the structure and business processes of service.,,,
"Department for Business, Innovation and Skills",Skills Funding Agency,Data Collections 2012 – 2013 Project,·    To avoid impact to citizen / business facing services in line with Government priorities.,"3,000","3,000",April
,,,Changes to the Data Service data collections systems reflecting changes in funding policies for the next academic year.,,,
"Department for Business, Innovation and Skills",HEFCE / JISC,Janet 6,·    To avoid impact to citizen / business facing services in line with Government priorities.,Redacted.,Redacted.,July 
,,,·    To achieve value for money.,Commercial in confidence.,Commercial in confidence.,
,,,To ensure that a fit for purpose telecommunications network continues to be in place to support UK research and education in the future.,,,
"Department for Business, Innovation and Skills",Skills Funding Agency,Centralised Contract Management 2012 - 2013,·    To avoid impact to citizen / business facing services in line with Government priorities,"4,500","4,500",April
,,,Changes to the Agency contract management systems reflecting changes in funding policies for the next academic year.,,,
"Department for Business, Innovation and Skills",RCUK BBSRC,Elixir Data Centre,·    To achieve value for money.,"75,100","75,100",June
,,,"‘ELIXIR data’ is expansion of pre-existing research data repository, and utilising existing delivery (and associated tools and expertise) via International Research Organisation.",,,
"Department for Business, Innovation and Skills",Skills Funding Agency,Data Service MI Maintenance 2012 – 2013 Project,·    To avoid impact to citizen / business facing services in line with Government priorities,"2,329","2,329",April
,,,Changes to the Data Service management information reports and data sets reflecting changes in funding policies for the next academic year.,,,
"Department for Business, Innovation and Skills",Skills Funding Agency,Match and Claim 2021 – 2013 Project,·    To avoid impact to citizen / business facing services in line with Government priorities,"1,800","1,800",April
,,,"Changes to the systems supporting European Social Fund (ESF) claims reflecting changes in funding policies for the next academic year, and changes in EU requirements with respect to ESF claims.",,,
"Department for Business, Innovation and Skills",Skills Funding Agency,Learning Records Service 2012 – 2013 Project,·    To achieve value for money,"2,600","2,600",April
,,,·    To avoid impact to citizen / business facing services in line with Government priorities,,,
,,,Improvements to the services offered by the Learning Records Service and simplifications of the technology infrastructure to reduce future operational costs.,,,
"Department for Business, Innovation and Skills",Student Loans Company,Data Centre Strategy,·    To avoid impact to citizen / business facing services in line with Government priorities.,"11,041","11,041",May
,,,Consolidation of SLC into two tier 3 rated data centres that meets SLC’s current and future computing needs.  This is seen as an enabler for SLC to enhance its business continuity and disaster recovery capability.,,,
"Department for Business, Innovation and Skills",Student Loans Company,Further Education Loans Programme,·    To avoid impact to citizen / business facing services in line with Government priorities.,"3,967","3,967",May
,,,Costs for the implementation of the 24+ advanced learner loans project.  The outcomes of this project will allow people aged 24 and above to undertake intermediate and higher level training courses.,,,
"Department for Business, Innovation and Skills",Skills Funding Agency,Learning Records Service,·    To achieve value for money,"8,000","4,000",August
,,,·    To avoid impact to citizen / business facing services in line with Government priorities,,,
,,,Extensions to the contracts for operational systems and infrastructure services underpinning the Learning Records Service.,,,
"Department for Business, Innovation and Skills",Skills Funding Agency,Reference Data Management (Funding) Project,·    To achieve value for money,"2,350","2,350",April
,,,·    To avoid impact to citizen / business facing services in line with Government priorities,,,
,,,Redevelopment of Data Service systems to maintain and improve services and reduce future costs of change.,,,
