Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,12/12/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,878939,Transport other operating lease,466.2
Ministry of Defence,Ministry of Defence,21/12/2011,Estate management,Navy Command,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,883057,Estate + facilities management services - accommodation inventory + service,460.75
Ministry of Defence,Ministry of Defence,15/12/2011,IT and communication services,Defence Infrastructure Organisation ,CANON (UK) LIMITED,RH2 8BF,880685,Computer equipment costing below the capitalisation threshold,460.27
Ministry of Defence,Ministry of Defence,15/12/2011,Spend on Inventory - General,Air Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,880690,Spend on Inventory - General,455.52
Ministry of Defence,Ministry of Defence,19/12/2011,Estate management,Command Joint Operations,SERCO LIMITED,RG27 9UY,882360,Works - estate management,454.55
Ministry of Defence,Ministry of Defence,08/12/2011,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000012969,Movement of service personnel,453.25
Ministry of Defence,Ministry of Defence,20/12/2011,Purchase of inventory and services ,Defence Equipment & Support,BOC LIMITED,M28 2UT,882545,Consumption of engineering and technical inventory,450.73
Ministry of Defence,Ministry of Defence,15/12/2011,"Public relations, including marketing and advertising.",Land Forces,SODEXO LTD,M50 0AL,881094,Public relations services including items such as sales marketing and advertising,450.54
Ministry of Defence,Ministry of Defence,05/12/2011,Fees for professional services,Land Forces,S.COM GROUP LTD,LU1 3BA,876566,Fees for professional services excluding legal fees,450.47
Ministry of Defence,Defence Science and Technology Laboratory,16/12/2011,Other Services & Office costs,Infrastructure,BARCLAYCARD,,G - 9000138736 - 00125510,,450
Ministry of Defence,Ministry of Defence,08/12/2011,IT and communication services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000012969,Line + telephone rental including commercial charge for use of radio frequencies,449.1
Ministry of Defence,Ministry of Defence,14/12/2011,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,CV2 2TX,879941,Consumption of medical dental and veterinary inventory,448.38
Ministry of Defence,Ministry of Defence,12/12/2011,Medical treatment & stores and welfare services,Land Forces,SOUTH TEES HOSPITALS NHS TRUST,TS4 3BW,879408,Medical health services,448
Ministry of Defence,Ministry of Defence,19/12/2011,Purchase of inventory and services ,Air Command,CANON (UK) LIMITED,RH2 8BF,881917,Cost of other material consumed,446.94
Ministry of Defence,Ministry of Defence,23/12/2011,Design services and minor equipment purchases,Defence Equipment & Support,MCMURDO LIMITED,PO3 5PB,884525,Equipment support non-project costs,445.66
Ministry of Defence,Ministry of Defence,19/12/2011,Purchase of inventory and services ,Central TLB,XMA LTD,NG11 7EP,882486,Cost of other material consumed,445.56
Ministry of Defence,Ministry of Defence,15/12/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,880653,Cost of other material consumed,445.28
Ministry of Defence,Ministry of Defence,07/12/2011,Administration,Central TLB,ROYAL MAIL GROUP LIMITED,S49 1HQ,877676,General administration,441.24
Ministry of Defence,Ministry of Defence,22/12/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,883633,Consumption of medical dental and veterinary inventory,438.78
Ministry of Defence,Ministry of Defence,06/12/2011,"Transportation of personnel, freight and travel expenses",Navy Command,TAL INTERNATIONAL CONTAINER CORPORATION,RM13 8EU,877173,Freight movement costs,438.1
Ministry of Defence,Ministry of Defence,21/12/2011,IT and communication services,Defence Equipment & Support,RACKSPACE LIMITED,UB11 1ET,883443,Information technology services,437
Ministry of Defence,British Defence Staff -United States,22/12/2011,"Transporation of personnel, freight and travel expenses",Central TLB,INTERSTATE,,294071, RAF permanent posting long term detached duty ,436.96
Ministry of Defence,Ministry of Defence,02/12/2011,Spend on Inventory - General,Navy Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,875401,Spend on Inventory - General,432
Ministry of Defence,Ministry of Defence,15/12/2011,Purchase of inventory and services ,Navy Command,SOFTWARE BOX LTD,YO61 1ET,881096,Cost of other material consumed,432
Ministry of Defence,Ministry of Defence,21/12/2011,Purchase of inventory and services ,Defence Equipment & Support,CARWOOD MOTOR UNITS LTD,CV3 2RQ,883029,Cost of other material consumed,431.13
Ministry of Defence,Ministry of Defence,29/12/2011,IT and communication services,Defence Equipment & Support,INSIGHT DIRECT (U K) LTD,S9 2BU,884918,Computer equipment costing below the capitalisation threshold,429.59
Ministry of Defence,Ministry of Defence,20/12/2011,Building maintenance and accommodation stores,Land Forces,BUNZL UK LIMITED,KT19 8TY,882560,Building maintenance accommodation inventory,424.8
Ministry of Defence,Ministry of Defence,08/12/2011,Payment of utilities,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,877968,Utilities consumed - gas,422.76
Ministry of Defence,Ministry of Defence,13/12/2011,IT and communication services,Defence Equipment & Support,CAPITA SECURE INFORMATION SYSTEMS LIMITED,SN14 0TW,879578,Information technology services,421.4
Ministry of Defence,Ministry of Defence,06/12/2011,Externally delivered education and training,Air Command,CESG,GL51 0EX,'200000012948,External military training ,420
Ministry of Defence,Ministry of Defence,30/12/2011,"Transportation of personnel, freight and travel expenses",Navy Command,MOBILE MINI UK LTD,TS18 3TX,885217,Freight movement costs,418.8
Ministry of Defence,Ministry of Defence,06/12/2011,Estate management,Defence Equipment & Support,SODEXO LTD,M50 0AL,877145,Estate + facilities management services - accommodation inventory + service,418.42
Ministry of Defence,Ministry of Defence,07/12/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,877234,Consumption of medical dental and veterinary inventory,418.13
Ministry of Defence,Ministry of Defence,06/12/2011,Food and clothing,Defence Equipment & Support,SODEXO LTD,M50 0AL,877145,Cost of food purchases,417.77
Ministry of Defence,Ministry of Defence,15/12/2011,Rental of plant and machinery,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,880685,Plant + machinery operating lease,417.73
Ministry of Defence,Ministry of Defence,19/12/2011,Design services and minor equipment purchases,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,881852,Equipment support non-project costs,416.03
Ministry of Defence,Ministry of Defence,01/12/2011,Design services and minor equipment purchases,Land Forces,CANON (UK) LIMITED,RH2 8BF,874750,Equipment support non-project costs,415.56
Ministry of Defence,Ministry of Defence,12/12/2011,Fuel for military use,Air Command,QINETIQ LIMITED,PO12 2AG,879352,Aviation fuel casual uplift consumed,414.9
Ministry of Defence,Ministry of Defence,23/12/2011,Spend on Inventory - General,Defence Equipment & Support,"AAR INTERNATIONAL, INC.",LN5 9NB,884279,Spend on Inventory - General,414.18
Ministry of Defence,Ministry of Defence,01/12/2011,IT and communication services,Air Command,SPECIALIST COMPUTER CENTRES PLC,B11 2LE,875177,Computer equipment costing below the capitalisation threshold,413.14
Ministry of Defence,Ministry of Defence,14/12/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,879941,Consumption of medical dental and veterinary inventory,412.99
Ministry of Defence,Ministry of Defence,02/12/2011,Fuel for military use,Defence Equipment & Support,EUROSHELL DEUTSCHLAND GMBH,,5000067339,Oil and lubricants consumed excluding those from the inventory system,412.36
Ministry of Defence,Ministry of Defence,15/12/2011,IT and communication services,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,880685,Computer equipment costing below the capitalisation threshold,409.07
Ministry of Defence,Ministry of Defence,01/12/2011,Externally delivered education and training,Air Command,J A MAFFIA T/A JOHNS SCHOOL OF MOTORING,N18 2QD,874931,External military training ,408
Ministry of Defence,Ministry of Defence,21/12/2011,Purchase of inventory and services ,Central TLB,BOC LIMITED,M28 2UT,882999,Consumption of engineering and technical inventory,406.95
Ministry of Defence,Ministry of Defence,07/12/2011,Fees for professional services,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,877477,Fees for professional services excluding legal fees,403.57
Ministry of Defence,Defence Science and Technology Laboratory,16/12/2011,Professional Services,Operations,BARCLAYCARD,,G - 9000138736 - 00125511,,400
Ministry of Defence,Ministry of Defence,13/12/2011,Administration,Land Forces,CANON (UK) LIMITED,RH2 8BF,879577,General administration,397.44
Ministry of Defence,Ministry of Defence,16/12/2011,Payment of utilities,Defence Equipment & Support,BRITISH GAS TRADING LIMITED,OX4 2JY,881304,Utilities consumed - electricity,395.75
Ministry of Defence,Ministry of Defence,21/12/2011,Spend on Inventory - General,Air Command,FORBO FLOORING UK LIMITED,DE5 3NT,883133,Spend on Inventory - General,394.56
Ministry of Defence,Ministry of Defence,08/12/2011,Transport hire charges,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,877873,Transport other operating lease,392.7
Ministry of Defence,Ministry of Defence,12/12/2011,IT and communication services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000012991,Line + telephone rental including commercial charge for use of radio frequencies,391.25
Ministry of Defence,Ministry of Defence,06/12/2011,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,877227,Cost of other material consumed,390.18
Ministry of Defence,Ministry of Defence,15/12/2011,IT and communication services,Land Forces,CANON (UK) LIMITED,RH2 8BF,880685,Computer equipment costing below the capitalisation threshold,387.66
Ministry of Defence,Ministry of Defence,22/12/2011,Food and clothing,Land Forces,ITURRI SA,OX16 3TA,3000006410,Cost of purchasing and repairing clothing,385.75
Ministry of Defence,Ministry of Defence,16/12/2011,Food and clothing,Air Command,TURNER VIRR & CO. LTD,LS25 2DY,881769,Cost of purchasing and repairing clothing,384.95
Ministry of Defence,Ministry of Defence,23/12/2011,"Transportation of personnel, freight and travel expenses",Central TLB,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,884403,Freight movement costs,382.14
Ministry of Defence,Ministry of Defence,21/12/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,BOC LIMITED,M28 2UT,882999,Consumption of engineering and technical inventory,381.37
Ministry of Defence,Ministry of Defence,02/12/2011,Spend on Inventory - General,Defence Equipment & Support,CARWOOD MOTOR UNITS LTD,CV3 2RQ,875401,Spend on Inventory - General,380.81
Ministry of Defence,Ministry of Defence,06/12/2011,Design services and minor equipment purchases,Defence Equipment & Support,CAPITA SECURE INFORMATION SYSTEMS LIMITED,SN14 0TW,876787,Equipment support project costs,380.55
Ministry of Defence,Ministry of Defence,08/12/2011,Purchase of inventory and services ,Land Forces,CANON (UK) LIMITED,RH2 8BF,877921,Cost of other material consumed,380.05
Ministry of Defence,Ministry of Defence,21/12/2011,Food and clothing,Defence Infrastructure Organisation ,COTSWOLD OUTDOOR LTD,SN16 9SH,883061,Cost of purchasing and repairing clothing,376.51
Ministry of Defence,Ministry of Defence,09/12/2011,Food and clothing,Air Command,ARAMARK LTD,LS16 6QY,878366,Cost of clothing and textile services received,374.87
Ministry of Defence,Ministry of Defence,08/12/2011,Payment of utilities,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000012974,Utilities consumed - electricity,374.66
Ministry of Defence,Ministry of Defence,20/12/2011,"Transportation of personnel, freight and travel expenses",Command Joint Operations,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,882796,Military short term detached duty,374.2
Ministry of Defence,Ministry of Defence,14/12/2011,IT and communication services,Land Forces,CANON (UK) LIMITED,RH2 8BF,880067,Operating lease IT and communications,372.65
Ministry of Defence,Ministry of Defence,19/12/2011,"Transportation of personnel, freight and travel expenses",Central TLB,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,881966,Freight movement costs,371.54
Ministry of Defence,Ministry of Defence,29/12/2011,"Transportation of personnel, freight and travel expenses",Navy Command,PALLETWAYS (U K) LTD,WS13 8NE,884990,Freight movement costs,370.71
Ministry of Defence,Ministry of Defence,23/12/2011,Building maintenance and accommodation stores,Central TLB,SERCO LIMITED,RG27 9UY,884663,Building maintenance accommodation inventory,370.44
Ministry of Defence,Ministry of Defence,13/12/2011,Food and clothing,Defence Equipment & Support,AVENANCE PLC,SK11 6ET,879533,Cost of food services,364.8
Ministry of Defence,Ministry of Defence,22/12/2011,Administration,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013059,General administration,364.37
Ministry of Defence,Ministry of Defence,02/12/2011,Fuel for military use,Defence Equipment & Support,ARAL AG.,,5000067316,Oil and lubricants consumed excluding those from the inventory system,363.24
Ministry of Defence,Ministry of Defence,21/12/2011,"Transportation of personnel, freight and travel expenses",Navy Command,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,883080,Freight movement costs,362.95
Ministry of Defence,Ministry of Defence,16/12/2011,Rental of plant and machinery,Land Forces,CANON (UK) LIMITED,RH2 8BF,881316,Plant + machinery operating lease,362.93
Ministry of Defence,Ministry of Defence,06/12/2011,IT and communication services,Defence Equipment & Support,CYPRUS TELECOMMUNICATIONS AUTHORITY,,5000067591,Line + telephone rental including commercial charge for use of radio frequencies,362.74
Ministry of Defence,Ministry of Defence,02/12/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,875349,Cost of other material consumed,362.49
Ministry of Defence,Ministry of Defence,21/12/2011,Fees for professional services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,883031,Fees for professional services excluding legal fees,358.08
Ministry of Defence,Ministry of Defence,21/12/2011,Payment of utilities,Navy Command,PACE FUELCARE LIMITED,TW20 9AB,883404,Utilities consumed - heating oil,357.53
Ministry of Defence,Ministry of Defence,12/12/2011,Estate management,Air Command,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,879053,Works services - excluding United States forces/NATO + married quarters,355.81
Ministry of Defence,Ministry of Defence,12/12/2011,"Transportation of personnel, freight and travel expenses",Command Joint Operations,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,879354,Military short term detached duty,355.35
Ministry of Defence,Ministry of Defence,14/12/2011,Administration,Air Command,CANON (UK) LIMITED,RH2 8BF,880067,General administration,352.52
Ministry of Defence,Ministry of Defence,14/12/2011,General services and support,Navy Command,CANON (UK) LIMITED,RH2 8BF,880067,Purchase of defence support equipment below capitalisation threshold of £25k.,351.02
Ministry of Defence,Ministry of Defence,15/12/2011,IT and communication services,Air Command,CANON (UK) LIMITED,RH2 8BF,880685,Computer equipment costing below the capitalisation threshold,349.74
Ministry of Defence,Ministry of Defence,13/12/2011,Estate management,Defence Equipment & Support,AVENANCE PLC,SK11 6ET,879533,Estate + facilities management services - accommodation inventory + service,344.07
Ministry of Defence,Ministry of Defence,12/12/2011,Purchase of information and communications technology,Defence Equipment & Support,PARITY SOLUTIONS LTD,SW19 3RU,879330,IT + communications asset - in year capital addition,343
Ministry of Defence,Ministry of Defence,20/12/2011,Building maintenance and accommodation stores,Defence Infrastructure Organisation ,BUNZL UK LIMITED,KT19 8TY,882560,Building maintenance accommodation inventory,341.21
Ministry of Defence,Ministry of Defence,12/12/2011,Official entertainment and hospitality,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000012992,Entertainment + hospitality,340.92
Ministry of Defence,Ministry of Defence,05/12/2011,Spend on Inventory - General,Defence Equipment & Support,YOUNGMAN GROUP LTD,CM9 4LJ,876693,Spend on Inventory - General,339.48
Ministry of Defence,Ministry of Defence,19/12/2011,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,882385,Utilities consumed - electricity,338.07
Ministry of Defence,Ministry of Defence,23/12/2011,"Transportation of personnel, freight and travel expenses",Navy Command,DSV AIR & SEA LIMITED,M22 4NY,884420,Freight movement costs,334.86
Ministry of Defence,Ministry of Defence,16/12/2011,Spend on Inventory - General,Defence Equipment & Support,L WHITAKER & SONS (1983) LIMITED,OL11 2PU,881481,Spend on Inventory - General,333.84
Ministry of Defence,Ministry of Defence,15/12/2011,Spend on Inventory - General,Land Forces,JOSEPH GLEAVE & SON LTD,M32 0NB,880854,Spend on Inventory - General,333.07
Ministry of Defence,Ministry of Defence,21/12/2011,Purchase of inventory and services ,Central TLB,C F ANDERSON & SON LIMITED,C06 1HD,883014,Consumption of general inventory,331.91
Ministry of Defence,Ministry of Defence,08/12/2011,Payment of utilities,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000012973,Utilities consumed - electricity,330.63
Ministry of Defence,Ministry of Defence,15/12/2011,"Adminstration, claims, compensation and awards",Land Forces,CANON (UK) LIMITED,RH2 8BF,880685,Cost of claims/compensation and related expenses against MOD,330.57
Ministry of Defence,Ministry of Defence,02/12/2011,Purchase of inventory and services ,Defence Equipment & Support,HENRY SCHEIN UK HOLDINGS LIMITED,ME8 0SB,875580,Consumption of medical dental and veterinary inventory,328.17
Ministry of Defence,Ministry of Defence,01/12/2011,General services and support,Land Forces,CANON (UK) LIMITED,RH2 8BF,874750,Purchase of weapons for director of proof + experimental establishments (DPEE) below departmental capitalisation threshold of £25k.,325.29
Ministry of Defence,Ministry of Defence,21/12/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,882911,Consumption of medical dental and veterinary inventory,321.47
Ministry of Defence,Ministry of Defence,15/12/2011,Purchase of inventory and services ,Central TLB,XMA LTD,NG11 7EP,881199,Cost of other material consumed,320.08
Ministry of Defence,Ministry of Defence,21/12/2011,"Transportation of personnel, freight and travel expenses",Land Forces,CARTUS LTD,SN5 8RS,883028,Movement of service personnel,319.72
Ministry of Defence,Ministry of Defence,13/12/2011,Food and clothing,Defence Equipment & Support,AVENANCE PLC,SK11 6ET,879533,Cost of clothing and textile services received,318.13
Ministry of Defence,Ministry of Defence,30/12/2011,"Transportation of personnel, freight and travel expenses",Central TLB,CARTUS LTD,SN5 8RS,885157,Ministry of Defence police permanent in the public interest transport and long term detached duty,317.37
Ministry of Defence,Ministry of Defence,08/12/2011,Design services and minor equipment purchases,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,877873,Equipment support non-project costs,317.28
Ministry of Defence,Ministry of Defence,01/12/2011,Spend on Inventory - General,Defence Equipment & Support,ANTEON LIMITED,PE1 5FL,874666,Spend on Inventory - General,315.65
Ministry of Defence,Ministry of Defence,15/12/2011,IT and communication services,Navy Command,CANON (UK) LIMITED,RH2 8BF,880685,Computer equipment costing below the capitalisation threshold,314.17
Ministry of Defence,Ministry of Defence,14/12/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,CANON (UK) LIMITED,RH2 8BF,880067,Cost of other material consumed,312.33
Ministry of Defence,Ministry of Defence,08/12/2011,"Adminstration, claims, compensation and awards",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000012973,Cost of claims/compensation and related expenses against MOD,310.51
Ministry of Defence,Ministry of Defence,13/12/2011,IT and communication services,Air Command,CAPITA SECURE INFORMATION SYSTEMS LIMITED,SN14 0TW,879578,IT and communications private finance initiative - service concession arrangements service charge,307.51
Ministry of Defence,Ministry of Defence,08/12/2011,Medical treatment & stores and welfare services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000012974,Medical-non hospital treatment,305.01
Ministry of Defence,Ministry of Defence,09/12/2011,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000012982,Military short term detached duty,302.68
Ministry of Defence,Ministry of Defence,07/12/2011,Spend on Inventory - General,Central TLB,BUNZL UK LIMITED,KT19 8TY,877326,Spend on Inventory - General,301.28
Ministry of Defence,Ministry of Defence,13/12/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,879554,Cost of other material consumed,299.98
Ministry of Defence,Ministry of Defence,02/12/2011,Fuel for military use,Defence Equipment & Support,EUROSHELL DEUTSCHLAND GMBH,,5000067339,Oil and lubricants consumed excluding those from the inventory system,299.64
Ministry of Defence,Ministry of Defence,08/12/2011,Transport hire charges,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000012973,Transport other hire charge,299.62
Ministry of Defence,Ministry of Defence,29/12/2011,Research and development,Defence Equipment & Support,ASPIRE DEFENCE LIMITED,SP9 7QD,884789,Feasibility studies covering concept/assessment phase costs,299.09
Ministry of Defence,Ministry of Defence,15/12/2011,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,880733,Equipment support project costs,296.71
Ministry of Defence,Ministry of Defence,14/12/2011,Estate management,Navy Command,CANON (UK) LIMITED,RH2 8BF,880067,Estate + facilities management services - accommodation inventory + service,294.75
Ministry of Defence,Ministry of Defence,09/12/2011,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000012982,Movement of service personnel,291.9
