Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,749566,10593.34
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,749566,310.82
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,749566,3600.37
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,749566,5939.82
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,749566,30421.16
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,749566,1989.61
Ministry of Defence,Ministry of Defence,01/02/2011,IT and communication services,Defence Equipment & Support,AEP NETWORKS LIMITED,749573,34000.00
Ministry of Defence,Ministry of Defence,01/02/2011,Estate management,Air Command,ARAMARK LTD,749591,31756.29
Ministry of Defence,Ministry of Defence,01/02/2011,Estate management,Central TLB,ARAMARK LTD,749591,372.99
Ministry of Defence,Ministry of Defence,01/02/2011,Estate management,Defence Equipment & Support,ARAMARK LTD,749591,4098.70
Ministry of Defence,Ministry of Defence,01/02/2011,Estate management,Land Forces,ARAMARK LTD,749591,36365.03
Ministry of Defence,Ministry of Defence,01/02/2011,Food and clothing,Defence Equipment & Support,ARAMARK LTD,749591,50102.60
Ministry of Defence,Ministry of Defence,01/02/2011,Food and clothing,Land Forces,ARAMARK LTD,749591,115727.16
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Air Command,ARAMARK LTD,749591,93.85
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Defence Equipment & Support,B M POLYCO LIMITED,749606,49657.15
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Defence Equipment & Support,BABCOCK INTERNATIONAL GROUP PLC,749608,285487.09
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,749611,44610.39
Ministry of Defence,Ministry of Defence,01/02/2011,IT and communication services,Central TLB,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,749638,5914.98
Ministry of Defence,Ministry of Defence,01/02/2011,Fees for professional services,Defence Equipment & Support,CAPGEMINI UK PLC,749655,28100.00
Ministry of Defence,Ministry of Defence,01/02/2011,Miscellaneous Administration Costs,Air Command,CIVIL AVIATION AUTHORITY,749674,55500.00
Ministry of Defence,Ministry of Defence,01/02/2011,Design services and minor equipment purchases,Air Command,COMPASS GROUP UK AND IRELAND LIMITED,749677,125974.58
Ministry of Defence,Ministry of Defence,01/02/2011,Property leases,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,749703,3000.00
Ministry of Defence,Ministry of Defence,01/02/2011,Design services and minor equipment purchases,Defence Equipment & Support,ELAN COMPUTING LTD,749728,8800.00
Ministry of Defence,Ministry of Defence,01/02/2011,IT and communication services,Defence Equipment & Support,ELAN COMPUTING LTD,749728,11370.00
Ministry of Defence,Ministry of Defence,01/02/2011,Design services and minor equipment purchases,Defence Equipment & Support,ELECTRO SERVICES (MIDLANDS) LTD,749730,1270.18
Ministry of Defence,Ministry of Defence,01/02/2011,"Purchase of major spares armaments, medical & general stores",Defence Equipment & Support,ELECTRO SERVICES (MIDLANDS) LTD,749730,87040.64
Ministry of Defence,Ministry of Defence,01/02/2011,Medical treatment & stores and welfare services.,Land Forces,ENGLISH CHURCHES HOUSING GROUP,749733,85375.00
Ministry of Defence,Ministry of Defence,01/02/2011,Payment of utilities,Air Command,ESSO PETROLEUM COMPANY LIMITED,749735,104605.74
Ministry of Defence,Ministry of Defence,01/02/2011,Payment of utilities,Central TLB,ESSO PETROLEUM COMPANY LIMITED,749735,2014.56
Ministry of Defence,Ministry of Defence,01/02/2011,Payment of utilities,Command Joint Operations,ESSO PETROLEUM COMPANY LIMITED,749735,943.66
Ministry of Defence,Ministry of Defence,01/02/2011,Payment of utilities,Defence Equipment & Support,ESSO PETROLEUM COMPANY LIMITED,749735,172363.89
Ministry of Defence,Ministry of Defence,01/02/2011,Payment of utilities,Defence Estates,ESSO PETROLEUM COMPANY LIMITED,749735,17891.94
Ministry of Defence,Ministry of Defence,01/02/2011,Payment of utilities,Land Forces,ESSO PETROLEUM COMPANY LIMITED,749735,331428.79
Ministry of Defence,Ministry of Defence,01/02/2011,Payments on behalf of Defence Support Group,Central TLB,ESSO PETROLEUM COMPANY LIMITED,749735,11981.20
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Air Command,FORBO FLOORING UK LIMITED,749748,35078.56
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Central TLB,FORBO FLOORING UK LIMITED,749748,163.57
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Defence Equipment & Support,FORBO FLOORING UK LIMITED,749748,11630.90
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Land Forces,FORBO FLOORING UK LIMITED,749748,303571.27
Ministry of Defence,Ministry of Defence,01/02/2011,Payment of utilities,Air Command,GB OILS LIMITED,749759,23620.07
Ministry of Defence,Ministry of Defence,01/02/2011,Payment of utilities,Central TLB,GB OILS LIMITED,749759,38799.12
Ministry of Defence,Ministry of Defence,01/02/2011,Payment of utilities,Defence Equipment & Support,GB OILS LIMITED,749759,234259.89
Ministry of Defence,Ministry of Defence,01/02/2011,Payment of utilities,Defence Estates,GB OILS LIMITED,749759,16627.32
Ministry of Defence,Ministry of Defence,01/02/2011,Payment of utilities,Land Forces,GB OILS LIMITED,749759,34613.90
Ministry of Defence,Ministry of Defence,01/02/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,H.K. WENTWORTH LIMITED,749767,36150.80
Ministry of Defence,Ministry of Defence,01/02/2011,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,749778,555681.55
Ministry of Defence,Ministry of Defence,01/02/2011,IT and communication services,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,749783,52894.40
Ministry of Defence,Ministry of Defence,01/02/2011,IT and communication services,Defence Equipment & Support,IBM UNITED KINGDOM LIMITED,749786,89394.83
Ministry of Defence,Ministry of Defence,01/02/2011,Design services and minor equipment purchases,Defence Equipment & Support,IMES LTD.,749789,25044.37
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Defence Equipment & Support,JOSEPH GLEAVE & SON LTD,749807,59836.60
Ministry of Defence,Ministry of Defence,01/02/2011,Property leases,Defence Estates,KELDA WATER SERVICES (ESTATES) LIMITED,749811,2720856.93
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Air Command,KEMIRA CHEMSOLUTIONS B V,749813,577383.13
Ministry of Defence,Ministry of Defence,01/02/2011,Design services and minor equipment purchases,Defence Equipment & Support,LAND ROVER,749818,42946.50
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Defence Equipment & Support,LINCAD LIMITED,749820,157920.00
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of inventory and services ,Defence Equipment & Support,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,749838,36374.65
Ministry of Defence,Ministry of Defence,01/02/2011,Design services and minor equipment purchases,Defence Equipment & Support,MEGGITT AEROSPACE LIMITED,749844,25867.90
Ministry of Defence,Ministry of Defence,01/02/2011,Externally delivered education and training.,Air Command,OPEN UNIVERSITY INTERNATIONAL LTD,749941,73314.00
Ministry of Defence,Ministry of Defence,01/02/2011,Externally delivered education and training.,Navy Command,OPEN UNIVERSITY INTERNATIONAL LTD,749941,30009.60
Ministry of Defence,Ministry of Defence,01/02/2011,Purchase of plant and machinery,Defence Equipment & Support,POWER BLAST INTERNATIONAL  LIMITED,749969,65496.00
