Department family,Entity,Entered On,Supplier Name,Expense Type,Expense Area,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,CL Events and Venues,Cost of Sales - Commission,Commercial,8232,826
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,NICK POWERS LTD,Cost of Sales - Freelance Technicians,Interface,8236,600
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,MICHAEL NEVARD,Cost of Sales - Freelance Technicians,Interface,8239,832
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,EDF ENERGY,Electricity,Operations,8240,53933.32
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,LAWRENCE TILDESLEY,Cost of Sales - Freelance Technicians,Interface,8241,800
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,8242,2871
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,CHRIS BRAUN,Marketing,Commercial,8242,200
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,PHILIP DE JONG T/A Mr Durden Ltd,Cost of Sales - Freelance Technicians,Interface,8243,600
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BEN SHEPHERD T/A Live Horizon Ltd,Cost of Sales - Freelance Technicians,Interface,8244,600
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,CORONA ENERGY,Gas,Operations,8245,11145.11
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BEN LANG T/A Venue IT Service Ltd,Cost of Sales - Freelance Technicians,Interface,8246,600
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,PETER SIMMONS,Cost of Sales - Freelance Technicians,Interface,8248,828
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,CITY OF WESTMINSTER,Business Rates,Administration,8252,44717
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Published Material,Administration,8253,25
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Maintenance,Interface,8253,1959.52
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Bank Charges,Administration,8253,25.23
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Cost Of Sales - Consumables,Business Centre,8253,104.17
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Exhibitions,Commercial,8253,111
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Training,Administration,8253,210.65
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Published Material,Event Management,8253,83
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Carriage,Interface,8253,44.98
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Travel,Interface,8253,230.95
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Maintenance,Operations,8253,438.1
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Internet & Telecomms,ITC Department,8253,51.56
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Consumables,Interface,8253,278.26
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,Interface,8253,9.95
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,IT Equipment Maintenance,ITC Department,8253,2952.33
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Travel,Interface,8253,-8
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Stationery,Event Management,8253,526.48
Communities And Local Government,Queen Elizabeth II Conference Centre,14/04/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,ITC Department,8253,36.13
Communities And Local Government,Queen Elizabeth II Conference Centre,15/04/2009,Visit London Ltd,Marketing,Commercial,8255,1918.26
Communities And Local Government,Queen Elizabeth II Conference Centre,15/04/2009,Visit London Ltd,Marketing,Commercial,8256,500
Communities And Local Government,Queen Elizabeth II Conference Centre,15/04/2009,VOHM,Marketing,Commercial,8258,600
Communities And Local Government,Queen Elizabeth II Conference Centre,15/04/2009,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,8260,800
Communities And Local Government,Queen Elizabeth II Conference Centre,15/04/2009,DEPARTMENT FOR TRANSPORT,Pension Cost,Administration,8261,1014.53
Communities And Local Government,Queen Elizabeth II Conference Centre,15/04/2009,LOCK ON PRODUCTIONS LTD,Cost of Sales - Equipment Hire,Interface,8262,3713
Communities And Local Government,Queen Elizabeth II Conference Centre,15/04/2009,STANLEY PRODUCTIONS LTD,Marketing,Commercial,8263,915
Communities And Local Government,Queen Elizabeth II Conference Centre,15/04/2009,BETTER SOUND LIMITED,Cost of Sales - Equipment Hire,Interface,8269,1181.6
Communities And Local Government,Queen Elizabeth II Conference Centre,15/04/2009,ELCRP,Maintenance,Operations,8274,560
Communities And Local Government,Queen Elizabeth II Conference Centre,15/04/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,8275,800
Communities And Local Government,Queen Elizabeth II Conference Centre,16/04/2009,Momentum Conference & Events Limited (formally The Venue Team),Cost of Sales - Commission,Commercial,8279,4588
Communities And Local Government,Queen Elizabeth II Conference Centre,16/04/2009,Trust Reservations Limited,Cost of Sales - Commission,Commercial,8280,943.48
Communities And Local Government,Queen Elizabeth II Conference Centre,17/04/2009,LAWRENCE TILDESLEY,Cost of Sales - Freelance Technicians,Interface,8290,600
Communities And Local Government,Queen Elizabeth II Conference Centre,20/04/2009,MARK CRANHAM,Cost of Sales - Freelance Technicians,Interface,8295,600
