Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,GO,01/12/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106152137,"1,176.43"
Communities & Local Government,GO,01/12/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106152215,"1,144.64"
Communities & Local Government,GO,01/12/2010,Electricity,RCU - PAM - Property Asset Management,SCOTTISH POWER,5106152209,530.48
Communities & Local Government,GO,01/12/2010,Post,GONW,PITNEY BOWES LTD (CM19 5DQ),5106152214,"2,000.00"
Communities & Local Government,GO,01/12/2010,Publicity,GONE,PENNA PLC,2100187269,"4,614.60"
Communities & Local Government,GO,01/12/2010,Publicity,GONE,PENNA PLC,2100187270,"1,943.43"
Communities & Local Government,GO,01/12/2010,Publicity,GONE,PENNA PLC,2100187271,"5,541.53"
Communities & Local Government,GO,01/12/2010,Publicity,GONE,PENNA PLC,2100187273,"1,611.38"
Communities & Local Government,GO,01/12/2010,Publicity,GONE,PENNA PLC,2100187275,"1,166.85"
Communities & Local Government,GO,01/12/2010,Training,GONW,PORTFOLIO,5106152136,"1,521.63"
Communities & Local Government,GO,01/12/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106152178,"3,600.00"
Communities & Local Government,GO,01/12/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106152179,"1,090.00"
Communities & Local Government,GO,01/12/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106152180,"4,800.00"
Communities & Local Government,GO,01/12/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106152182,"2,275.00"
Communities & Local Government,GO,01/12/2010,Training,GORCU Admin DEL Votd,DEVELOPMENT PARTNERSHIP,5106152177,"1,000.00"
Communities & Local Government,GO,02/12/2010,Agency Staff,GOL,REED SPECIALIST RECRUITMENT LTD,2100187323,702.71
Communities & Local Government,GO,02/12/2010,Agency Staff,GOL,REED SPECIALIST RECRUITMENT LTD,2100187324,718.32
Communities & Local Government,GO,02/12/2010,Electricity,RCU - PAM - Property Asset Management,EON UK PLC,5106152276,701.85
Communities & Local Government,GO,02/12/2010,Fares UK,GOEM,REDFERN TRAVEL LIMITED,2100187326,48.24
Communities & Local Government,GO,02/12/2010,Fares UK,GOL,REDFERN TRAVEL LIMITED,2100187326,132.27
Communities & Local Government,GO,02/12/2010,Fares UK,GONE,REDFERN TRAVEL LIMITED,2100187326,682.21
Communities & Local Government,GO,02/12/2010,Fares UK,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100187326,"14,058.09"
Communities & Local Government,GO,02/12/2010,Fares UK,RCU - PAM - Property Asset Management,REDFERN TRAVEL LIMITED,2100187326,"2,989.13"
Communities & Local Government,GO,02/12/2010,Training,GOSE,UNICOM SEMINARS LTD,5106152225,"1,395.00"
Communities & Local Government,GO,03/12/2010,Agency Staff,GOE,CAVILL ROBINSON FINANCIAL RCRTMT LT,5106152403,"1,017.17"
Communities & Local Government,GO,03/12/2010,Conferences and Meeting Facilities,GOSE,SOUTH EAST RURAL COMMUNITY COUNCIL,2100187355,"4,500.00"
Communities & Local Government,GO,03/12/2010,Conferences and Meeting Facilities,GOSE,SOUTH EAST RURAL COMMUNITY COUNCIL,2100187357,"4,500.00"
Communities & Local Government,GO,03/12/2010,Fares UK,GOEM,REDFERN TRAVEL LIMITED,2100187359,198.17
Communities & Local Government,GO,03/12/2010,Fares UK,GONE,REDFERN TRAVEL LIMITED,2100187359,988.91
Communities & Local Government,GO,03/12/2010,Fares UK,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100187359,"8,014.52"
Communities & Local Government,GO,03/12/2010,Fares UK,GOSW,REDFERN TRAVEL LIMITED,2100187350,"21,441.50"
Communities & Local Government,GO,03/12/2010,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100187359,34.73
Communities & Local Government,GO,03/12/2010,Fares UK,RCU - PAM - Property Asset Management,REDFERN TRAVEL LIMITED,2100187359,"4,084.72"
Communities & Local Government,GO,03/12/2010,IT - Service Contracts,GORCU Admin DEL Votd,METHODS CONSULTING LTD,5106152247,"19,093.75"
Communities & Local Government,GO,03/12/2010,IT - Service Contracts,GORCU Admin DEL Votd,METHODS CONSULTING LTD,5106152265,"19,093.75"
Communities & Local Government,GO,03/12/2010,IT - Service Contracts,GORCU Admin DEL Votd,METHODS CONSULTING LTD,5106152384,"19,093.75"
Communities & Local Government,GO,03/12/2010,Storage,GOEM,RADS,5106152402,"1,613.00"
Communities & Local Government,GO,06/12/2010,Agency Staff,GORCU Admin DEL Votd,CENTRAL OFFICE OF INFORMATION,5106152473,"5,850.94"
Communities & Local Government,GO,06/12/2010,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,5106152474,803.27
Communities & Local Government,GO,06/12/2010,Fares UK,GOEM,REDFERN TRAVEL LIMITED,2100187390,"5,345.23"
Communities & Local Government,GO,06/12/2010,Fares UK,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100187390,"3,574.56"
Communities & Local Government,GO,06/12/2010,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100187389,"8,957.12"
Communities & Local Government,GO,06/12/2010,Fares UK,GOYH,REDFERN TRAVEL LIMITED,2100187392,"14,672.18"
Communities & Local Government,GO,06/12/2010,Printers,GOYH,DCLG GOVERNMENT PROCUREMENT CARD,1000002844,781.63
Communities & Local Government,GO,06/12/2010,Professional services,RCU - PAM - Property Asset Management,GVA GRIMLEY LTD,5106152440,"83,219.38"
Communities & Local Government,GO,06/12/2010,Stationery,GOYH,DCLG GOVERNMENT PROCUREMENT CARD,1000002844,"1,659.17"
Communities & Local Government,GO,06/12/2010,Storage,GOE,IRON MOUNTAIN (UK) LIMITED,5106152486,794.90
Communities & Local Government,GO,06/12/2010,Subscriptions,GOYH,DCLG GOVERNMENT PROCUREMENT CARD,1000002847,780.00
Communities & Local Government,GO,06/12/2010,Subsistence UK,GOWM,REDFERN TRAVEL LIMITED,2100187389,"3,754.21"
Communities & Local Government,GO,06/12/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106152344,"1,800.00"
Communities & Local Government,GO,06/12/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106152358,"1,800.00"
Communities & Local Government,GO,06/12/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106152382,"1,800.00"
Communities & Local Government,GO,06/12/2010,Training,GOSE,DCLG GOVERNMENT PROCUREMENT CARD,1000002846,"2,932.80"
Communities & Local Government,GO,06/12/2010,Training,GOYH,EAST OF ENGLAND AMBULANCE SERVICE,2100187388,485.00
Communities & Local Government,GO,06/12/2010,Training,GOYH,FARADAY PARTNERSHIP LTD,2100187394,"1,650.00"
Communities & Local Government,GO,06/12/2010,Travel and Subsistence Account,GOE,REDFERN TRAVEL LIMITED,2100187397,"4,052.27"
Communities & Local Government,GO,06/12/2010,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100187351,"9,739.57"
Communities & Local Government,GO,06/12/2010,Travel and Subsistence Account,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100187351,"2,737.96"
Communities & Local Government,GO,07/12/2010,IT - Service Contracts,GORCU Admin DEL Votd,METHODS CONSULTING LTD,5106152507,"19,093.75"
Communities & Local Government,GO,07/12/2010,Stationery,GOE,BANNER BUSINESS SUPPLIES LTD,5106151826,515.59
Communities & Local Government,GO,07/12/2010,Storage,GONE,CROWN RECORDS MANAGEMENT LTD,5106152513,"1,767.97"
Communities & Local Government,GO,07/12/2010,Telephone call costs,GORCU Admin DEL Votd,MEETINGZONE LTD,5106152531,"2,093.57"
Communities & Local Government,GO,07/12/2010,Training,GOSE,DODS PARLIAMENTARY COMM  LTD,5106152508,"1,028.13"
Communities & Local Government,GO,08/12/2010,Accommodation Service Charges,RCU - PAM - Property Asset Management,BRB (RESIDUARY) LTD,2100187470,"-14,727.45"
Communities & Local Government,GO,08/12/2010,Accommodation Service Charges,RCU - PAM - Property Asset Management,BRB (RESIDUARY) LTD,5106152755,"14,727.45"
Communities & Local Government,GO,08/12/2010,Car Lease (expense),GONE,HITACHI CAPITAL VEHICLE SOLUTIONS,5106152582,"1,763.02"
Communities & Local Government,GO,08/12/2010,Fares UK,GOSE,REDFERN TRAVEL LIMITED,2100187439,"3,905.26"
Communities & Local Government,GO,08/12/2010,Fixed Maintenance,RCU - PAM - Property Asset Management,MIW OFFICE SOLUTIONS,5106151876,"1,872.00"
Communities & Local Government,GO,08/12/2010,IT Maintenance,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106152606,"31,185.20"
Communities & Local Government,GO,08/12/2010,Overseas expense,GOSE,REDFERN TRAVEL LIMITED,2100187439,228.29
Communities & Local Government,GO,08/12/2010,Printing,GORCU Admin DEL Votd,NEW RICOH UK,5106152635,722.87
Communities & Local Government,GO,08/12/2010,Rent,RCU - PAM - Property Asset Management,BRB (RESIDUARY) LTD,2100187470,"-88,160.77"
