FREEDOM OF INFORMATION,,
MOD Requests to 02 December 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,


Case Number,Date Due,Request Summary
31-10-2011-100500-001,25/11/2011,Please provide information and details to various questions regarding Pertemps Employment Agency.
31-10-2011-102147-002,25/11/2011,Please provide information and details on the use of various sites on Christmas Island during the British Nuclear Test programme.
31-10-2011-102632-003,25/11/2011,Please provide information and details on the ways in which the MOD used IT systems.
31-10-2011-103332-004,25/11/2011,"Please advise, and provide information and details, on the number and Broader Band B posts in the Naval TLB in Portsmouth are currently being filled by staff on long term temporary promotion beyond the normal six month period."
31-10-2011-103707-005,25/11/2011,Please advise on the number of individuals who have requested a UK Armed Forces Veterans Lapel Badge since they became available.
31-10-2011-110017-006,25/11/2011,"Please advise, and provide information and details, on the number of terrorist attacks on military and civilians or governmental facilities perpetrated by Al Qaeda and Al Qaeda affiliates in Iraq and Afghanistan from 2003 - present and 2001 - present respectively which involved advanced conventional weapons."
31-10-2011-112401-001,28/11/2011,Please advise on the number of General Staff Officers (i.e. Royal Navy: Officers from Commodore to Admiral; Royal Marines/Army: Officers from Colonel to General; Royal Air Force:  Officers from Group Captain to Air Marshall) from all three services who have had complaints upheld against them in the last five years.
31-10-2011-113104-007,25/11/2011,"Please advice, and provide information and details, of all recorded breaches of privacy and confidentiality (i.e. all recorded breaches of the Data Protection Act) at the MOD since 1 May 2010."
31-10-2011-114416-001,24/11/2011,"Please advise, and provide information and details, to various questions on the MDPGA's total budgeted ICT expenditure (capital and revenue) for 2010/11 and 2011/12."
31-10-2011-150421-001,09/11/2011,Please advise on where a copy of phase 1 and phase 3 of Mark Rayson's work on Development of Physical Selection Procedures for the British Army can be obtained.
31-10-2011-151635-008,28/11/2011,"Please advise, and provide information and details, on the number of nuclear warheads the UK had in 1994 and currently."
31-10-2011-160307-009,28/11/2011,"Please provide copies of all email correspondence sent using MOD email accounts by MOD staff, ministers, or Special Advisers to Adam Werritty and received into MOD email accounts by MOD staff, ministers or Special Advisers from Adam Werritty."
31-10-2011-170334-010,28/11/2011,"Please advise, and provide information and details, on mobile phones, laptop computers and USB memory sticks have been issued to ministers and Special Advisers in MOD and have either been broken, lost or stolen since 12 May 2010."
01-11-2011-113927-001,28/11/2011,Please provide information and details of all recorded losses of data by the MOD since 1 May 2010.
01-11-2011-120814-002,28/11/2011,"Please provide confirmation on whether, under the Rules of Engagement relating to Cyber Defence, the relevant organisations are permitted to engage in offensive attacks or only defensive action against those engaging in cyber attacks."
01-11-2011-121805-003,29/11/2011,"Please advise, and provide information and details, on the number of British soldiers wounded as a result of negligent discharges (accidental firing of weapon) since military action began in Afghanistan in 2001."
01-11-2011-144146-004,29/11/2011,Please provide information on the shipments of weapons/ammunition supplied to the IRA from Gaddafi's Libya.
01-11-2011-144520-005,29/11/2011,Please provide a copy of the MOD Defence Estates 2001 technical bulletin regarding limiting progressive collapse.
01-11-2011-145116-006,29/11/2011,"Please advise on the number of physical security breaches on MOD estate in Berkshire, Buckinghamshire, Hampshire and Oxfordshire from 2006 - present."
01-11-2011-150043-007,29/11/2011,"Please provide information and details of subcontractors, suppliers and consultants involved in the redevelopment of Aldershot's military town and Salisbury Plain training area."
01-11-2011-160036-008,28/11/2011,Please advise whether there have been any prosecutions of British service personnel arising from incidents in which they are alleged to have killed or wounded Afghan civilians since 1 January 2005.
02-11-2011-095909-001,29/11/2011,Please advise on the exact and specific advice that “Protected Buildings” gave to “Weapons Effects on Structures” section on the “environmental standards” to be adopted within an armoury.
02-11-2011-104349-001,30/11/2011,"Please advise, and provide information and details, to various questions regarding Flying Training Pipeline."
02-11-2011-105107-002,30/11/2011,"Please provide information on infrasound, ultrasound, bioelectromagnetics, microwave technology along with information on the companies who make them and the technologies involved. "
02-11-2011-105702-003,30/11/2011,"Please provide information and details on the work regarding the outer perimeter fence around Ford Monkton, Fort Road, Gosport, Hampshire.  "
02-11-2011-114338-005,30/11/2011,Please advise on the number of Jewish personnel currently serving in the Armed Forces.
02-11-2011-121039-006,30/11/2011,Please provide information and details of any trips or visits taken outside the UK by Ministers from 11 May 2010 onwards.
02-11-2011-143657-007,30/11/2011,Please provide figures on the number of infantry soldiers recruited between 2000 - 2010. 
02-11-2011-153214-008,23/11/2011,Please provide a copy of the original letter from MDP PSD.  
03-11-2011-101151-001,30/11/2011,"Please advise, and provide information and details, to various questions on MOD's total budgeted ICT expenditure (capital and revenue) for 2010/11 and 2011/12."
03-11-2011-105043-001,29/11/2011,Please provide information and details on the capabilities of the British military. 
03-11-2011-110317-002,30/11/2011,"Please advise, and provide information and details, on the financial support MOD contributes to sex change operations for service personnel and MOD civil servants."
03-11-2011-111447-003,30/11/2011,Please provide a copy of the current crest/badge of every vessel operated by the Royal Navy.
03-11-2011-113544-004,01/12/2011,Please provide a copy of the first Annual Activity Report (along with any annexes/appendices) by the Director General of the Military Aviation Authority. 
03-11-2011-114125-005,01/12/2011,Please provide information relating to the MOD's implementation of the recommendations in the 2000 report by RWMAC regarding the MOD's arrangement for dealing with radioactively contaminated land.
03-11-2011-115815-006,30/11/2011,Please provide information and details on the funding of the conservation officer post at Bicester Garrison.
03-11-2011-120223-007,01/12/2011,Please advise on whether there was ever a Government compensation scheme for bomb damage in WWII and if such a body still exists.
03-11-2011-120717-008,01/12/2011,Please provide information and details on the service record for xxxxxx.
03-11-2011-140541-001,30/11/2011,Please provide a copy of the BOI into the fire on HMS Victorious on 11 November 1967.
03-11-2011-143144-004,23/11/2011,"Please advise on whether there is a high incidence of Armed Forces personnel, past and present, who are suffering, or have suffered from skin cancer and whether adequate information and advice on sun protection is given to Armed Forces personnel whilst they are stationed abroad in warmer climates."
03-11-2011-145033-009,01/12/2011,Please provide copies of any documents relating to Hibaldstow Airfield and any maps detailing the sites and locations of underground electrical cables.
03-11-2011-150018-002,01/12/2011,Please advise on the percentage of successful RM Senior Corps Commissions. 
03-11-2011-152836-010,01/12/2011,Please provide information on the invasion exercise that took place on the uninhabited island of Scarp in the Western Isles in 1982.
03-11-2011-160915-011,01/12/2011,"Please provide copies of any minutes, or parts thereof, from SIB meetings within the past 12 months which mention the flying training pipeline and/or the success of removing students from flying training."
03-11-2011-161213-012,01/12/2011,"Please provide information on the current hold lengths of people now in the flying training system who are pre EFT, post EFT and post advance flying training."
03-11-2011-161446-013,01/12/2011,Please advise on the criteria used by the Redundancy Board for the removal of trainee pilots.
03-11-2011-161915-014,01/12/2011,"Please provide copies of any minutes, notes or internal briefs which give direction to the redundancy board regarding those deselected from flying training other than the redundancy DIN."
03-11-2011-162306-015,01/12/2011,"Please advise, and provide information and details, on whether redundancies for trainee pilots with substantial holds would  be considered again."
03-11-2011-162725-016,01/12/2011,"Please provide copies of any internal briefing notes, memos, minutes or relevant parts thereof which make reference to the rebalancing of the flying training system over the past 12 months along with any information regarding the success or failure of the process which have been created in the previous six months."
03-11-2011-170957-002,29/11/2011,Please provide a copy of the original and unredacted incident report following the incident on 12 September 2006 during which L/Bdr Ben Parkinson was injured. 
