Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,MIDDLESBROUGH COUNCIL,,,,2100207159,NE ERDF Project - NE004084,TS1 2XG,"17,692.87",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CATALYST SCIENCE DISCOVERY CENTRE,,,,2100207211,NW ERDF Project X001364PR,WA8 0DF,"5,400.89",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CUMBRIA TOURISM,,,,2100207212,NW ERDF Project X01563PR,LA8 9PL,"112,783.57",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CUMBRIA TOURISM,,,,2100207219,NW ERDF Project X01563PR,LA8 9PL,"66,517.95",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LANCASTER UNIVERISTY,,,,2100207213,NW ERDF Project X02148PR,LA1 4YW,"108,805.61",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORTH WEST VISION & MEDIA,,,,2100207214,NW ERDF Project X01064PR,M50 2UW,"104,832.33",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SOCIAL ENTERPRISE NORTH WEST,,,,2100207215,NW ERDF Project X00678PR,L2 2AH,"69,122.57",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,MANCHESTER UNIVERSITY,,,,2100207218,NW ERDF Project X00658PR,M13 9PL,"48,954.82",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,COVENTRY UNIVERSITY ENTERPRISES LTD,,Medium,,2100207203,WM ERDF  Project 080/XBG/IN1022,CV1 2TT,"29,840.55",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,COVENTRY UNIVERSITY ENTERPRISES LTD,,Medium,,2100207204,WM ERDF  Project 080/XBG/IN1022,CV1 2TT,"4,124.72",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,WEST MIDLANDS EUROPEAN NETWORK,,Small,,2100207206,WM ERDF  Project 080/ER/EI1002,B9 4AA,"4,975.22",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,WEST MIDLANDS EUROPEAN NETWORK,,Small,,2100207207,WM ERDF  Project 080/ER/EI1002,B9 4AA,"4,262.56",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,STAFFORDSHIRE & BLACK COUNTRY BIC L,,Small,,2100207209,WM ERDF  Project 080/XBG/BE1024,ST18 0AR,"12,671.95",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CENTRO,,Large,,2100207208,WM ERDF  Project 080/XDP/RC1002,B19 3SD,"107,573.12",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,COVENTRY CITY COUNCIL,,Large,,2100207205,WM ERDF  Project 080/XDP/RD1003,CV1 5RR,"3,000.00",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,BALTIC CREATIVE CIC,,,,2100207210,NW ERDF Project X00695PR,L2 3YL,"30,666.37",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,FLORENCE INSTITUTE TRUST LTD,,,,2100207216,NW ERDF Project X01913PR,L8 8DX,"135,948.11",
Communities & Local Government,DCLG,01/09/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,FLORENCE INSTITUTE TRUST LTD,,,,2100207217,NW ERDF Project X01913PR,L8 8DX,"147,349.24",
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,BARKING & DAGENHAM LB,,,,5000173395,Grant Payable by Exchequer,RM10 7BY,"-2,408,326.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,BARNSLEY MBC,,,,5000173399,Grant Payable by Exchequer,S70 2AQ,"-2,232,759.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,BIRMINGHAM CITY CNCL,,,,5000173416,Grant Payable by Exchequer,B3 3AB,"-18,024,100.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,BLACKBURN WITH DARWEN BC,,,,5000173420,Grant Payable by Exchequer,BB1 7DY,"-2,001,481.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,BLACKPOOL BC,,,,5000173422,Grant Payable by Exchequer,FY1 1NA,"-2,162,889.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,BOLTON MBC,,,,5000173426,Grant Payable by Exchequer,BL1 1RU,"-3,923,366.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,BRADFORD MBC,,,,5000173434,Grant Payable by Exchequer,BD1 1HX,"-6,106,844.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,BRENT LB,,,,5000173441,Grant Payable by Exchequer,HA9 9EZ,"-4,394,201.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,BRENT LB,,,,5000173442,Grant Payable by Exchequer,HA9 9EZ,"-23,648.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,BURY MBC,,,,5000173463,Grant Payable by Exchequer,BL9 0SP,"-2,314,743.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,CALDERDALE MBC,,,,5000173466,Grant Payable by Exchequer,HX1 1YP,"-2,568,220.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,COVENTRY CITY CNCL,,,,5000173517,Grant Payable by Exchequer,CV1 2QL,"-5,031,816.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,DARLINGTON BC,,,,5000172777,Grant Payable by Exchequer,TS19 1JA,"-1,474,367.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,DERBY CITY CNCL,,,,5000172804,Grant Payable by Exchequer,DE1 2FS,"-3,837,423.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,DONCASTER MBC,,,,5000172840,Grant Payable by Exchequer,DN1 2PN,"-3,711,175.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,DUDLEY MBC,,,,5000172868,Grant Payable by Exchequer,DY1 1HF,"-4,202,725.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,EAST RIDING OF YORKS,,,,5000172948,Grant Payable by Exchequer,HU17 9AB,"-3,621,166.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,ENFIELD LB,,,,5000173005,Grant Payable by Exchequer,EN1 3XF,"-4,526,974.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,GATESHEAD MBC,,,,5000173100,Grant Payable by Exchequer,NE8 1HH,"-3,810,435.00",Yes
