ALB Code,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
London Thames Gateway Development Corporation,ADVERTISING,STRATFORD PHOTO BUREAU LTD,"2,010.00"
London Thames Gateway Development Corporation,ADVERTISING,TELEVISION NEWS RELEASE LIMITED,"1,275.00"
London Thames Gateway Development Corporation,AUDIT SERVICES,DCLG,"7,310.00"
London Thames Gateway Development Corporation,AUDIT SERVICES,FIELD FISHER WATERHOUSE,"1,000.00"
London Thames Gateway Development Corporation,AUDIT SERVICES,GOVT ACTUARYS DEPARTMENT,"2,795.15"
London Thames Gateway Development Corporation,AUDIT SERVICES,HM REVENUE & CUSTOMS,999.63
London Thames Gateway Development Corporation,AUDIT SERVICES,PRICEWATERHOUSECOOPERS,"21,325.00"
London Thames Gateway Development Corporation,BOOKING SERVICES,PORTMAN TRAVEL,"3,678.31"
London Thames Gateway Development Corporation,BUILDING MANAGEMENT,DTZ DEBENHAM TIE LEUNG,"2,718.94"
London Thames Gateway Development Corporation,BUILDING MANAGEMENT,RESPONSE PROPERTY SUPPORT LTD,"8,317.43"
London Thames Gateway Development Corporation,BUILDING MANAGEMENT,SMS ELECTRICAL SERVICES LIMITED,696.00
London Thames Gateway Development Corporation,BUSINESS PROCESS OUTSOURCING SERVICES,ART SERVICES GRANTS LTD (SPACE),937.63
London Thames Gateway Development Corporation,BUSINESS PROCESS OUTSOURCING SERVICES,GVA GRIMLEY,"30,051.61"
London Thames Gateway Development Corporation,BUSINESS PROCESS OUTSOURCING SERVICES,GVA GRIMLEY LTD CLIENT ACCT,"648,890.14"
London Thames Gateway Development Corporation,BUSINESS PROCESS OUTSOURCING SERVICES,KEMSLEY CLIENT A/C,"4,123.33"
London Thames Gateway Development Corporation,BUSINESS PROCESS OUTSOURCING SERVICES,SAFE ESTATES SERVICES LTD,"3,866.00"
London Thames Gateway Development Corporation,CATERING,OFFICE CAFE COMPANY LTD T/A RED CUP,"1,159.85"
London Thames Gateway Development Corporation,CLEANING,EMPRISE SERVICES PLC,"16,249.50"
