Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/08/2011,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal Services",ESTHER HARRISON,1015747,135.13,PROSECUTION COUNSEL'S FEES -Criminal Law and Prosecution Work,LE1 7EA,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1030382,77.68,RUNNING COSTS NON DEVOLVED -Standard Desktop Plus Service (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/08/2011,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1030467,6804.59,RUNNING COSTS NON DEVOLVED -ICT Maintenance & Upkeep (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2011,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1030470,976.43,RUNNING COSTS NON DEVOLVED -ICT Maintenance & Upkeep (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/08/2011,Car Hire and Leasing,Business & Skills Group - FE & Skills Investment,ARVAL (UK) LTD,1030698,83.98,RUNNING COSTS DEVOLVED -Car Hire and Leasing,SN5 6PQ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/08/2011,Static Line Rental,Finance & Commercial Group - Finance Group,BRITISH TELECOMMUNICATIONS plc (BT),1030719,133.09,RUNNING COSTS DEVOLVED -Static Line Rental,DH98 1BT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1030949,991.76,INTERNATIONAL POLICY EU AND UK (SCIENCE BUDGET) -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2011,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1030950,-527.08,INTERNATIONAL POLICY EU AND UK (SCIENCE BUDGET) -Other Overseas Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1030951,18.34,GLOBAL PARTNERSHIP FUND -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1030953,160.39,GLOBAL PARTNERSHIP FUND -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/08/2011,Publications,"Legal, People & Communications Group - Legal Services",THE STATIONERY OFFICE LTD,1031039,32.19,RUNNING COSTS DEVOLVED -Publications,NR3 1QZ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/08/2011,Publications,"Legal, People & Communications Group - Legal Services",THE STATIONERY OFFICE LTD,1031040,140.1,RUNNING COSTS DEVOLVED -Publications,NR3 1QZ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/08/2011,Publications,"Legal, People & Communications Group - Legal Services",THE STATIONERY OFFICE LTD,1031040,1,RUNNING COSTS DEVOLVED -Publications,NR3 1QZ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/08/2011,Outsourced Technical Support (Programme),Knowledge and Innovation Group - Research Base,DWP (DEPARTMENT FOR WORK AND PENSIONS),1031086,9802.83,JIU - INTERNATIONAL PROGRAMME -Outsourced Technical Support (Programme),FY5 3TA,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/08/2011,Maintenance,Finance & Commercial Group - Commercial Directorate,BAXTERSTOREY LTD,1031101,2042.33,RUNNING COSTS NON DEVOLVED -Maintenance,RG6 1PT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/08/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Commercial Directorate,BROOK STREET (UK) LTD,1031158,320.88,RUNNING COSTS DEVOLVED -Hire of Agency Staff (Clerical/Secretariat/Other),AL1 4ZX,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1031242,16.06,RUNNING COSTS DEVOLVED -Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1031243,13.38,RUNNING COSTS DEVOLVED -Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1031245,377.93,RUNNING COSTS DEVOLVED -Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2011,Rail Fares Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1031249,152.99,RUNNING COSTS DEVOLVED -Rail Fares Overseas,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2011,Rail Fares Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1031249,310,RUNNING COSTS DEVOLVED -Rail Fares Overseas,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2011,Other Overseas Travel & Subsistence,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1031250,1430,RUNNING COSTS DEVOLVED -Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2011,Other Overseas Travel & Subsistence,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1031250,30.04,RUNNING COSTS DEVOLVED -Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2011,Telecommunications,Finance & Commercial Group - Commercial Directorate,QUESTMARK,1031292,950.4,RUNNING COSTS NON DEVOLVED -Telecommunications,NG10 4LS,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1031298,3573.57,RUNNING COSTS NON DEVOLVED -Standard Desktop Plus Service (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2011,Other IT Costs (Programme),Market Frameworks - Europe Trade & International Directorate,PARITY RESOURCES LTD,1031302,2819,IT PROJECT - POINT OF SINGLE CONTACT - EU SERVICES DIRECTIVE -Other IT Costs (Programme),SW19 3RU,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2011,Other IT Costs (Programme),Market Frameworks - Europe Trade & International Directorate,PARITY RESOURCES LTD,1031302,9391.8,IT PROJECT - POINT OF SINGLE CONTACT - EU SERVICES DIRECTIVE -Other IT Costs (Programme),SW19 3RU,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2011,Other IT Costs (Programme),Market Frameworks - Europe Trade & International Directorate,PARITY RESOURCES LTD,1031302,8.5,IT PROJECT - POINT OF SINGLE CONTACT - EU SERVICES DIRECTIVE -Other IT Costs (Programme),SW19 3RU,,,,Programme
