FREEDOM OF INFORMATION,,
MOD Requests to 30 December 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
05-12-2011-102356-001,05/01/2012,Please provide information and details on the disparity between IA Ghurkhas and British counterparts in relation to the provision of medical care.
05-12-2011-102808-001,04/01/2012,Please provide information and details of MOD Ministers meetings with outside interest groups between April - June and July - September 2011.
05-12-2011-104857-002,04/01/2012,"Please advise, and provide information and details, on which MOD internal and external agencies were consulted regarding the new Army Pensions Warrant 2010 before it was introduced. "
05-12-2011-105459-003,04/01/2012,"Please provide information and details of all correspondence (briefings, presentations, etc) about the Army Recovery Capability (or Defence Recovery Capability) that have been presented to the Executive Committee of the Army Board since 1 September 2011."
05-12-2011-110341-004,04/01/2012,Please provide information and details of items with a value of over £100 which have been taken without authorisation from the Department since the start of the FY 2011/12 - 30 November 2011.  
05-12-2011-110802-005,04/01/2012,Please provide information and details of items with a value of over £100 which have been taken without authorisation from the Department since the start of the FY 2010/11 - 30 November 2011.  
05-12-2011-111244-006,04/01/2012,Please provide information and details of items with a value of over £100 which have been taken without authorisation from the Department since the start of the FY 2009/10 - 30 November 2011.  
05-12-2011-111616-007,04/01/2012,Please provide information and details of items with a value of over £100 which have been taken without authorisation from the Department since the start of the FY 2008/09 - 30 November 2011.  
05-12-2011-112406-008,04/01/2012,"Please provide information and details of the uniforms and orders of dress for Officers, NCO and Guardsman of the Welsh Guard. "
05-12-2011-113150-009,04/01/2012,"Please provide details of new regulations (including primary legislation, statutory instruments, etc) sponsored or enacted by the Department along with details of existing regulations abolished, repealed or otherwise discontinued by the Department since May 2010."
05-12-2011-114504-010,04/01/2012,"Please advise if any covenants or special requirements or restrictions as to use were applied to ex-MOD land located at Broadbridge Heath, close to Horsham, West Sussex, when it was sold to the local council."
05-12-2011-132441-001,04/01/2012,Please provide statistical information on the composition of different ethnic minorities in the Armed Forces.
05-12-2011-133359-002,05/01/2012,"Please advise, and provide information and details, on the number/percentage of service leavers who choose to join one of the reserve forces (TA, RAFAUX, VR, Navel reserve, etc) after completing regular service."
05-12-2011-135210-011,04/01/2012,"Please provide information on the number of senior military officers (Major General, Air Vice Marshal, Rear Admiral and above) retired on full pay, currently receiving a pension, along with details on the annual total cost."
05-12-2011-140015-012,04/01/2012,"Please provide information on the covenant on ex-MOD owned land in Broadbridge Heath, Horsham, West Sussex which was sold/given to Horsham District Council. "
