Equality Monitoring 2010/11 Annex Tables & Charts,,,,,,

Analysis of the data summarised in the tables in this workbook can be found in the Equality Monitoring Report for DSA 2010/11,,,,,,
Date published: 14/10/11,,,,,,
Web address: [TBC],,,,,,
"Data formats: These tables, describing the underlying data used, are available both as an Excel workbook and as a comma-separated values (CSV) file. Data is tabulated (and rows and/or columns may have been combined) in order to protect the identities of individuals.",,,,,,


1.  Demographics,,,,,,

Tables in section 1 summarise diversity data collected on all permanent and fixed term members of staff in post in DSA on 31st March 2011.,,,,,,
Members of staff on long-term leave (including maternity leave) have been excluded.,,,,,,

Table 1.1: Staff by Location and Sex,,,,,,

Table 1.1(a): Figures,,,,,,Table 1.1(b): Percentages of Location Total
,Male,Female,Total,,,,Male,Female,
Nottingham Head Office,165,185,350,,,Nottingham Head Office,47.10%,52.90%,
Newcastle Local Area Office,112,158,270,,,Newcastle Local Area Office,41.50%,58.50%,
Cardiff Local Area Office,39,44,83,,,Cardiff Local Area Office,47.00%,53.00%,
Other (GB),"1,450",380,"1,830",,,Other (GB),79.20%,20.80%,
Total,"1,766",767,2533,,,GB Working Age Pop.,50.00%,50.00%,


Table 1.2: Staff by Location and Race,,,,,,,,,

Table 1.2(a): Figures,,,,,,Table 1.2(b): Percentages of Location Total,,,
,White,BME,Unknown,Total,,,White,BME,Unknown
Nottingham Head Office,310,20,20,350,,Nottingham Head Office,88.60%,5.70%,5.70%
Newcastle Local Area Office,254,8,8,270,,Newcastle Local Area Office,94.10%,3.00%,3.00%
Cardiff Local Area Office,73,1,9,83,,Cardiff Local Area Office,88.00%,1.20%,10.80%
Other (GB),"1,607",79,144,"1,830",,Other (GB),87.80%,4.30%,7.90%
Total,"2,244",108,181,2533,,GB Working Age Pop.,88.70%,11.30%,-


Table 1.3: Staff by Location and Disabled Status,,,,,,,,,

Table 1.3(a): Figures,,,,,,Table 1.3(b): Percentages of Location Total,,,
,Not disabled,Disabled,Disabled Status Unknown/Undeclared,Total,,,Not disabled,Disabled,Disabled Status Unknown/Undeclared
Nottingham Head Office,265,53,32,350,,Nottingham Head Office,75.70%,15.10%,9.10%
Newcastle Local Area Office,230,25,15,270,,Newcastle Local Area Office,85.20%,9.30%,5.60%
Cardiff Local Area Office,70,11,2,83,,Cardiff Local Area Office,84.30%,13.30%,2.40%
Other (GB),"1,568",126,136,"1,830",,Other (GB),85.70%,6.90%,7.40%
Total,"2,133",215,185,2533,,GB Working Age Pop.,80.00%,20.00%,-


Table 1.4: Staff by Pay Band,,,,,,,,,

Table 1.4(a): Total Number of Staff by Pay Band,,,,,,,,,,,,,
AA,AO,EO,HEO,SEO,Grade 7,Grade 6,DE,SDE,SE,ACDE,DCDE,CDE,Total
93,276,154,106,66,37,10,"1,449",251,67,20,3,1,"2,533"

Table 1.4(b): Total Number of FTE by Pay Band,,,,,,,,,,,,,
AA,AO,EO,HEO,SEO,Grade 7,Grade 6,DE,SDE,SE,ACDE,DCDE,CDE,Total
61,254,146,103,65,37,10,"1,350",249,66,19,3,1,"2,364"



Table 1.5: Staff by Race,,,,,,,,,,,,,

,AA,AO,EO,HEO,SEO,Grade 7,Grade 6,DE,SDE,SE,ACDE / DCDE / CDE,Total,
White,83,246,142,95,57,36,9,"1,267",227,59,23,"2,244",
BME,6,12,3,7,3,0,0,65,10,2,0,108,
Unknown,4,18,9,4,6,1,1,117,14,6,1,181,
Total,93,276,154,106,66,37,10,"1,449",251,67,24,2533



Table 1.6: Staff by Sex,,,,,,,,,,,,

,AA,AO,EO,HEO,SEO,Grade 7,Grade 6,DE,SDE,SE,ACDE / DCDE / CDE,Total
Male,25,109,68,46,26,28,7,"1,168",212,58,19,"1,766"
Female,68,167,86,60,40,9,3,281,39,9,5,767
Total,93,276,154,106,66,37,10,"1,449",251,67,24,2533



Table 1.7: Staff by Disabled Status,,,,,,,,,,,,

Table 1.7(a): Summary of Staff by Disabled Status,,,,,,,,,,,,
Not disabled,Disabled,Disabled Status Unknown/Undeclared,,,,,,,,,,
2133,215,185,,,,,,,,,,

Table 1.7(b): Staff by Disabled Status and Pay Band,,,,,,,,,,,,
,AA,AO,EO,HEO,SEO,Grade 7,Grade 6,DE,SDE,SE,ACDE / DCDE / CDE,Total
Not disabled,81,222,120,81,54,35,6,"1,239",220,56,19,"2,133"
Disabled,9,31,27,16,7,1,2,93,16,10,3,215
Disabled Status Unknown/Undeclared,3,23,7,9,5,1,2,117,15,1,2,185
Total,93,276,154,106,66,37,10,"1,449",251,67,24,2533

Table 1.7(c): Staff by Disabled Status and Sex,,,,,,,,,,,,
,Male,Female,,,,,,,,,,
Not disabled,"1,488",645,,,,,,,,,,
Disabled,141,74,,,,,,,,,,
Disabled Status Unknown/Undeclared,137,48,,,,,,,,,,
Total,"1,766",767,,,,,,,,,,


Table 1.8: Staff by Work Pattern,,,,,,,,,,,,

Table 1.8(a): Staff by Pay Band,,,,,,,,,,,,
,AA,AO,EO,HEO,SEO,Grade 7,Grade 6,DE,SDE,SE,ACDE / DCDE / CDE,Total
Full-time,39,209,127,94,61,37,10,"1,167",243,64,22,"2,073"
Part-time,54,67,27,12,5,0,0,282,8,3,2,460
Total,93,276,154,106,66,37,10,"1,449",251,67,24,2533

Table 1.8(b): Staff by Pay Band and Sex,,,,,,,,,,,,
,AA,,AO,,EO,,HEO / SEO,,Grade 7,,Grade 6,
,Full-time,Part-time,Full-time,Part-time,Full-time,Part-time,Full-time,Part-time,Full-time,Part-time,Full-time,Part-time
Male,21,4,104,5,66,2,70,2,28,0,7,0
Female,18,50,105,62,61,25,85,15,9,0,3,0
Total,39,54,209,67,127,27,155,17,37,0,10,0

,DE,,SDE,,SE /ACDE / DCDE / CDE,,Totals,,,,,
,Full-time,Part-time,Full-time,Part-time,Full-time,Part-time,Full-time,Part-time,Total,,,
Male,971,197,205,7,73,4,1545,221,1766,,,
Female,196,85,38,1,13,1,528,239,767,,,
Total,1167,282,243,8,86,5,2073,460,2533,,,

Table 1.8(c): Figures as a Percentage of FTE Group,,,,,,,,,,,,
,AA,,AO,,EO,,HEO / SEO,,Grade 7,,Grade 6,
,Full-time,Part-time,Full-time,Part-time,Full-time,Part-time,Full-time,Part-time,Full-time,Part-time,Full-time,Part-time
Male,53.80%,7.40%,49.80%,7.50%,52.00%,7.40%,45.20%,11.80%,75.70%,0.00%,70.00%,0.00%
Female,46.20%,92.60%,50.20%,92.50%,48.00%,92.60%,54.80%,88.20%,24.30%,0.00%,30.00%,0.00%
Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%

,DE,,SDE,,SE /ACDE / DCDE / CDE,,Totals,,,,,
