Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,01/05/2012,Courier Services,Estates,CITY LINK,,Large,,5106178493,City Link Postage,WA4 4SN,"1,226.17",
Communities & Local Government,PINS,01/05/2012,Courier Services,Estates,ROYAL MAIL,,Large,,5106178509,Non VAT charges,S49 1HQ,2.59,
Communities & Local Government,PINS,01/05/2012,Courier Services,Estates,ROYAL MAIL,,Large,,5106178509,Royal Mail Post,S49 1HQ,"2,271.50",
Communities & Local Government,PINS,01/05/2012,Rates,Estates,BRISTOL CITY COUNCIL,,Public Bodies,,5106178489,Buisness Rates for Temple Quay House,BS99 1SD,"130,925.26",
Communities & Local Government,PINS,01/05/2012,Agency Staff,Human Resources,CAPITA RESOURCING LTD,,Large,,5106178485,Contracts,SL6 1DP,"5,386.07",
Communities & Local Government,PINS,01/05/2012,IT - Software Maintenance,Library,SIRSIDYNIX LTD,,Small,,5106178479,Annual Unicorn Software Maintenance,WD17 1DU,"6,386.54",
Communities & Local Government,PINS,01/05/2012,NSI Fees & Expenses,NSI Expenses Infrastructure,W S C WADRUP INDEPENDENT CONS LTD,,Micro,,2100000531,#,MK43 7DU,"1,421.50",
Communities & Local Government,PINS,01/05/2012,NSI Fees & Expenses,NSI Fees Infrastructure,W S C WADRUP INDEPENDENT CONS LTD,,Micro,,2100000531,#,MK43 7DU,"7,593.60",
Communities & Local Government,PINS,01/05/2012,IT SUPPORT,IPC (agreed pre-integration),DCLG,,Public Bodies,,5106178494,Laptops for IPC,HP2 4XN,"18,574.08",
Communities & Local Government,PINS,01/05/2012,IT SUPPORT,IPC (agreed pre-integration),DCLG,,Public Bodies,,5106178495,IPC Intergration Costs,HP2 4XN,"6,000.00",
Communities & Local Government,PINS,01/05/2012,Training,IPC (agreed pre-integration),BRAY LEINO LTD,,Large,,5106178497,Training,EX32 0RX,"2,500.00",
Communities & Local Government,PINS,01/05/2012,Advertising,ROW,PENNA PLC,,Large,,5106178491,Statutory Advertising,EC4M 7RD,856.31,
Communities & Local Government,PINS,02/05/2012,Printing,Admin Support,TAURUS PRINT & DESIGN LTD,,Data Not Provided,,5106178520,Printing,KT14 7LF,745.00,
Communities & Local Government,PINS,02/05/2012,Printing,Admin Support,TAURUS PRINT & DESIGN LTD,,Data Not Provided,,5106178541,Printing,KT14 7LF,"1,285.00",
Communities & Local Government,PINS,02/05/2012,Printing,Admin Support,TAURUS PRINT & DESIGN LTD,,Data Not Provided,,5106178542,Printing,KT14 7LF,979.00,
Communities & Local Government,PINS,02/05/2012,Advertising,Common Land,PENNA PLC,,Large,,5106178548,Statutory Advertising,EC4M 7RD,443.39,
Communities & Local Government,PINS,02/05/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106178504,MFD costs,TW13 7HG,"2,093.76",
Communities & Local Government,PINS,02/05/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106178505,MFD costs,TW13 7HG,"1,035.84",
Communities & Local Government,PINS,02/05/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106178506,MFD costs,TW13 7HG,"3,960.07",
Communities & Local Government,PINS,02/05/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106178507,MFD costs,TW13 7HG,"1,390.98",
Communities & Local Government,PINS,02/05/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106178508,MFD costs,TW13 7HG,745.32,
Communities & Local Government,PINS,02/05/2012,NSI Fees & Expenses,NSI Expenses Planning,D C PLANNING LTD,,Micro,,2100000532,#,BH14 8AL,145.14,
Communities & Local Government,PINS,02/05/2012,NSI Fees & Expenses,NSI Expenses Planning,ELIZABETH LAWRENCE LTD,,Micro,,2100000534,#,RH20 3LY,86.40,
Communities & Local Government,PINS,02/05/2012,NSI Fees & Expenses,NSI Expenses Planning,LEIGH & GLENNIE LTD,,Micro,,2100000530,#,SL5 9EA,121.82,
Communities & Local Government,PINS,02/05/2012,NSI Fees & Expenses,NSI Expenses Planning,MR C J CHECKLEY,,Micro,,2100000533,#,NE46 2PT,69.55,
Communities & Local Government,PINS,02/05/2012,NSI Fees & Expenses,NSI Expenses Planning,STEP CONSULTANCY LTD,,Micro,,2100000428,#,BN8 5DW,49.32,
Communities & Local Government,PINS,02/05/2012,NSI Fees & Expenses,NSI Fees Planning,D C PLANNING LTD,,Micro,,2100000532,#,BH14 8AL,"1,008.00",
Communities & Local Government,PINS,02/05/2012,NSI Fees & Expenses,NSI Fees Planning,ELIZABETH LAWRENCE LTD,,Micro,,2100000534,#,RH20 3LY,"2,016.00",
