Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,DCLG,01/10/2010,Goods Received/Invoice Received,Communities Group,DEVON FIRE AUTHORITY,2300001707,"-3,965.94"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Regions and Communities,CAPITA RESOURCING LTD,5106147122,"5,358.00"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Regions and Communities,CAPITA RESOURCING LTD,5106147140,"1,049.78"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Finance and Corporate Services,MICHAEL PAGE INTERNATIONAL,5106147066,"1,903.50"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Finance and Corporate Services,REED SPECIALIST RECRUITMENT LTD,5106147038,450.06
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Finance and Corporate Services,REED SPECIALIST RECRUITMENT LTD,5106147061,"2,960.51"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Finance and Corporate Services,REED SPECIALIST RECRUITMENT LTD,5106147155,"3,224.83"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Finance and Corporate Services,VENN GROUP,5106147294,"1,360.09"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Finance and Corporate Services,VENN GROUP,5106147295,"1,771.31"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Finance and Corporate Services,VENN GROUP,5106147296,"1,426.45"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Finance and Corporate Services,VENN GROUP,5106147315,"1,699.58"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Finance and Corporate Services,CAPITA RESOURCING LTD,5106147126,"11,820.74"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Finance and Corporate Services,CAPITA RESOURCING LTD,5106147138,"2,749.74"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Finance and Corporate Services,CAPITA RESOURCING LTD,5106147146,"1,725.08"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Communities Group,REED SPECIALIST RECRUITMENT LTD,5106147040,802.76
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Communities Group,REED SPECIALIST RECRUITMENT LTD,5106147110,810.69
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Communities Group,REED SPECIALIST RECRUITMENT LTD,5106147376,522.33
Communities & Local Government,DCLG,01/10/2010,Agency Staff,Communities Group,LA INT COMPUTER CONSULTANTS LTD,5106147357,"8,481.96"
Communities & Local Government,DCLG,01/10/2010,Agency Staff,"Local Gov & Reg(LG DEL,AME, RfR2)",CAPITA RESOURCING LTD,5106147143,"2,411.10"
Communities & Local Government,DCLG,01/10/2010,Conferences,Regions and Communities,STRATHCLYDE UNIVERSITY,2600061676,"7,366.95"
Communities & Local Government,DCLG,01/10/2010,Conferences,Communities Group,ESSEX COUNTY FIRE & RESCUE SERVICE,5106147353,669.75
Communities & Local Government,DCLG,01/10/2010,Domestic Services,Finance and Corporate Services,MITIE SECURITY LTD,5106147130,"1,388.87"
Communities & Local Government,DCLG,01/10/2010,Hospitalty,Communities Group,DCLG GOVERNMENT PROCUREMENT CARD,1000002474,591.47
Communities & Local Government,DCLG,01/10/2010,IT SUPPORT,Housing and Planning,STERIA LIMITED,5106147098,"58,835.78"
Communities & Local Government,DCLG,01/10/2010,Legal Fees,Finance and Corporate Services,DENTON WILDE SAPTE LLP,5106147225,"36,343.49"
Communities & Local Government,DCLG,01/10/2010,Subsidies to Private Sector,Communities Group,CFOA (NATIONAL RESILIANCE) LTD,2100195236,"2,023,300.00"
Communities & Local Government,DCLG,01/10/2010,Travel and Subsistence Account,Communities Group,BEDS & LUTON FIRE & RESCUE SERVICE,5106147389,524.68
Communities & Local Government,DCLG,01/10/2010,Current Grants to Non Profit Bodies,Communities Group,COMMUNITY DEVELOPMENT FOUNDATION,2100195311,"1,142,962.11"
Communities & Local Government,DCLG,01/10/2010,Current Grants to Non Profit Bodies,Communities Group,COMMUNITY DEVELOPMENT FOUNDATION,2100195505,"36,000.00"
Communities & Local Government,DCLG,01/10/2010,IT Consumables,Housing and Planning,BANNER BUSINESS SUPPLIES LTD,5106147052,512.89
Communities & Local Government,DCLG,01/10/2010,Rates,Finance and Corporate Services,STEVENAGE BOROUGH COUNCIL,5106147017,"1,873.00"
Communities & Local Government,DCLG,01/10/2010,Research,Housing and Planning,AECOM LTD,5106147080,"1,969.62"
Communities & Local Government,DCLG,01/10/2010,Research,Housing and Planning,AECOM LTD,5106147408,"3,836.79"
Communities & Local Government,DCLG,01/10/2010,Research,Housing and Planning,BUILDING RESEARCH ESTABLISHMENT,5106147386,"2,684.18"
Communities & Local Government,DCLG,01/10/2010,Research,Housing and Planning,GREENSTREET BERMAN LTD,5106147323,"23,521.15"
Communities & Local Government,DCLG,01/10/2010,Research,Finance and Corporate Services,EXPERIAN LTD,5106147344,"17,105.06"
Communities & Local Government,DCLG,01/10/2010,Research,Finance and Corporate Services,NATIONAL CENTRE FOR SOCIAL RESEARCH,5106147090,"31,750.00"
Communities & Local Government,DCLG,01/10/2010,Research,Finance and Corporate Services,DE MONTFORT UNIVERSITY,5106147211,"7,290.00"
Communities & Local Government,DCLG,01/10/2010,Research,Communities Group,WEST SUSSEX CC,5106147350,"39,900.00"
Communities & Local Government,DCLG,01/10/2010,Security,Finance and Corporate Services,MITIE SECURITY LTD,5106147148,"4,246.40"
Communities & Local Government,DCLG,01/10/2010,Training,Finance and Corporate Services,NATIONAL SCHOOL OF GOVERNMENT,5106147034,"1,650.00"
Communities & Local Government,DCLG,01/10/2010,Training,Finance and Corporate Services,NATIONAL SCHOOL OF GOVERNMENT,5106147070,"1,650.00"
Communities & Local Government,DCLG,01/10/2010,Training,Communities Group,EADS DEFENCE & SECURITY SYSTEMS LTD,5106147247,"2,250.00"
Communities & Local Government,DCLG,01/10/2010,Training,Communities Group,DEVON FIRE AUTHORITY,5106147106,"3,965.94"
Communities & Local Government,DCLG,01/10/2010,Waste Disposal and pest control,Finance and Corporate Services,DACORUM BC,5106147113,435.00
Communities & Local Government,DCLG,01/10/2010,Vehicle hire,Housing and Planning,CYCLONE COURIER CO LTD,5106147378,706.14
Communities & Local Government,DCLG,01/10/2010,Electricity,Housing and Planning,BRITISH GAS,5106147329,543.26
Communities & Local Government,DCLG,01/10/2010,Electricity,Housing and Planning,BRITISH GAS,5106147331,"2,120.93"
Communities & Local Government,DCLG,01/10/2010,Stationery,Housing and Planning,BANNER BUSINESS SUPPLIES LTD,5106147052,163.56
Communities & Local Government,DCLG,01/10/2010,Web Services,Regions and Communities,VERIZON UK LTD,5106147054,774.68
Communities & Local Government,DCLG,01/10/2010,Web Services,Regions and Communities,VERIZON UK LTD,5106147291,774.68
Communities & Local Government,DCLG,01/10/2010,Web Services,Regions and Communities,VERIZON UK LTD,5106147298,654.48
Communities & Local Government,DCLG,01/10/2010,Web Services,Regions and Communities,VERIZON UK LTD,5106147299,774.68
Communities & Local Government,DCLG,01/10/2010,Capital Grants to Private Sect Non Profit,Communities Group,CFOA (NATIONAL RESILIANCE) LTD,2100195236,"750,000.00"
Communities & Local Government,DCLG,01/10/2010,Services provided by other Govt Orgs,Finance and Corporate Services,DEFENCE VETTING AGENCY,5106147194,"1,806.07"
Communities & Local Government,DCLG,01/10/2010,Grant in Aid to NDPBs (non budget),Housing and Planning,HOMES & COMMUNITIES AGENCY,2100195499,"6,471,607.00"
Communities & Local Government,DCLG,01/10/2010,Grant in Aid to NDPBs (non budget),Housing and Planning,LEASEHOLD ADVISORY SERVICE,2100194978,"296,431.00"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Housing and Planning,AEA TECHNOLOGY ENVIRONMENT,5106147325,"16,535.19"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Communities Group,EADS DEFENCE & SECURITY SYSTEMS LTD,5106147231,"18,000.00"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Communities Group,EADS DEFENCE & SECURITY SYSTEMS LTD,5106147233,"36,000.00"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Communities Group,EADS DEFENCE & SECURITY SYSTEMS LTD,5106147235,"20,250.00"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Communities Group,EADS DEFENCE & SECURITY SYSTEMS LTD,5106147237,"13,500.00"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Communities Group,EADS DEFENCE & SECURITY SYSTEMS LTD,5106147239,"24,750.00"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Communities Group,EADS DEFENCE & SECURITY SYSTEMS LTD,5106147241,"22,500.00"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Communities Group,EADS DEFENCE & SECURITY SYSTEMS LTD,5106147244,"9,000.00"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Communities Group,EADS DEFENCE & SECURITY SYSTEMS LTD,5106147246,"2,250.00"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Communities Group,EADS DEFENCE & SECURITY SYSTEMS LTD,5106147249,"4,500.00"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Communities Group,EADS DEFENCE & SECURITY SYSTEMS LTD,5106147251,"2,250.00"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Communities Group,EADS DEFENCE & SECURITY SYSTEMS LTD,5106147253,"2,250.00"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Communities Group,AIRWAVE SOLUTIONS LTD,5106147309,"39,143.76"
Communities & Local Government,DCLG,01/10/2010,Steady State Service Provision,Communities Group,AIRWAVE SOLUTIONS LTD,5106147311,"35,470.18"
