Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,GO,01/11/2010,Accommodation Service Charges,RCU - PAM - Property Asset Management,DANMERC PROP CONSULTANTS  & MGT LTD,5106149876,663.33
Communities & Local Government,GO,01/11/2010,Accommodation Service Charges,RCU - PAM - Property Asset Management,DANMERC PROP CONSULTANTS  & MGT LTD,5106149902,"1,211.91"
Communities & Local Government,GO,01/11/2010,Domestic Services,RCU - PAM - Property Asset Management,FOSTERS BREATHING SPACE,5106149893,718.61
Communities & Local Government,GO,01/11/2010,Fares UK,GOL,REDFERN TRAVEL LIMITED,2100186046,"1,404.72"
Communities & Local Government,GO,01/11/2010,Fixed Maintenance,RCU - PAM - Property Asset Management,AMEY COMMUNITY LTD,5106149895,"1,213.75"
Communities & Local Government,GO,01/11/2010,Mobile phone costs,GORCU Admin DEL Votd,VODAFONE UK,5106149848,"34,104.71"
Communities & Local Government,GO,01/11/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,2100186065,"9,600.00"
Communities & Local Government,GO,01/11/2010,Training,GORCU Admin DEL Votd,BRAY LEINO LTD,5106149905,"2,665.00"
Communities & Local Government,GO,01/11/2010,Training,GORCU Admin DEL Votd,BRAY LEINO LTD,5106149906,"1,030.00"
Communities & Local Government,GO,01/11/2010,Training,GORCU Admin DEL Votd,ST JOHN AMBULANCE (SAC),5106149907,786.00
Communities & Local Government,GO,01/11/2010,Training,GOYH,DCLG GOVERNMENT PROCUREMENT CARD,1000002772,"1,600.00"
Communities & Local Government,GO,01/11/2010,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,AMEY COMMUNITY LTD,5106149894,"1,535.67"
Communities & Local Government,GO,02/11/2010,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,5106149926,803.27
Communities & Local Government,GO,02/11/2010,Training,GOEM,DCLG GOVERNMENT PROCUREMENT CARD,1000002779,"2,150.25"
Communities & Local Government,GO,02/11/2010,Training,GOSE,DCLG GOVERNMENT PROCUREMENT CARD,1000002780,146.88
Communities & Local Government,GO,03/11/2010,Conferences,GONW,CHESTER PERFORMS,5106150089,"-10,000.00"
Communities & Local Government,GO,03/11/2010,Conferences,GONW,CHESTER PERFORMS,5106150099,"10,000.00"
Communities & Local Government,GO,03/11/2010,Conferences,GOSW,BRITISH URBAN REGENERATION ASSOC,2100186269,581.63
Communities & Local Government,GO,03/11/2010,Fixed Maintenance,RCU - PAM - Property Asset Management,AMEY COMMUNITY LTD,5106150113,"21,579.09"
Communities & Local Government,GO,03/11/2010,"Furniture, Fittings and carpets",RCU - PAM - Property Asset Management,OSMOND GROUP LTD,5106150136,"1,072.25"
Communities & Local Government,GO,03/11/2010,Telephone call costs,GORCU Admin DEL Votd,CABLE & WIRELESS,5106150132,"1,323.13"
Communities & Local Government,GO,03/11/2010,Telephone call costs,GORCU Admin DEL Votd,MEETINGZONE LTD,5106150130,"1,441.37"
Communities & Local Government,GO,03/11/2010,Training,GOEM,DCLG GOVERNMENT PROCUREMENT CARD,1000002785,"1,250.00"
Communities & Local Government,GO,03/11/2010,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,AMEY COMMUNITY LTD,5106150145,"22,953.56"
Communities & Local Government,GO,04/11/2010,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,5106150198,803.27
Communities & Local Government,GO,04/11/2010,IT Maintenance,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106150176,"4,993.11"
Communities & Local Government,GO,04/11/2010,Post,GOWM,GOVERNMENT CAR & DESPATCH AGENCY,2100186324,"2,347.65"
Communities & Local Government,GO,04/11/2010,Training,GOSE,ILX GROUP PLC,2100186265,780.00
Communities & Local Government,GO,04/11/2010,Training,GOSE,PSYSOFT LTD,2100186267,"3,580.00"
Communities & Local Government,GO,04/11/2010,Travel and Subsistence Account,GONW,REDFERN TRAVEL LIMITED,2100186322,"12,103.75"
Communities & Local Government,GO,04/11/2010,Unplanned Delivery Costs,RCU - PAM - Property Asset Management,GBM DIGITAL TECHNOLOGIES LTD,5106150156,705.00
Communities & Local Government,GO,05/11/2010,Car Lease (expense),GONE,HITACHI CAPITAL VEHICLE SOLUTIONS,5106150216,"1,763.02"
Communities & Local Government,GO,05/11/2010,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106150239,"1,598.82"
Communities & Local Government,GO,05/11/2010,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106150223,"5,041.22"
Communities & Local Government,GO,05/11/2010,Electricity,RCU - PAM - Property Asset Management,SCOTTISH POWER,5106150226,521.08
Communities & Local Government,GO,05/11/2010,Electricity,RCU - PAM - Property Asset Management,SCOTTISH POWER,5106150227,763.83
Communities & Local Government,GO,05/11/2010,Electricity,RCU - PAM - Property Asset Management,SCOTTISH POWER,5106150238,554.33
Communities & Local Government,GO,05/11/2010,Fares UK,GOSE,REDFERN TRAVEL LIMITED,2100186364,"2,365.81"
Communities & Local Government,GO,05/11/2010,Fares UK,GOSW,REDFERN TRAVEL LIMITED,2100186370,"13,531.06"
Communities & Local Government,GO,05/11/2010,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100186373,"5,969.13"
Communities & Local Government,GO,05/11/2010,Overseas expense,GOSE,REDFERN TRAVEL LIMITED,2100186364,925.05
Communities & Local Government,GO,05/11/2010,Subsistence UK,GOSE,REDFERN TRAVEL LIMITED,2100186364,675.64
Communities & Local Government,GO,05/11/2010,Subsistence UK,GOWM,REDFERN TRAVEL LIMITED,2100186373,"2,254.81"
Communities & Local Government,GO,08/11/2010,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106150310,"2,507.63"
Communities & Local Government,GO,08/11/2010,Fares UK,GOEM,REDFERN TRAVEL LIMITED,2100186393,"8,047.77"
Communities & Local Government,GO,08/11/2010,Office machinery consumables,GOSW,DCLG GOVERNMENT PROCUREMENT CARD,1000002791,914.15
Communities & Local Government,GO,08/11/2010,Publicity,GONE,PENNA COMMUNICATIONS,2100186394,"2,934.33"
Communities & Local Government,GO,08/11/2010,Publicity,GONE,PENNA COMMUNICATIONS,2100186395,"3,401.68"
Communities & Local Government,GO,08/11/2010,Publicity,GONE,PENNA COMMUNICATIONS,2100186396,"4,208.77"
Communities & Local Government,GO,08/11/2010,Publicity,GONE,PENNA COMMUNICATIONS,2100186397,"1,098.90"
Communities & Local Government,GO,08/11/2010,Publicity,GONE,PLANNING INSPECTORATE,2100186399,"32,736.00"
Communities & Local Government,GO,08/11/2010,Storage,GOE,IRON MOUNTAIN (UK) LIMITED,5106150307,766.67
Communities & Local Government,GO,08/11/2010,Training,GOE,DCLG GOVERNMENT PROCUREMENT CARD,1000002793,"1,030.00"
Communities & Local Government,GO,08/11/2010,Training,GOSW,DCLG GOVERNMENT PROCUREMENT CARD,1000002791,500.00
Communities & Local Government,GO,08/11/2010,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100186371,"5,957.36"
Communities & Local Government,GO,08/11/2010,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100186401,"1,465.96"
Communities & Local Government,GO,08/11/2010,Travel and Subsistence Account,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100186371,"2,430.52"
Communities & Local Government,GO,08/11/2010,Travel and Subsistence Account,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100186401,"3,845.90"
Communities & Local Government,GO,09/11/2010,Car Lease (expense),GOSW,ARVAL,2100186404,"1,441.85"
Communities & Local Government,GO,09/11/2010,Car Lease (expense),GOSW,ARVAL,2100186405,"1,441.85"
Communities & Local Government,GO,09/11/2010,Car Lease (expense),GOSW,ARVAL,2100186406,"1,441.78"
Communities & Local Government,GO,09/11/2010,Fares UK,GOYH,REDFERN TRAVEL LIMITED,2100186455,"11,543.56"
Communities & Local Government,GO,09/11/2010,Hospitalty,GOE,BAXTERSTOREY LTD,2100186372,"1,552.70"
Communities & Local Government,GO,09/11/2010,Training,GOSW,DCLG GOVERNMENT PROCUREMENT CARD,1000002795,500.00
Communities & Local Government,GO,09/11/2010,Training,GOSW,OEE CONSULTING LTD,5106150413,"15,792.00"
Communities & Local Government,GO,09/11/2010,Travel and Subsistence Account,GOE,REDFERN TRAVEL LIMITED,2100186403,"3,561.91"
Communities & Local Government,GO,09/11/2010,Vendor Prepayments,GOSW,ARVAL,2100186404,"2,018.52"
Communities & Local Government,GO,09/11/2010,Vendor Prepayments,GOSW,ARVAL,2100186405,"2,018.52"
Communities & Local Government,GO,09/11/2010,Vendor Prepayments,GOSW,ARVAL,2100186406,"2,018.45"
Communities & Local Government,GO,10/11/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106150713,"1,128.74"
Communities & Local Government,GO,10/11/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106150726,"1,176.43"
Communities & Local Government,GO,10/11/2010,Agency Staff,GORCU Admin DEL Votd,REED SPECIALIST RECRUITMENT LTD,5106150727,556.34
Communities & Local Government,GO,10/11/2010,Conferences,GONW,BREAKTHROUGH & BEYOND LTD,5106150706,"3,709.97"
Communities & Local Government,GO,10/11/2010,Conferences,GONW,BREAKTHROUGH & BEYOND LTD,5106150710,"2,241.22"
Communities & Local Government,GO,10/11/2010,Domestic Services,RCU - PAM - Property Asset Management,FOSTERS BREATHING SPACE,5106150656,718.61
Communities & Local Government,GO,10/11/2010,Domestic Services,RCU - PAM - Property Asset Management,GROWING SUCCESS LTD,5106150675,695.50
Communities & Local Government,GO,10/11/2010,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106150460,"8,691.45"
Communities & Local Government,GO,10/11/2010,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106150543,"1,861.65"
Communities & Local Government,GO,10/11/2010,Fixed Maintenance,RCU - PAM - Property Asset Management,AMEY COMMUNITY LTD,5106150469,"22,933.69"
Communities & Local Government,GO,10/11/2010,Fixed Maintenance,RCU - PAM - Property Asset Management,AMEY COMMUNITY LTD,5106150471,"9,130.16"
Communities & Local Government,GO,10/11/2010,Gas,RCU - PAM - Property Asset Management,BRITISH GAS BUSINESS,5106150679,"1,035.01"
Communities & Local Government,GO,10/11/2010,IT - Service Contracts,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106150700,"19,387.50"
Communities & Local Government,GO,10/11/2010,Professional services,GORCU Admin DEL Votd,LOGICA (CMG UK LTD),5106150692,"8,594.19"
Communities & Local Government,GO,10/11/2010,Professional services,GORCU Admin DEL Votd,LOGICA (CMG UK LTD),5106150702,462.20
Communities & Local Government,GO,10/11/2010,Professional services,RCU - PAM - Property Asset Management,JONES LANG LASALLE LTD,2100186541,881.25
Communities & Local Government,GO,10/11/2010,Removals and Porterage,RCU - PAM - Property Asset Management,CITY AND WEST END SOLUTIONS,2100186546,"1,500.00"
Communities & Local Government,GO,10/11/2010,Training,GOE,QA  LTD,5106150663,"4,495.00"
Communities & Local Government,GO,10/11/2010,Training,GOE,QA  LTD,5106150664,"4,495.00"
Communities & Local Government,GO,10/11/2010,Training,GOEM,DATRIX TRAINING LTD,2100186537,"9,047.50"
Communities & Local Government,GO,10/11/2010,Training,GOEM,NOTTM&DIST PRERETIRE COUNCIL,2100186536,"1,299.65"
Communities & Local Government,GO,10/11/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106150612,"6,400.00"
Communities & Local Government,GO,10/11/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106150619,"3,600.00"
Communities & Local Government,GO,10/11/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106150620,"4,330.00"
Communities & Local Government,GO,10/11/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106150623,"2,275.00"
Communities & Local Government,GO,10/11/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106150628,"1,800.00"
Communities & Local Government,GO,10/11/2010,Training,GORCU Admin DEL Votd,FARADAY PARTNERSHIP LTD,5106150615,"26,100.00"
Communities & Local Government,GO,10/11/2010,Training,GORCU Admin DEL Votd,FARADAY PARTNERSHIP LTD,5106150625,"2,825.00"
Communities & Local Government,GO,10/11/2010,Training,GORCU Admin DEL Votd,MANCHESTER COLLEGE,2100186459,"2,795.00"
