Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,BARNSLEY METROPOLITAN BC,,,,2100208192,090_000000020277,S70 9EX,"49,508.82",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,HUDDERSFIELD & DIST TEXTILE TRAIN'G,,,,2100208191,090_000000003175,HD2 1YF,"28,629.74",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SCARBOROUGH BOROUGH COUNCIL,,,,2100208194,090_000000021442,YO11 2HG,"14,794.68",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SCIENCE CITY YORK,,,,2100208197,090_000000021743,YO10 5NY,"8,580.47",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SHEFFIELD CITY COUNCIL,,,,2100208196,090_000000022064,S1 2SH,"88,006.00",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,UNIVERSITY OF SHEFFIELD,,,,2100208190,090_000000024232,S60 5TZ,"20,202.58",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,COVENTRY UNIVERSITY ENTERPRISES LTD,,Medium,,2100208252,080/XBG/MD1030,CV1 2TT,"42,495.17",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,WEST MIDLANDS LEADER BOARD,,Small,,2100208250,080/CS/EP9003,B1 2RA,"7,862.98",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,ART (ASTON REINVESTMENT TRUST),,Small,,2100208244,080/XFS/SL9021,B6 4EA,"1,250.00",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,PRINCE'S TRUST,,Medium,,2100208248,080/XFS/SL9022,DY9 8QH,"5,966.96",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,FOCUS ENTERPRISE LTD,,Micro,,2100208249,080/XBG/EN1020,B17 9AT,"3,757.98",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,WASTE & RESOURCES ACTION PROG'M,,Small,,2100208245,080/XER/SD9001B,OX16 0AH,"8,539.05",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,BARNSLEY COLLEGE,,,,2100208193,090_000000023885,S70 2YW,"264,875.98",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,GOODWIN DEVELOPMENT TRUST LTD,,,,2100208189,090_000000022659,HU3 2HQ,"10,617.61",
