FREEDOM OF INFORMATION,,
MOD Requests to 14 January 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,

Case Number,Date ,Request Summary
10-01-2011-102018-001,04/02/2011,"Request for ""A strategy for promoting an integrated approach to the management of coastal areas in England"" draft consultation document and final document; and the overall consultation process for the strategy."
10-01-2011-103649-002,04/02/2011,"That further enquiries be made, with the Central Criminal Records Information Office (CCRIO), concerning the RAF/SIB Police Investigation in which I was asked to provide a witness statement, at RAF Akrotiri in 1981."
10-01-2011-110633-003,04/02/2011,The extent of involvement of the Ministry of Defence in Operation Gladio.
10-01-2011-111808-004,04/02/2011,"Information about any compensation claims, including legal actions, brought against the MoD by serving or former personnel between October 2001 and January 2011."
10-01-2011-112456-005,04/02/2011,"Information about the types of illegal drugs (including, but not limited to amphetamines) that have been seized by either (a) the British Army, (b) the Royal Military Police, (c) the Royal Navy or (d) the Royal Air Force between January 2001 and January 2011."
10-01-2011-113347-001,02/02/2011,"Chasing-up late response to request for any and all details of military exercises or other operations conducted by army, air force
or navy on the Berwyn mountain range in North Wales, from January to March 1974."
10-01-2011-113544-006,04/02/2011,Please clarify that an extra 6 months was or was not served by the latter intakes of National service.
10-01-2011-115806-007,04/02/2011,"Details on how many MOD staff work from home. Also, the pay grade of each member of staff who works from home.  "
10-01-2011-122213-008,04/02/2011,Information regarding the supposed UFO crash In the Berwyn mountains near Curwen. 
10-01-2011-143159-001,04/02/2011,Copies of meeting notes regarding the British Forces Medical Healthcare Services (BFG HS in Germany) regarding a specified individual
10-01-2011-144021-001,07/02/2011,UK Armed Forces hearing loss/problems numbers (Discharged and Claims data)
10-01-2011-144356-002,07/02/2011,"The total expenditure on renovation and redecoration by the department since the formation of the new government in May 2010.
"
10-01-2011-150805-004,04/02/2011,I would like to be provided with all stored copies of the web page at http://www.metoffice.gov.uk/weather/uk/se/london_forecast_weather.html
10-01-2011-152614-005,07/02/2011,Information on whether Alcohol is allowed for consumption by off duty UK service personnel in Afghanistan and Iraq.
10-01-2011-154229-006,07/02/2011,Information on the Admiralty undertaking an investigation into practices relating to the punishment of officers since 1856 (the file reference was X3324).
10-01-2011-154935-007,07/02/2011,Details of bonuses paid to MoD staff in Northern Ireland from 2007 to 2010 calendar years.
10-01-2011-155830-008,07/02/2011,"I am looking for information about UFO sightings in and around the West Midlands area. I am also interested in UFO sightings around London and Maidstone, Kent."
10-01-2011-162019-009,07/02/2011,"However it has confirmed that it provided a long-range forecast to the Cabinet Office at the end of October highlighting the risk of a cold start to the winter""."""
10-01-2011-163606-002,07/02/2011,Whether the MOD hold any documents relating to Margaret Thatcher's personnel correspondence with Government and Conservation Party members from 1982 - 1987 and how these can be obtained.
10-01-2011-164432-010,07/02/2011,Information on the complete list of services and of estates owned/managed by Defence Estates in Scotland and Northern Ireland.
10-01-2011-170931-011,07/02/2011,Written correspondence from the British Forces Medical Service within Germany (Bielefeld) to specified individual to apologise for the accidents that happened under the  Medical Contract within.
11-01-2011-095614-001,08/02/2011,How many British regiments have been disbanded in the last 40 years? How many British or ex British troops now work for the UN peace Troops and who pays them?
11-01-2011-103418-001,07/02/2011,"The number of reservists deployed, the number dying (including suicides) on deployment plus cause of death."
11-01-2011-112647-002,07/02/2011,"For the academic year 2009/10, how many children of service personnel attending secondary boarding school (public school) had their fees paid wholly or in part by the MOD? "
11-01-2011-115729-004,07/02/2011,The Public Service Commission of Canada is trying to determine how Non Public Funds (NPF) Employees are governed in other Westminster countries.
11-01-2011-120220-005,08/02/2011,Information on the Armed Forces and medicines supply.
11-01-2011-120649-006,08/02/2011,How many people civilian and military have been killed by British UAVs in Afghanistan?
11-01-2011-120948-007,07/02/2011,"A breakdown of the costs of procurement of the new ATC 'Staff Cadet' rank slides and 'Master Cadet' badges. The costs of development, manufacture and cost per unit."
11-01-2011-121339-008,08/02/2011,Details of the number of British servicemen who have been convicted of obtaining illegal materials (including drugs and weapons/live ammunition) in Afghanistan either for personal use or with a view to bringing it into the UK with intent to supply.
11-01-2011-143717-001,08/02/2011,"Any bathymetry data you have available for the coastal zone around the Isle of Wight.
"
11-01-2011-144529-002,08/02/2011,"Request for a copy of photos from the visit of F-105's from Spangdahlem to 16 Squadron and any other pictures made during that occasion.
"
11-01-2011-145556-003,08/02/2011,"What financial support and funding Britain has given to the Palestinian Authority Security and Intelligence Agencies between 2003 and 2010 and in particular what financial support was given to the
Palestinian Preventive Security Forces?"
11-01-2011-151236-004,08/02/2011,What happened to all the inhabitants of West Thorney in 1935?
11-01-2011-152340-005,08/02/2011,"Information on a Canadian unit stationed in UK during World
War II in St.Albans, Herts."
11-01-2011-153058-006,08/02/2011,Information on the conditions of service for the British Army
11-01-2011-162358-007,08/02/2011,Information on reform(s) that successfully lowered the total expenditure level of the British military in the period 1992 - 2008.
12-01-2011-093118-001,08/02/2011,Numbers in receipt of a War pension and Armed Forces Compensation Scheme figures for the North West.
12-01-2011-112709-001,08/02/2011,Information relating to the case of 3 missing Israeli soldiers who were captured on the 11 June 1982 hours before a ceasefire was implemented between Israel and Lebanon
