Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?,,,,,,
Communities & Local Government,PINS,03/09/2012,Courier Services,Estates,ROYAL MAIL,,Large,,5106182896,Postal Delivery Service,S49 1HQ,"2,069.82",,,,,,,
Communities & Local Government,PINS,03/09/2012,Courier Services,Estates,ROYAL MAIL,,Large,,5106182915,Postal Delivery Service,S49 1HQ,"9,000.00",,,,,,,
Communities & Local Government,PINS,03/09/2012,Electricity,Estates,ENVIRONMENT AGENCY,,Public Bodies,,5106182905,Subsistence Fee 2012/13,PE2 8YD,"1,290.00",,,,,,,
Communities & Local Government,PINS,03/09/2012,IT - Service Contracts,ICT,SYNETRIX LTD,,Large,,5106182903,Chargeable calls April 2012,ST5 5NB,145.39,,,,,,,
Communities & Local Government,PINS,03/09/2012,IT - Service Contracts,ICT,SYNETRIX LTD,,Large,,5106182903,Chargeable calls May 2012,ST5 5NB,116.93,,,,,,,
Communities & Local Government,PINS,04/09/2012,Accommodation Service Charges,Estates,TAYLOR WOODROW CONSTRUCTION,,Large,,5106182982,TFM contract for TQH until 30/09/12,WD24 4WW,"15,858.76",,,,,,,
Communities & Local Government,PINS,04/09/2012,Accommodation Service Charges,Estates,TAYLOR WOODROW CONSTRUCTION,,Large,,5106182985,TFM contract for TQH until 30/09/12,WD24 4WW,"39,854.56",,,,,,,
Communities & Local Government,PINS,04/09/2012,Agency Staff,Human Resources,CAPITA RESOURCING LTD,,Large,,5106183002,Extension 09/07/12 - 31/12/12 FROZEN,SL6 1DP,"1,196.90",,,,,,,
Communities & Local Government,PINS,04/09/2012,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106182930,Agency Staff x 3 for 6 months,SW20 0BA,483.52,,,,,,,
Communities & Local Government,PINS,04/09/2012,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106182931,Agency Staff x 3 for 6 months,SW20 0BA,490.06,,,,,,,
Communities & Local Government,PINS,04/09/2012,Agency Staff,Resource Management/Chart,REED SPECIALIST RECRUITMENT LTD,,Large,,5106182932,Agency Staff x 2 for 3 months,SW20 0BA,434.51,,,,,,,
Communities & Local Government,PINS,04/09/2012,Agency Staff,Resource Management/Chart,REED SPECIALIST RECRUITMENT LTD,,Large,,5106182946,Agency Staff x 2 for 3 months,SW20 0BA,490.06,,,,,,,
Communities & Local Government,PINS,04/09/2012,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106182948,Agency Staff x 3 for 6 months,SW20 0BA,493.32,,,,,,,
Communities & Local Government,PINS,04/09/2012,IT - Service Contracts,ICT,INFORMED SOLUTIONS LTD,,Data Not Provided,,5106182792,Find my Consultee Upgrade,WA14 4PA,"9,995.00",,,,,,,
Communities & Local Government,PINS,04/09/2012,IT - Software Maintenance,ICT,INGERSOL RAND SECURITY TECHNOLOGIES,,Data Not Provided,,5106182926,Maintenance,WS1 4DL,"14,103.50",,,,,,,
Communities & Local Government,PINS,04/09/2012,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106182938,ULTRIUM LT04 TAPES 800GB.,NG11 7EP,794.40,
Communities & Local Government,PINS,04/09/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106182943,9150050 - CLOSED LOOP PAPER A4,NR3 1PD,653.18,
Communities & Local Government,PINS,05/09/2012,Agency Staff,Quality Assurance Unit,REED SPECIALIST RECRUITMENT LTD,,Large,,5106182945,Agency Staff x 1 for 6 months,SW20 0BA,300.56,
Communities & Local Government,PINS,05/09/2012,Courier Services,Estates,CITY LINK,,Large,,5106183013,City Link Postage,WA4 4SN,"1,878.79",
Communities & Local Government,PINS,05/09/2012,Training,Finance & Procurement,BPP HOLDINGS PLC,,Data Not Provided,,5106183006,ACCA F9,W12 8AW,425.00,
Communities & Local Government,PINS,06/09/2012,Agency Staff,Energy,GALLOIS GEOLOGICAL CONSULTANCY,,Micro,,5106183043,Geological Advice for PINS,EX4 5ER,"2,955.90",
Communities & Local Government,PINS,06/09/2012,IT - Software Maintenance,ICT,SPECIALIST COMPUTER CENTRES LTD,,Large,,5106183063,Year 4 of Microsoft Enterprise Agreement,B11 2LE,"166,613.99",
Communities & Local Government,PINS,07/09/2012,Accommodation Service Charges,Estates,TAYLOR WOODROW CONSTRUCTION,,Large,,5106183017,TFM contract for TQH until 30/09/12,WD24 4WW,"-8,261.23",
Communities & Local Government,PINS,07/09/2012,Agency Staff,Human Resources,CAPITA RESOURCING LTD,,Large,,5106183118,Extension 09/07/12 - 31/12/12 FROZEN,SL6 1DP,"1,196.90",
Communities & Local Government,PINS,07/09/2012,Facilities Management (ISD use only),Estates,TAYLOR WOODROW CONSTRUCTION,,Large,,5106183121,NE additional security VFM 116,WD24 4WW,"16,522.46",
Communities & Local Government,PINS,07/09/2012,Publications,Communications,DURRANTS LTD,,Large,,5106183112,Press Cutting Service,EC1Y 8QE,434.36,
Communities & Local Government,PINS,07/09/2012,Publications,Library,TAYLOR & FRANCIS GROUP,,Data Not Provided,,2100002559,Taylor & Francis TD 10192358,CO3 3LP,523.60,
Communities & Local Government,PINS,07/09/2012,Steady State Service Provision,Human Resources,LOGICA IT SERVICES UK LTD,,Large,,5106183114,Licences for August 2012,CF31 9AP,439.16,
Communities & Local Government,PINS,07/09/2012,Steady State Service Provision,Human Resources,LOGICA IT SERVICES UK LTD,,Large,,5106183116,ePayfact for August 2012,CF31 9AP,"3,995.05",
Communities & Local Government,PINS,07/09/2012,Training,Inspector Costs,OTS BACS VENDOR,,Not assigned,,2100002582,Pooled Insp Expenses 02/08 to 09/08/12 inc,#,"2,644.10",
Communities & Local Government,PINS,10/09/2012,Accommodation Service Charges,Estates,TAYLOR WOODROW CONSTRUCTION,,Large,,2100002634,Cancellation of 5106183249,WD24 4WW,"5,757.18",
Communities & Local Government,PINS,10/09/2012,Accommodation Service Charges,Estates,TAYLOR WOODROW CONSTRUCTION,,Large,,5106183249,Cancelled by 2100002635,WD24 4WW,"-5,757.18",
Communities & Local Government,PINS,10/09/2012,Accommodation Service Charges,Estates,TAYLOR WOODROW CONSTRUCTION,,Large,,5106183278,to correct misposting of credit note,WD24 4WW,"2,662.10",
Communities & Local Government,PINS,10/09/2012,Cmmunication Telecom Costs,ICT,CABLE & WIRELESS,,Large,,2100002636,Cancellation of 5106183232 - Cockpit 109983,MK3 5JP,-300.82,
Communities & Local Government,PINS,10/09/2012,Cmmunication Telecom Costs,ICT,CABLE & WIRELESS,,Large,,5106183232,Cancelled by 2100002636 - Cockpit 109983,MK3 5JP,300.82,
Communities & Local Government,PINS,10/09/2012,Electricity,Estates,EDF ENERGY 1 LIMITED,,Large,,5106183174,Aug12 eDF electricity charges,PL3 5XQ,"19,694.72",
Communities & Local Government,PINS,10/09/2012,Facilities Management (ISD use only),Estates,TAYLOR WOODROW CONSTRUCTION,,Large,,5106183279,to correct misposting of credit note,WD24 4WW,"-2,662.10",
Communities & Local Government,PINS,10/09/2012,Training,Inspector Costs,TOWN & COUNTRY PLANNING SUMMER SCHO,,Micro,,5106183178,Multi buy Ticket (3 places),SP1 1DX,"2,100.00",
